 	la	mort	de	ton	père	m'	afflige	</S>
a66	0.0957602	0.147997	0.198317	0.303131	0.169426	0.0644082	0.0153553	0.005605
a87	0.477888	0.226474	0.102954	0.0957479	0.0367695	0.0256673	0.0157345	0.0187644
a23	0.423236	0.191916	0.111505	0.098107	0.0663341	0.0486804	0.0221579	0.0380631
a87	0.428642	0.195065	0.128633	0.0887324	0.0390282	0.0348935	0.0346174	0.0503884
a23	0.395271	0.219012	0.146676	0.0985252	0.0426417	0.0311107	0.0288593	0.0379042
a62	0.33062	0.168425	0.147545	0.122431	0.0492881	0.046736	0.0596739	0.0752822
a47	0.341915	0.167936	0.146379	0.187735	0.0934692	0.0370357	0.0193153	0.00621401
a34	0.270487	0.151083	0.125369	0.161372	0.128107	0.09457	0.051559	0.0174521
a96	0.176909	0.117881	0.116703	0.194761	0.189842	0.136579	0.0518679	0.0154573
a93	0.180016	0.108989	0.106089	0.151347	0.185923	0.178064	0.060762	0.0288083
a75	0.160913	0.141843	0.143226	0.185433	0.189772	0.117017	0.0403386	0.0214586
a85	0.0696604	0.071973	0.0848998	0.135637	0.185076	0.228184	0.1527	0.0718695
a6	0.0526286	0.0695825	0.0803317	0.127594	0.206748	0.238845	0.142641	0.0816295
a85	0.102735	0.120727	0.141038	0.168507	0.191687	0.158817	0.067351	0.0491384
a92	0.0360955	0.0659361	0.087721	0.141747	0.221976	0.206411	0.130664	0.109449
a37	0.0413472	0.0843578	0.117717	0.151907	0.199317	0.168674	0.103971	0.13271
a47	0.0395693	0.0813508	0.125311	0.14851	0.186178	0.16934	0.0951942	0.154547
a88	0.0291599	0.0538364	0.0928931	0.116575	0.164694	0.194816	0.1431	0.204926
a0	0.0156016	0.0300351	0.0593225	0.0770114	0.114541	0.16016	0.186398	0.356931
a21	0.0135425	0.0215024	0.0402317	0.0513622	0.0952373	0.146413	0.174866	0.456844
a92	0.00658176	0.0108349	0.0173059	0.0223012	0.0478312	0.0839736	0.118025	0.693146
a56	0.00208428	0.0033235	0.00521303	0.00612094	0.0147217	0.0406954	0.110766	0.817075
a93	0.00132416	0.0020329	0.00274758	0.0025767	0.00496671	0.0135887	0.0591058	0.913657
a13	0.00241056	0.00278029	0.00341424	0.00266392	0.0048632	0.0115895	0.0569822	0.915296
a11	0.00129893	0.00128094	0.00150941	0.00125092	0.00236638	0.00885956	0.057962	0.925472
a47	0.002816	0.00304683	0.00478291	0.00417137	0.00553671	0.0161767	0.11514	0.84833
a96	0.0012768	0.00147294	0.00222828	0.00234308	0.00452182	0.0153818	0.084069	0.888706
a66	0.00285601	0.00355072	0.00560188	0.00531118	0.0084176	0.0226367	0.109849	0.841777
a9	0.0113579	0.0112106	0.0154097	0.0117223	0.023255	0.0507892	0.166192	0.710063
a87	0.0552531	0.0303071	0.0305311	0.030575	0.057872	0.0900285	0.181163	0.52427
a23	0.309793	0.195861	0.130998	0.122232	0.0804164	0.06402	0.040906	0.0557726
a97	0.0849668	0.023848	0.0091551	0.00833723	0.00938361	0.0138908	0.039722	0.810697
</S>	0.01619	0.00673702	0.00472592	0.00615705	0.0109818	0.0227271	0.0595328	0.872948
