 	non	je	n'	en	mange	pas	</S>
a15	0.293625	0.182218	0.168353	0.154372	0.102135	0.060365	0.038931
a66	0.198632	0.172393	0.207802	0.181919	0.113787	0.0706309	0.0548355
a10	0.420981	0.17887	0.122355	0.0895303	0.0678986	0.06007	0.0602951
a87	0.478046	0.214151	0.112089	0.0693169	0.0476997	0.0388632	0.0398338
a23	0.433408	0.247785	0.135022	0.0743026	0.0433475	0.0322602	0.0338749
a54	0.386319	0.226791	0.146056	0.0868287	0.0552061	0.0483152	0.050483
a15	0.384908	0.230248	0.121063	0.074093	0.0579882	0.0606306	0.0710688
a36	0.237358	0.22954	0.202389	0.146065	0.081477	0.0550586	0.048112
a2	0.140688	0.17069	0.18364	0.174966	0.13467	0.101185	0.0941615
a26	0.154474	0.179503	0.184906	0.166993	0.122309	0.0912971	0.100519
a70	0.143851	0.167241	0.165854	0.144533	0.117494	0.110761	0.150266
a66	0.159475	0.194429	0.188926	0.142936	0.106359	0.0919635	0.115911
a75	0.153031	0.162327	0.1697	0.136287	0.112625	0.109068	0.156962
a92	0.0842454	0.117348	0.172832	0.179799	0.15095	0.136638	0.158187
a37	0.063923	0.0876976	0.1493	0.195106	0.198399	0.164249	0.141325
a98	0.0537598	0.0586567	0.0978863	0.138339	0.18539	0.214617	0.251352
a47	0.0241008	0.0243949	0.0461953	0.081084	0.152065	0.261104	0.411056
a36	0.00897783	0.00704612	0.0131242	0.0294169	0.0882153	0.250354	0.602866
a54	0.0142711	0.00865007	0.0103888	0.0169725	0.052151	0.188343	0.709223
a36	0.00818398	0.00568652	0.00932013	0.0216324	0.0763489	0.251792	0.627036
a2	0.00438022	0.00264512	0.00380963	0.00878727	0.0369899	0.169895	0.773493
a10	0.0161708	0.0137736	0.0181189	0.0346699	0.090559	0.228079	0.598629
a87	0.151882	0.0898723	0.0752761	0.0754194	0.0978278	0.158196	0.351527
a23	0.231018	0.147105	0.127841	0.116134	0.104326	0.113273	0.160303
a87	0.16706	0.081261	0.067649	0.0741613	0.104693	0.187062	0.318114
</S>	0.0230796	0.015875	0.0183489	0.0336133	0.0964969	0.258783	0.553803
