 	la	manière	dont	il	s'	est	épuisé	montre	qu'	il	fume	beaucoup	</S>
a66	0.138774	0.107342	0.135753	0.124603	0.121605	0.0909623	0.0956103	0.0947495	0.0518025	0.0189564	0.00805485	0.00565308	0.00613433
a87	0.360452	0.19636	0.100161	0.0475004	0.0334875	0.0307923	0.0345546	0.0315964	0.0242348	0.0161314	0.0270871	0.0397798	0.0578623
a23	0.31513	0.177065	0.0974981	0.0547319	0.0466767	0.0514447	0.0506125	0.0660508	0.0364381	0.0289251	0.0172044	0.0220461	0.0361763
a18	0.242612	0.202089	0.120331	0.0664541	0.0507777	0.0666275	0.0578231	0.0555515	0.0379108	0.0280528	0.0188991	0.017956	0.034916
a53	0.183143	0.166867	0.122575	0.0935671	0.0768941	0.0702612	0.0584313	0.0672512	0.0421468	0.0405426	0.0281828	0.0203762	0.0297623
a90	0.326593	0.283671	0.17353	0.08035	0.0369197	0.0192804	0.0155851	0.0129086	0.00986855	0.0102981	0.0112301	0.00810638	0.0116587
a69	0.293985	0.293411	0.181415	0.0929323	0.0430382	0.0235721	0.0184044	0.0120038	0.00871322	0.00848909	0.00909301	0.00581136	0.009132
a94	0.262179	0.269523	0.172122	0.0997713	0.0498816	0.0329254	0.0238775	0.0162423	0.0118144	0.0109788	0.013728	0.0137779	0.0231787
a12	0.259432	0.230744	0.157258	0.109442	0.057479	0.0441589	0.0300131	0.0166576	0.0121047	0.0119351	0.0147267	0.0205668	0.0354828
a21	0.233419	0.224026	0.1542	0.110696	0.0685282	0.0549555	0.0445073	0.0262724	0.0187944	0.0149214	0.0146504	0.0133559	0.0216743
a25	0.131197	0.154296	0.159797	0.140204	0.0947642	0.0815269	0.0698309	0.0410591	0.0302318	0.022377	0.0203091	0.0206647	0.0337416
a56	0.0491105	0.0782181	0.140658	0.175404	0.107344	0.0842369	0.0796396	0.060522	0.0451251	0.0280698	0.0308045	0.0466613	0.0742072
a36	0.0515942	0.072856	0.14862	0.177717	0.126318	0.11819	0.111638	0.0471454	0.0336508	0.0217559	0.0203475	0.0286577	0.0415089
a7	0.032444	0.039101	0.104112	0.155269	0.133696	0.139007	0.14108	0.0625424	0.0451098	0.0314355	0.0269083	0.0359643	0.0533292
a90	0.0177962	0.0175484	0.059583	0.135705	0.139722	0.163124	0.176669	0.0803636	0.0453974	0.0334756	0.0278611	0.0405253	0.0622291
a56	0.0117693	0.0151349	0.0499632	0.126979	0.133112	0.129115	0.148622	0.0905161	0.0691357	0.0389152	0.0308699	0.0624309	0.0934377
