 	c'	est	moi	qui	ai	construit	cette	maison	</S>
a23	0.225377	0.164887	0.13447	0.0904817	0.0932972	0.0925065	0.0930999	0.0637259	0.0421554
a87	0.2548	0.174388	0.13451	0.111789	0.121585	0.0884558	0.0645536	0.0303597	0.0195601
a97	0.134309	0.11917	0.102263	0.111568	0.108828	0.0997498	0.0986895	0.110228	0.115194
a87	0.180723	0.158229	0.131732	0.132933	0.121565	0.0848552	0.0665917	0.0600936	0.063278
a97	0.188445	0.16144	0.137293	0.12813	0.122627	0.0927825	0.0685209	0.0522369	0.0485246
a87	0.23142	0.199876	0.172545	0.134854	0.113952	0.0630918	0.0386869	0.0242527	0.0213211
a99	0.233994	0.199365	0.172885	0.13182	0.112063	0.0669276	0.041134	0.0230537	0.0187582
a53	0.236496	0.193709	0.155369	0.134813	0.115861	0.0710296	0.0465942	0.0254808	0.0206471
a20	0.255239	0.188945	0.136939	0.107564	0.0989623	0.0645173	0.057635	0.0417463	0.0484522
a44	0.116648	0.0995971	0.0975011	0.108652	0.116281	0.104047	0.114133	0.112887	0.130254
a93	0.0739204	0.0702743	0.0799769	0.0971342	0.104071	0.106262	0.12725	0.155706	0.185404
a34	0.0551852	0.0627415	0.0862705	0.103593	0.100489	0.100232	0.116483	0.165853	0.209151
a62	0.0487831	0.0558512	0.0816075	0.108656	0.105004	0.105035	0.113268	0.166427	0.215369
a83	0.0593776	0.0634098	0.0888783	0.114379	0.116709	0.133601	0.115695	0.139798	0.168152
a93	0.0389266	0.0422116	0.0593085	0.0827978	0.0867575	0.128866	0.134482	0.186686	0.239964
a70	0.0403593	0.0397149	0.0503989	0.0694235	0.0780159	0.146171	0.159632	0.194947	0.221337
a50	0.0167753	0.0157902	0.0177768	0.0245802	0.0292578	0.0917679	0.167247	0.298377	0.338427
a98	0.00853838	0.00839051	0.0093113	0.0127887	0.0149728	0.0494055	0.136174	0.347604	0.412814
a70	0.00897089	0.00802318	0.00817054	0.0109821	0.0131966	0.0469489	0.136512	0.336371	0.430824
a62	0.00321017	0.00287672	0.00290939	0.00404001	0.00506029	0.0196836	0.0866299	0.32198	0.55361
a50	0.00260949	0.00232791	0.0023016	0.00307106	0.00374302	0.0135214	0.0720775	0.310646	0.589702
a83	0.00360986	0.00286482	0.002703	0.00306034	0.00416828	0.0144169	0.07099	0.273236	0.624951
a9	0.0021555	0.00167169	0.0016051	0.00193666	0.00279251	0.0121761	0.0687442	0.267757	0.641161
a99	0.033873	0.0238522	0.0196561	0.0173036	0.0185344	0.0411186	0.0992109	0.24034	0.506112
a97	0.11954	0.0847269	0.0590875	0.0403009	0.0331754	0.0460953	0.0847962	0.191143	0.341134
a3	0.175474	0.135192	0.0993937	0.0641176	0.0503341	0.0516909	0.0781046	0.149849	0.195844
a97	0.115642	0.098877	0.0839394	0.0688331	0.061105	0.0707702	0.102691	0.183052	0.215091
a99	0.102701	0.0896594	0.0800279	0.0783285	0.0759228	0.0967185	0.113454	0.167241	0.195947
a87	0.0794429	0.0654824	0.0478848	0.0495102	0.0475364	0.0694122	0.110257	0.208162	0.322311
</S>	0.0859668	0.0834252	0.0666018	0.0660769	0.0596082	0.0699342	0.0979036	0.175151	0.295332
