 	tu	fais	trop	de	bruit	va	jouer	autre	part	</S>
a23	0.361528	0.167279	0.0700766	0.0588264	0.0835418	0.108254	0.0671583	0.0348612	0.0243066	0.0241682
a83	0.391087	0.137494	0.087755	0.0685933	0.0653079	0.0674885	0.0566274	0.0443865	0.0393437	0.0419172
a53	0.29643	0.217442	0.166923	0.0858058	0.0600095	0.0484539	0.0346863	0.0315897	0.0258969	0.032762
a90	0.338497	0.312645	0.185592	0.0672452	0.0351526	0.0189966	0.0133457	0.0102446	0.00971352	0.00856779
a57	0.185205	0.253869	0.216436	0.12939	0.0816319	0.0472053	0.0280588	0.0204099	0.0190723	0.0187223
a53	0.121218	0.200686	0.221692	0.172203	0.119236	0.068856	0.0324123	0.0219936	0.0206814	0.0210218
a76	0.076059	0.128135	0.16248	0.149628	0.123456	0.0787773	0.0552694	0.0571079	0.0761004	0.0929866
a94	0.131366	0.154321	0.184252	0.147823	0.122685	0.0832944	0.0564934	0.0403605	0.0389143	0.0404906
a38	0.0992817	0.130708	0.166666	0.180368	0.166873	0.109298	0.0519224	0.0325113	0.0297683	0.0326042
a11	0.0708395	0.0815786	0.118917	0.176368	0.19583	0.144102	0.0783846	0.0478539	0.0415149	0.0446099
a94	0.0515198	0.0532404	0.0890544	0.163326	0.196618	0.174669	0.105799	0.062398	0.0490815	0.0542941
a70	0.054168	0.0531873	0.0743496	0.134695	0.176013	0.163616	0.11942	0.0828103	0.0662908	0.0754502
a90	0.0477916	0.0482117	0.0603963	0.0986228	0.140529	0.156198	0.142637	0.117454	0.0927253	0.0954345
a4	0.0777241	0.0763545	0.0804165	0.0967333	0.123002	0.144481	0.132431	0.107241	0.0792541	0.082362
a57	0.0491103	0.0458661	0.055502	0.0714534	0.091633	0.128213	0.158317	0.167673	0.117694	0.114538
a82	0.047375	0.0396417	0.0540499	0.084375	0.116493	0.146361	0.144748	0.140013	0.117456	0.109487
a87	0.0194715	0.0145345	0.0169249	0.0298995	0.0520193	0.096112	0.129937	0.19567	0.224643	0.220787
a23	0.0501976	0.0273938	0.0275483	0.0443647	0.0636308	0.0893411	0.119277	0.165362	0.212414	0.200471
a99	0.0120728	0.00456159	0.0047204	0.0111843	0.0248356	0.0494978	0.0897668	0.195388	0.27504	0.332932
a11	0.00363086	0.00186272	0.00403537	0.0122722	0.0229856	0.0403136	0.0878994	0.217305	0.278881	0.330814
a90	0.00665872	0.00491115	0.0109987	0.0259922	0.0374677	0.0397594	0.0785356	0.176651	0.28415	0.334876
a76	0.0161042	0.0160807	0.0263701	0.0475169	0.067391	0.0774125	0.106484	0.176088	0.220945	0.245607
a94	0.0684011	0.0521826	0.0528806	0.0590184	0.0755196	0.0856816	0.0995691	0.145612	0.168845	0.19229
a32	0.00958464	0.00684144	0.00986755	0.0166409	0.0255859	0.0391743	0.0658958	0.173771	0.263663	0.388975
a15	0.00989501	0.00687525	0.00875583	0.0126905	0.0171704	0.0265618	0.0477527	0.151213	0.279504	0.439582
a73	0.0094202	0.00449801	0.00668558	0.0114049	0.0177575	0.0309039	0.0549927	0.160639	0.267946	0.435752
a94	0.00791743	0.00450825	0.0059187	0.00951341	0.0159972	0.0324517	0.0630086	0.176572	0.271186	0.412927
a41	0.00295929	0.00150466	0.00203329	0.00450758	0.00809259	0.0149417	0.0298696	0.128499	0.261642	0.54595
a13	0.010188	0.00485686	0.00669502	0.0099353	0.0138343	0.0231972	0.0436781	0.135141	0.283889	0.468586
a38	0.00142648	0.000818354	0.0012253	0.0025428	0.00430446	0.00887905	0.0209271	0.101333	0.243423	0.61512
a12	0.00426241	0.00157391	0.00208568	0.00407634	0.00717991	0.0149776	0.0316493	0.136705	0.262663	0.534827
a32	0.00809684	0.00333977	0.00331473	0.00459769	0.00713363	0.0132067	0.0261966	0.117026	0.24903	0.568059
a11	0.00716801	0.00295454	0.00303965	0.00428658	0.00661014	0.0106195	0.0239414	0.108215	0.254955	0.57821
a98	0.0071788	0.00335208	0.0032267	0.00434286	0.00645966	0.00922848	0.0208786	0.095678	0.247662	0.601993
a11	0.0101973	0.00393644	0.00341668	0.00476078	0.00809428	0.0135862	0.0297089	0.129618	0.260682	0.535999
a10	0.00682787	0.00259149	0.00280706	0.00428588	0.00666237	0.00993375	0.0198728	0.0949181	0.237816	0.614284
a9	0.0109503	0.00397304	0.00352498	0.00523711	0.00876535	0.0133455	0.0265161	0.1129	0.247462	0.567325
a87	0.0123872	0.0050481	0.00300426	0.00375522	0.00622316	0.00983149	0.0249833	0.118984	0.25871	0.557073
</S>	0.0264037	0.0132656	0.00719059	0.00826249	0.0136848	0.0212346	0.0470941	0.151007	0.261585	0.450272
