 	j'	ai	ramassé	les	feuilles	de	manguier	</S>
a66	0.447632	0.225283	0.117291	0.0878573	0.0493044	0.0324716	0.0218397	0.0183208
a87	0.403239	0.233759	0.121378	0.0937538	0.0423919	0.0306243	0.0292482	0.0456051
a23	0.456456	0.292217	0.150622	0.042206	0.0164844	0.0119503	0.0113231	0.0187414
a87	0.456886	0.296496	0.126884	0.0385814	0.0122979	0.0129122	0.0198753	0.0360675
a23	0.46523	0.285064	0.118578	0.0411594	0.0149201	0.0151396	0.0239921	0.0359167
a57	0.405962	0.242217	0.11733	0.046304	0.0219013	0.0332395	0.0514981	0.0815482
a87	0.338042	0.233803	0.142327	0.0571303	0.0277727	0.0440082	0.0649751	0.0919415
a99	0.383171	0.258128	0.145663	0.075324	0.0282247	0.0305888	0.0359963	0.0429046
a50	0.354045	0.249378	0.145865	0.077054	0.0340939	0.0391999	0.0459628	0.0544014
a96	0.363413	0.281723	0.181172	0.0808795	0.0314587	0.0256046	0.0186205	0.0171278
a93	0.31148	0.305201	0.201452	0.098375	0.0351675	0.0227131	0.0143167	0.0112945
a4	0.224634	0.252409	0.193115	0.149595	0.0731769	0.0481154	0.0312407	0.0277133
a13	0.164484	0.187345	0.17447	0.208835	0.133658	0.066922	0.034946	0.0293391
a62	0.117296	0.133519	0.142644	0.198667	0.16643	0.10715	0.070954	0.0633409
a90	0.121113	0.12786	0.167643	0.221465	0.161855	0.088465	0.0579105	0.0536885
a25	0.0536382	0.0637539	0.0943274	0.228824	0.237163	0.142475	0.0957168	0.0841022
a98	0.0380061	0.0501956	0.0833897	0.225053	0.228112	0.149656	0.118836	0.106751
a47	0.030754	0.0384858	0.079501	0.210231	0.218753	0.167367	0.140141	0.114766
a36	0.0274809	0.03311	0.0644182	0.163856	0.190331	0.174286	0.179559	0.166959
a85	0.0241194	0.027987	0.0533554	0.104266	0.15739	0.177037	0.215007	0.240838
a6	0.0175892	0.0181264	0.0308909	0.0710461	0.131122	0.193606	0.28592	0.251698
a0	0.0205593	0.0194458	0.0287899	0.0575651	0.109568	0.173766	0.279341	0.310965
a75	0.0125437	0.0109828	0.0150363	0.0254883	0.0595276	0.152085	0.299107	0.425229
a25	0.00507838	0.00439686	0.006355	0.0107635	0.024885	0.0886527	0.334656	0.525213
a94	0.00164933	0.00159457	0.00244807	0.00452901	0.0148615	0.0741915	0.340504	0.560223
a98	0.00208924	0.00170496	0.00272692	0.00329484	0.00915381	0.0490985	0.297306	0.634626
a92	0.000686765	0.000619787	0.000992084	0.00201542	0.00761009	0.0454231	0.301638	0.641015
a37	0.000484644	0.000446479	0.00080768	0.00155598	0.00617457	0.0374734	0.297756	0.655301
a26	0.00106767	0.000911137	0.00169025	0.00258631	0.0105487	0.0520182	0.300283	0.630894
a82	0.00155543	0.00124584	0.00275527	0.00564562	0.0202928	0.0681816	0.249564	0.65076
a87	0.0305434	0.0192615	0.0279659	0.0359938	0.0652796	0.107468	0.227541	0.485947
a23	0.365522	0.211181	0.150284	0.0897592	0.0581778	0.0401791	0.0377221	0.0471742
a97	0.102302	0.0506423	0.0354772	0.030258	0.0410473	0.0889662	0.265844	0.385463
</S>	0.0192668	0.0102659	0.0109598	0.0112837	0.0260099	0.0803614	0.2974	0.544452
