 	parmi	ceux	qui	se	querellaient	lequel	s'	est	calmé	avant	</S>
a66	0.155803	0.133555	0.105757	0.164686	0.129257	0.145597	0.0983593	0.0347037	0.0175054	0.00779351	0.00698233
a87	0.249668	0.106583	0.055677	0.0763608	0.0845642	0.136943	0.0987801	0.0539359	0.0500126	0.0411209	0.0463547
a23	0.502389	0.174721	0.0684388	0.0898042	0.0578906	0.0295114	0.0191141	0.014962	0.0112786	0.0126063	0.019284
a87	0.369234	0.143409	0.0767957	0.174126	0.114978	0.038838	0.0240727	0.0175695	0.0114894	0.0121108	0.0173772
a23	0.341296	0.145238	0.0887088	0.180684	0.103313	0.0420173	0.027062	0.0215925	0.0146966	0.0154025	0.0199904
a10	0.316215	0.0754264	0.0667959	0.116886	0.0830778	0.0469258	0.0481854	0.0530302	0.0509556	0.0581049	0.0843971
a75	0.158119	0.0650228	0.0586307	0.10543	0.0883842	0.0408649	0.0451598	0.0768217	0.106952	0.110159	0.144455
a47	0.134455	0.131689	0.0639951	0.0774733	0.106139	0.0743727	0.0605842	0.0521418	0.0829635	0.0944384	0.121747
a6	0.0690574	0.083338	0.0549548	0.0800391	0.146693	0.105579	0.0895603	0.0676753	0.0831853	0.0934824	0.126435
a5	0.101603	0.142986	0.111633	0.139193	0.187943	0.116091	0.0698595	0.0353466	0.0307731	0.028041	0.0365317
a85	0.0835017	0.11765	0.127737	0.158832	0.224289	0.134813	0.0732667	0.0303029	0.0195611	0.0139719	0.0160752
a0	0.0359349	0.0630611	0.0846219	0.115513	0.228526	0.174956	0.105098	0.049959	0.0388861	0.044147	0.0592974
a61	0.0270518	0.054211	0.117022	0.155595	0.236257	0.175891	0.0941057	0.0391018	0.0271692	0.0304605	0.0431357
a75	0.00869961	0.0193276	0.0984281	0.124774	0.199689	0.229236	0.144127	0.0599726	0.0366756	0.0329208	0.0461491
a47	0.0104047	0.0182894	0.0501018	0.0753421	0.160113	0.216105	0.126867	0.0737761	0.0665358	0.0862209	0.116245
a36	0.00762208	0.0136953	0.0537486	0.0636167	0.0938288	0.19142	0.164438	0.101691	0.0695621	0.0916386	0.148739
a47	0.00735486	0.0108334	0.040799	0.0493886	0.059448	0.131903	0.152843	0.134932	0.0904802	0.113889	0.20813
a6	0.00486399	0.00701638	0.0286438	0.0285529	0.0293187	0.0837795	0.116777	0.139182	0.105998	0.15662	0.299247
a37	0.00192391	0.00357856	0.0151351	0.0166593	0.0225712	0.068261	0.100714	0.142896	0.143396	0.182951	0.301914
a36	0.00405668	0.00668523	0.0238481	0.0242027	0.0236714	0.0432927	0.0692838	0.139012	0.157524	0.189682	0.318741
a26	0.0101544	0.00969812	0.0225855	0.0197537	0.0148126	0.0189964	0.0266471	0.0899714	0.125345	0.228769	0.433267
a57	0.0206578	0.0145012	0.0352612	0.022045	0.0133978	0.0208767	0.0295101	0.0720626	0.107586	0.242036	0.422066
a87	0.0434268	0.0198164	0.027158	0.023492	0.0239496	0.046844	0.0603656	0.114286	0.135895	0.210764	0.294003
a23	0.118887	0.0479146	0.036383	0.0271753	0.0285546	0.0892743	0.116209	0.171159	0.140016	0.112973	0.111453
a4	0.0468364	0.0228612	0.0164845	0.0103996	0.0120588	0.0414734	0.0542106	0.100699	0.148919	0.236342	0.309715
a57	0.00389707	0.00294019	0.00522264	0.00431544	0.00799868	0.0313819	0.0499591	0.110399	0.158905	0.25087	0.374111
a53	0.000272345	0.000470237	0.00107867	0.00111727	0.00256131	0.00894882	0.0148808	0.0456036	0.106543	0.337846	0.480677
a90	0.000557809	0.000967087	0.00281984	0.00273447	0.00528251	0.0176004	0.0332028	0.0874603	0.164329	0.310562	0.374484
a56	0.00113385	0.00204176	0.00586197	0.00547615	0.0074758	0.0194892	0.0377648	0.0853519	0.155062	0.300633	0.37971
a34	0.00076909	0.00148298	0.00415469	0.00599019	0.00938975	0.018034	0.0342411	0.0895833	0.164219	0.306444	0.365691
a93	0.000483156	0.000924446	0.00225795	0.00384217	0.00731934	0.0131475	0.0259075	0.0786089	0.15597	0.323074	0.388465
a70	0.000558349	0.00107184	0.00216755	0.00340059	0.00501354	0.00810081	0.017715	0.0674152	0.139627	0.326559	0.428371
a93	0.000590486	0.00112597	0.0020736	0.00322127	0.00480931	0.0070995	0.014682	0.0605427	0.123444	0.310374	0.472037
a43	0.000414715	0.000803855	0.00151438	0.00222705	0.00290487	0.00422869	0.00947295	0.0399721	0.0922298	0.297686	0.548545
a75	0.000511823	0.000883215	0.00166295	0.0018521	0.00184558	0.00298745	0.00648506	0.0297973	0.0680649	0.274024	0.611886
a56	0.000183271	0.000297289	0.000599277	0.000617314	0.000707966	0.00169758	0.00447455	0.0236812	0.0582546	0.271975	0.637512
a47	0.000212999	0.000369276	0.000764903	0.000719819	0.000781767	0.00199469	0.00513803	0.0264162	0.0610727	0.273824	0.628706
a88	0.000136093	0.000239654	0.000713904	0.00067913	0.00072255	0.00166072	0.00402539	0.0208135	0.0491786	0.255447	0.666383
a43	0.000465428	0.000788542	0.00210285	0.00169152	0.00139416	0.0033366	0.00693449	0.0305547	0.0638778	0.268747	0.620107
a27	0.000497223	0.000816093	0.00190897	0.00149157	0.00124847	0.00279755	0.00558421	0.0229536	0.0529877	0.251516	0.658199
a10	0.0128524	0.0115714	0.0118603	0.00722001	0.00524066	0.0135149	0.0167198	0.0469135	0.0935805	0.282049	0.498477
a97	0.143823	0.0669129	0.0418603	0.0328002	0.0369449	0.0672939	0.0430279	0.0565603	0.0860346	0.17357	0.251171
a10	0.182878	0.0810681	0.0546357	0.0494513	0.0514239	0.0912562	0.0611535	0.0595406	0.0789362	0.12781	0.161846
a87	0.167543	0.100965	0.0701794	0.0606871	0.059042	0.0807507	0.058564	0.0574156	0.0647136	0.115483	0.164657
a23	0.145065	0.0843282	0.0660688	0.0529418	0.0493628	0.0728981	0.0660824	0.0732864	0.0713896	0.128034	0.190543
a87	0.0911915	0.0616034	0.0309309	0.0139889	0.0107872	0.0171995	0.0145462	0.0317264	0.0749352	0.247808	0.405282
a23	0.0325132	0.0219321	0.0158029	0.00868086	0.00920351	0.0216222	0.0204599	0.0298136	0.0578121	0.244337	0.537823
a87	0.0476478	0.0407584	0.0252724	0.0117441	0.00975164	0.0221675	0.0243843	0.0406069	0.0804605	0.252272	0.444934
</S>	0.0321232	0.0224739	0.012161	0.00688756	0.00735123	0.0154946	0.0170086	0.0283497	0.0621766	0.253572	0.542402
