 	c'	est	un	animal	domestique	</S>
a23	0.21315	0.155564	0.114776	0.134544	0.204787	0.177179
a87	0.172537	0.129627	0.0976874	0.123502	0.198558	0.278088
a23	0.266955	0.181542	0.125611	0.116756	0.134162	0.174972
a87	0.201143	0.148487	0.104578	0.121091	0.187823	0.236877
a23	0.275298	0.201162	0.129547	0.110982	0.122615	0.160396
a41	0.175336	0.149349	0.115154	0.131699	0.181372	0.247089
a32	0.342569	0.240507	0.157752	0.106642	0.0846443	0.067886
a71	0.256634	0.235829	0.189464	0.141379	0.0988643	0.0778303
a38	0.229745	0.214253	0.194851	0.159402	0.112147	0.0896014
a41	0.263757	0.248575	0.21036	0.136916	0.080533	0.0598579
a26	0.238076	0.235914	0.211982	0.146842	0.0892363	0.0779503
a25	0.220559	0.225816	0.202481	0.154404	0.101301	0.0954387
a10	0.112351	0.124449	0.159803	0.193289	0.187059	0.22305
a54	0.0732794	0.080591	0.115963	0.168114	0.229385	0.332668
a30	0.0759928	0.0861963	0.131239	0.18793	0.22419	0.294452
a57	0.0486838	0.066443	0.116638	0.196077	0.264333	0.307825
a87	0.0158397	0.0221283	0.0546562	0.133011	0.265281	0.509084
</S>	0.00703505	0.0120412	0.0318924	0.0867209	0.209948	0.652363
