 	l'	antilope	dort	à	l'	abri	de	l'	arbre	tombé	</S>
a87	0.14759	0.142095	0.154944	0.115269	0.128325	0.0951432	0.0783111	0.0479186	0.038039	0.0269717	0.0253928
a10	0.128842	0.0956565	0.0773576	0.0624956	0.0644572	0.112815	0.105887	0.084423	0.0805938	0.086931	0.100541
a83	0.290139	0.176822	0.108434	0.0473898	0.0408116	0.046606	0.0452051	0.0445214	0.0477875	0.0661588	0.0861245
a56	0.225338	0.133665	0.13815	0.0919302	0.0937525	0.0877099	0.0654996	0.0478476	0.0422737	0.0351162	0.0387173
a92	0.521561	0.257927	0.110956	0.0324928	0.0204212	0.0121239	0.0114706	0.00955778	0.0094217	0.00662675	0.00744207
a85	0.354337	0.275582	0.141629	0.0518276	0.0359953	0.0268271	0.0231966	0.0216572	0.025899	0.0190428	0.0240062
a44	0.34044	0.317142	0.180376	0.0459865	0.0337749	0.0210347	0.0155443	0.0116213	0.0120919	0.00960868	0.0123806
a26	0.196912	0.238608	0.257588	0.0879444	0.0666759	0.0340611	0.0272683	0.0208624	0.0222601	0.021524	0.0262958
a98	0.0722284	0.0860143	0.229479	0.140058	0.129916	0.0861775	0.0649543	0.0538862	0.0513286	0.0400546	0.0459035
a41	0.0805403	0.0824775	0.158732	0.126585	0.139726	0.096177	0.0853669	0.0617007	0.0634946	0.0487538	0.0564464
a11	0.0507563	0.0566107	0.143828	0.110763	0.129744	0.0980001	0.0884889	0.075573	0.0841763	0.0754808	0.0865792
a75	0.0262473	0.0242751	0.0919261	0.131099	0.148474	0.112937	0.0942636	0.0881536	0.0914193	0.0771163	0.114088
a66	0.0156416	0.0132384	0.0653437	0.12297	0.161629	0.129034	0.106498	0.0952397	0.104038	0.086643	0.0997247
a9	0.00539893	0.00473867	0.0285491	0.0961873	0.128475	0.135858	0.106653	0.117824	0.126115	0.108308	0.141892
a38	0.00234492	0.00213013	0.0112968	0.0358943	0.059826	0.0915516	0.0881514	0.130299	0.155345	0.187221	0.235941
a13	0.00182729	0.00146286	0.00737979	0.0338554	0.0558759	0.103375	0.0951025	0.144922	0.169618	0.177783	0.208797
a4	0.00110465	0.000761722	0.00303091	0.0149199	0.028278	0.0724134	0.0723564	0.121567	0.160293	0.218888	0.306387
a13	0.000985111	0.000804716	0.00534741	0.0196043	0.0284842	0.0486348	0.0463214	0.0731825	0.117882	0.233571	0.425183
a9	0.00054745	0.000588094	0.0038312	0.0159427	0.0266244	0.0631852	0.0596164	0.0928718	0.127282	0.230695	0.378816
a87	0.00252499	0.0019157	0.00643525	0.0206787	0.0407464	0.12113	0.0920125	0.118264	0.133321	0.197575	0.265395
a10	0.0279751	0.0168168	0.024986	0.0343449	0.0533101	0.12508	0.0931968	0.113997	0.134972	0.168109	0.207212
a38	0.00607068	0.00409504	0.00616889	0.0156432	0.0214386	0.0475165	0.0510447	0.0948546	0.16585	0.238201	0.349117
a97	0.00416695	0.00375085	0.00799461	0.0171474	0.017421	0.0342809	0.0305446	0.0596945	0.117048	0.252067	0.455884
</S>	0.013846	0.0137662	0.020271	0.0262354	0.0285057	0.052271	0.0528481	0.07524	0.120138	0.208625	0.388254
