 	j'	ai	caché	de	l'	argent	là	</S>
a23	0.200801	0.119682	0.0949247	0.104169	0.141778	0.170327	0.114073	0.0542439
a83	0.218468	0.20252	0.201312	0.160688	0.0987031	0.0613983	0.0350658	0.0218446
a50	0.304581	0.279224	0.142543	0.0807966	0.0576182	0.0517706	0.0438065	0.0396604
a31	0.446281	0.345832	0.119624	0.0518817	0.0217653	0.00818668	0.00384179	0.00258818
a0	0.4063	0.395449	0.125056	0.0410797	0.0171059	0.0079306	0.00435652	0.0027223
a47	0.295046	0.317283	0.184614	0.0746857	0.0495938	0.0351757	0.0246548	0.0189463
a96	0.234881	0.207606	0.182807	0.10884	0.0839684	0.06777	0.057765	0.0563633
a25	0.216283	0.163366	0.15937	0.129259	0.118096	0.0920119	0.0667194	0.054894
a56	0.151572	0.0771072	0.0978648	0.135074	0.1803	0.15426	0.114951	0.0888715
a96	0.06459	0.0372685	0.0866876	0.157732	0.208672	0.177804	0.141139	0.126107
a25	0.0360047	0.0224022	0.0631676	0.141936	0.209707	0.193685	0.170068	0.16303
a93	0.0132667	0.00671861	0.0176435	0.0604036	0.158707	0.22841	0.268955	0.245896
a21	0.0134092	0.00788834	0.020103	0.0681528	0.152105	0.202685	0.254325	0.281332
a12	0.0198475	0.0141014	0.0212732	0.0490891	0.10507	0.171825	0.281349	0.337446
a88	0.00459183	0.00289972	0.00481688	0.0161205	0.0501371	0.12625	0.310145	0.485039
a25	0.00265201	0.00152493	0.0026987	0.0104898	0.034475	0.0997982	0.296847	0.551514
a87	0.000283951	0.000176916	0.000335891	0.00165623	0.00930445	0.0552465	0.27085	0.662146
a23	0.0170734	0.0144299	0.0193512	0.0412348	0.0849078	0.189792	0.298344	0.334867
a87	0.0203216	0.0202813	0.0256764	0.0389484	0.0759493	0.163521	0.292198	0.363104
</S>	0.0119444	0.0180375	0.0280743	0.0432274	0.0759548	0.142509	0.273606	0.406646
