 	la	fille	que	tu	m'	as	proposée	est	encore	mineure	</S>
a66	0.0595662	0.0711697	0.103164	0.175886	0.224039	0.202767	0.126013	0.0223389	0.00727322	0.00395314	0.00383079
a87	0.330756	0.157498	0.111745	0.118092	0.111354	0.115284	0.0411539	0.0028704	0.00245607	0.00383863	0.00495202
a23	0.196297	0.13269	0.0969796	0.11503	0.113933	0.167622	0.132372	0.016379	0.00867009	0.00928425	0.0107425
a83	0.195337	0.145223	0.100229	0.109246	0.0948018	0.129225	0.152923	0.02444	0.0180195	0.014138	0.016418
a98	0.151539	0.144272	0.116271	0.141275	0.132581	0.161122	0.128551	0.00990212	0.00581223	0.00412336	0.00455128
a92	0.0917333	0.093395	0.0897392	0.115673	0.147191	0.209348	0.223754	0.0143908	0.00685993	0.00421639	0.00369936
a75	0.0983716	0.125527	0.103342	0.119098	0.120954	0.15769	0.243823	0.0190231	0.00727669	0.00297859	0.00191478
a12	0.0932875	0.105223	0.0953132	0.103404	0.105303	0.171076	0.269381	0.0295722	0.0139195	0.00761129	0.00590847
a75	0.0853217	0.0969028	0.0880802	0.0992792	0.0917739	0.113214	0.27809	0.048557	0.0418303	0.032939	0.0240123
a21	0.0908726	0.0980456	0.0866853	0.089921	0.0833257	0.10944	0.245761	0.0718441	0.058406	0.0376466	0.028052
a12	0.0970713	0.0979745	0.0962767	0.106746	0.0998005	0.113314	0.168337	0.056294	0.0605314	0.0555305	0.0481247
a21	0.051337	0.0737499	0.0937921	0.113142	0.115617	0.104126	0.120659	0.068858	0.0802563	0.0906602	0.0878029
a5	0.0448535	0.0704734	0.104125	0.130348	0.139077	0.113569	0.108802	0.0663729	0.066753	0.0764903	0.0791354
a92	0.0143116	0.0250795	0.0481858	0.0696029	0.0854023	0.0688236	0.0744992	0.112607	0.150873	0.176584	0.174031
a37	0.0119428	0.0184011	0.0348837	0.0442972	0.0626682	0.0469811	0.0878823	0.178906	0.176862	0.161577	0.175599
a85	0.012537	0.0168584	0.0293555	0.0421194	0.0630269	0.0528225	0.0656072	0.184034	0.17164	0.175421	0.186578
a21	0.00721665	0.00891607	0.0146312	0.0208432	0.0329098	0.0262616	0.040165	0.153779	0.185385	0.228466	0.281427
a12	0.00533267	0.00562995	0.00754	0.00949252	0.0160361	0.0148482	0.0345331	0.209172	0.224648	0.2136	0.259168
a62	0.00235004	0.00248312	0.0032597	0.00362647	0.00623976	0.005737	0.0173559	0.157628	0.235185	0.256126	0.31001
a21	0.00160101	0.00159476	0.00182593	0.0019838	0.00317144	0.00316566	0.0104223	0.0841642	0.186718	0.302324	0.403028
a12	0.000845786	0.000799678	0.000995732	0.00119125	0.00204485	0.00203743	0.00781669	0.0964373	0.194299	0.300788	0.392745
a96	0.000347591	0.000361704	0.000470333	0.000528699	0.000854159	0.000823556	0.00288972	0.0540125	0.141828	0.312167	0.485717
a37	0.000512611	0.000526316	0.000635591	0.000630054	0.000950426	0.000932974	0.00327253	0.0424781	0.108451	0.292973	0.548637
a26	0.000285949	0.000272446	0.000331896	0.000342477	0.00052908	0.000650657	0.0024434	0.0252836	0.0736922	0.267195	0.628974
a82	0.00276851	0.00181042	0.00164219	0.00169873	0.00253845	0.00337531	0.00627931	0.0412831	0.105318	0.259415	0.57387
a97	0.0160254	0.00828873	0.00704462	0.00799335	0.0153029	0.0273265	0.0307626	0.0964041	0.148174	0.224987	0.41769
a87	0.11951	0.0572217	0.0466813	0.0485514	0.0732753	0.0990311	0.0580419	0.0898952	0.114632	0.123196	0.169964
a23	0.131099	0.0699191	0.0596873	0.0657836	0.0897971	0.112439	0.0791666	0.0668572	0.0939003	0.106706	0.124645
a99	0.0147892	0.00720013	0.0052177	0.00452505	0.00781693	0.0111553	0.016326	0.0511629	0.1336	0.288939	0.459268
a97	0.0043142	0.00244378	0.00203174	0.00206347	0.00364975	0.00552868	0.0122428	0.0331667	0.102141	0.289336	0.543082
a57	0.00740889	0.00520273	0.00495764	0.00551664	0.00844839	0.0120162	0.0125675	0.0229352	0.0783575	0.280189	0.5624
</S>	0.0194481	0.0146874	0.0143687	0.0149319	0.0202228	0.0277361	0.0305008	0.0302411	0.089137	0.257462	0.481265
