 	j'	ai	caché	de	l'	argent	là	</S>
a66	0.184106	0.0935347	0.0667815	0.0759826	0.136116	0.17423	0.164272	0.104978
a87	0.158246	0.118671	0.147384	0.182112	0.156836	0.120834	0.0722294	0.0436873
a97	0.30712	0.228344	0.159025	0.117375	0.0696258	0.0506723	0.0391903	0.0286477
a83	0.269503	0.225386	0.187676	0.141386	0.0712372	0.0444895	0.0320935	0.028229
a50	0.394885	0.273416	0.137042	0.0963824	0.0398406	0.0238619	0.0175511	0.0170202
a31	0.300166	0.262209	0.186484	0.127145	0.0590944	0.0308662	0.0194689	0.0145662
a24	0.243048	0.261437	0.217839	0.139952	0.0637208	0.0348384	0.0216963	0.0174696
a31	0.167814	0.238213	0.261846	0.16672	0.0762857	0.0449898	0.0252917	0.0188402
a0	0.166419	0.218756	0.240163	0.166911	0.0859192	0.0574033	0.0355499	0.0288786
a61	0.126043	0.127611	0.177934	0.162711	0.1222	0.106988	0.091776	0.0847367
a35	0.121121	0.0955017	0.143642	0.157478	0.144373	0.133554	0.111867	0.0924632
a25	0.0397846	0.0265644	0.0580058	0.100827	0.176277	0.215169	0.204748	0.178623
a56	0.019996	0.0136335	0.0348088	0.0607634	0.124942	0.201421	0.249392	0.295043
a94	0.00657816	0.00447917	0.0122203	0.0260919	0.0792938	0.161924	0.274507	0.434906
a25	0.00179651	0.00130911	0.00283918	0.00607219	0.0279461	0.0899106	0.255173	0.614954
a44	0.00517637	0.00439475	0.00696932	0.0147103	0.0517816	0.122683	0.26982	0.524466
a75	0.00336353	0.00273516	0.00474554	0.00963855	0.0325924	0.0963315	0.2703	0.580293
a5	0.000663731	0.000455038	0.00117161	0.00261147	0.0125277	0.0533768	0.232565	0.696628
a18	0.000370384	0.000245754	0.000582957	0.00130384	0.00717663	0.0353583	0.196649	0.758313
a25	0.0170389	0.0129777	0.0149885	0.0192611	0.039142	0.08587	0.199577	0.611145
a82	0.0939507	0.0621658	0.0650001	0.0758212	0.0970573	0.129104	0.170639	0.306262
a3	0.128687	0.0821272	0.0719079	0.0845766	0.0995902	0.131209	0.17246	0.229442
a38	0.124757	0.0919601	0.0660918	0.0733948	0.0893368	0.131587	0.18788	0.234993
a82	0.0376142	0.0275813	0.0252185	0.0349318	0.0572462	0.127051	0.252005	0.438352
</S>	0.0308477	0.0271048	0.0276891	0.0387123	0.0694107	0.143927	0.242373	0.419935
