 	ton	enfant	est	d'	un	suivisme	exagéré	</S>
a23	0.351644	0.237938	0.138525	0.0810083	0.0837132	0.0621046	0.0257074	0.0193596
a87	0.434312	0.179307	0.0892342	0.0727973	0.063374	0.0603732	0.0545637	0.0460385
a97	0.247031	0.171163	0.113038	0.0880557	0.0901541	0.0674331	0.0895285	0.133597
a87	0.25912	0.180509	0.130011	0.093201	0.0881776	0.0665207	0.0750267	0.107434
a23	0.253876	0.171634	0.129608	0.0920047	0.098072	0.0737257	0.0791891	0.101891
a99	0.48277	0.198217	0.0858222	0.0563027	0.0400201	0.0323156	0.0365825	0.0679698
a54	0.390043	0.229668	0.116129	0.068181	0.0556501	0.0485658	0.0386594	0.0531044
a36	0.383391	0.239947	0.100102	0.0523129	0.0527444	0.0612214	0.0554279	0.0548536
a6	0.274721	0.199163	0.128821	0.0803617	0.0793766	0.0750734	0.0748193	0.0876635
a37	0.196783	0.154869	0.121671	0.0952787	0.101275	0.0978629	0.0985139	0.133745
a6	0.135411	0.142159	0.137201	0.113205	0.129364	0.131171	0.103203	0.108286
a79	0.106258	0.127521	0.125775	0.107605	0.123197	0.140688	0.129481	0.139474
a15	0.0930657	0.118177	0.122523	0.113374	0.132399	0.153639	0.136734	0.130089
a7	0.0420337	0.0549027	0.0660953	0.0806276	0.120226	0.194588	0.217208	0.224318
a75	0.0440111	0.0559397	0.0725955	0.0887199	0.132992	0.207336	0.20232	0.196087
a5	0.0229943	0.0285843	0.044862	0.0675775	0.120042	0.212834	0.241978	0.261128
a61	0.0501736	0.0505017	0.057542	0.0653229	0.104948	0.173791	0.237257	0.260464
a75	0.0238304	0.0244306	0.0363257	0.0572181	0.103009	0.195158	0.296736	0.263292
a25	0.027095	0.0227373	0.0288643	0.0406879	0.0691628	0.127966	0.269626	0.413861
a56	0.0190232	0.0197425	0.029256	0.0429935	0.0635485	0.129727	0.301694	0.394015
a93	0.00421016	0.00394787	0.00707212	0.0152439	0.0290384	0.0875292	0.316281	0.536677
a94	0.00463072	0.00455804	0.00698292	0.0128404	0.0241374	0.0669534	0.309976	0.569921
a11	0.0030448	0.00252423	0.00402131	0.00836452	0.0163286	0.0482869	0.258791	0.658639
a88	0.00118527	0.000781035	0.00107565	0.00307044	0.00694782	0.0310566	0.252787	0.703096
a9	0.0013064	0.000782707	0.0010815	0.00325887	0.00694865	0.0249695	0.231873	0.729779
a87	0.0124493	0.00827678	0.00964813	0.0213496	0.0362863	0.0762332	0.245933	0.589824
a23	0.269478	0.119993	0.0783468	0.0877185	0.0995279	0.0985688	0.116602	0.129765
a87	0.0871659	0.0371938	0.0290646	0.0390528	0.0548776	0.101205	0.296567	0.354874
</S>	0.0101613	0.0068321	0.0091835	0.0200202	0.0406435	0.112511	0.323969	0.476679
