 	cet	enfant	est	le	fils	de	l'	arrière-petit-fils	d'	akwango	</S>
a15	0.139508	0.0819253	0.0875446	0.107488	0.121458	0.125724	0.123006	0.0930116	0.0619692	0.0395367	0.0188286
a10	0.0674447	0.0672318	0.0889554	0.119643	0.140764	0.144226	0.131901	0.103957	0.0723441	0.0423799	0.0211533
a87	0.27113	0.101179	0.0802043	0.0795963	0.0813001	0.0794019	0.081558	0.0934813	0.056725	0.0385676	0.0368565
a85	0.345258	0.121226	0.0896509	0.0819024	0.0740358	0.0624024	0.0642836	0.0723865	0.0417399	0.0233066	0.0238075
a87	0.41703	0.174804	0.113012	0.0848046	0.0579988	0.0339823	0.0323273	0.0270765	0.0262607	0.016345	0.0163582
a23	0.33416	0.14516	0.10371	0.0893483	0.069963	0.0493538	0.0537519	0.0495471	0.0488312	0.0299978	0.0261764
a90	0.318252	0.133448	0.093275	0.0830741	0.0645819	0.0443363	0.0515814	0.0445727	0.0703957	0.0525865	0.0438968
a98	0.396548	0.173149	0.107354	0.0796553	0.0570839	0.0371336	0.0277504	0.0161271	0.0231675	0.0267163	0.0553158
a92	0.29656	0.184849	0.14127	0.113398	0.0817107	0.0488467	0.0333898	0.0192301	0.0204069	0.0194547	0.0408847
a90	0.237962	0.185121	0.161882	0.133189	0.1012	0.0630794	0.0398243	0.0215185	0.0172557	0.0132388	0.0257292
a69	0.145724	0.16043	0.171413	0.149824	0.120525	0.0829931	0.0565976	0.0294472	0.0233529	0.020976	0.0387171
a54	0.112382	0.145152	0.166019	0.150647	0.132693	0.100298	0.0690401	0.0367273	0.0250557	0.0228662	0.0391182
a85	0.0927249	0.125762	0.147764	0.137941	0.136056	0.112553	0.0783266	0.0448293	0.0311211	0.0321869	0.0607352
a6	0.0682842	0.106123	0.137036	0.132408	0.141081	0.120923	0.0868163	0.0543282	0.037102	0.0406804	0.0752177
a61	0.0597473	0.091557	0.124028	0.127163	0.144279	0.134623	0.0931151	0.0542841	0.0390331	0.0425814	0.0895887
a18	0.0616999	0.085303	0.124911	0.136942	0.156077	0.144187	0.101917	0.062926	0.0382767	0.0313577	0.0564024
a9	0.0352751	0.0516662	0.0805558	0.107655	0.147465	0.167129	0.132461	0.0975513	0.0535565	0.0470519	0.0796326
a27	0.0197515	0.0356885	0.0659633	0.100293	0.142939	0.176979	0.142976	0.121487	0.0703332	0.0554461	0.0681444
a90	0.0346711	0.0506808	0.081606	0.111813	0.139638	0.1618	0.126816	0.0994283	0.0620196	0.0540207	0.0775075
a25	0.0312246	0.0398657	0.0532661	0.0738814	0.108866	0.139032	0.12123	0.0869023	0.0794585	0.0900788	0.176194
a15	0.0252856	0.0347929	0.0508092	0.0707739	0.115824	0.159793	0.135451	0.102076	0.081544	0.0883736	0.135277
a25	0.0361161	0.0440669	0.0570018	0.0676917	0.0997342	0.139112	0.120038	0.0921798	0.0766701	0.0955641	0.171825
a69	0.0302583	0.0414756	0.0543075	0.0643389	0.0967202	0.136841	0.12465	0.106637	0.0864187	0.103849	0.154504
a7	0.0310492	0.0394511	0.0492689	0.0588467	0.0837844	0.131714	0.126474	0.102831	0.0912545	0.109584	0.175742
a58	0.0349337	0.0406161	0.0465464	0.0559242	0.0736449	0.105232	0.11186	0.098465	0.10785	0.126431	0.198497
a82	0.0206844	0.0235283	0.0287468	0.0375266	0.0504354	0.0787451	0.0916917	0.107539	0.1266	0.164163	0.27034
a10	0.022437	0.0190271	0.0233827	0.032293	0.0491151	0.0890574	0.101179	0.13177	0.140115	0.17164	0.219984
a50	0.0450194	0.0252707	0.0247268	0.0333235	0.0506809	0.0846932	0.104181	0.149551	0.148186	0.157842	0.176525
a62	0.0859384	0.0563137	0.0500414	0.0550081	0.0653738	0.0853199	0.104513	0.137402	0.134531	0.10389	0.121669
a21	0.0111246	0.01093	0.0120135	0.0162871	0.0228244	0.0331732	0.043564	0.0422101	0.100614	0.236913	0.470346
a85	0.0335228	0.0302952	0.0276173	0.0283715	0.0318517	0.0391439	0.0444398	0.0496762	0.0985445	0.220203	0.396334
a47	0.0262856	0.0337764	0.0363591	0.0372881	0.0419308	0.0491457	0.0534951	0.0549137	0.0986759	0.223532	0.344598
a36	0.0115611	0.0150564	0.0184215	0.0200669	0.0285455	0.0464787	0.0462307	0.0446787	0.0814205	0.215127	0.472413
a26	0.0121817	0.01197	0.0135261	0.0152806	0.0199832	0.0274917	0.0316033	0.0379599	0.0863893	0.240099	0.503515
a98	0.0237052	0.0179312	0.0169778	0.0210949	0.0255908	0.0342084	0.0432196	0.0573246	0.118708	0.235215	0.406024
a79	0.00492718	0.0044005	0.00472564	0.00613879	0.00885834	0.0130023	0.0171311	0.0237124	0.07744	0.228802	0.610862
a94	0.00449564	0.00526055	0.00606234	0.00696856	0.00908997	0.0132069	0.0151861	0.0197891	0.0536927	0.193067	0.673181
a57	0.00173106	0.00185308	0.00221652	0.00279934	0.00449192	0.00759516	0.00855742	0.0115771	0.0377624	0.155582	0.765834
a82	0.00744077	0.00629038	0.00618669	0.00756361	0.0100613	0.0148634	0.0192487	0.0299179	0.0772446	0.217935	0.603248
a10	0.0263199	0.0168061	0.0138002	0.0154314	0.0176575	0.0238576	0.0395871	0.0702131	0.146316	0.250342	0.37967
a57	0.0684997	0.0381631	0.026889	0.0275353	0.0303158	0.038038	0.0646482	0.118225	0.161451	0.184475	0.24176
a87	0.0912348	0.0522273	0.037322	0.0392694	0.0459699	0.0526307	0.0741997	0.113254	0.136577	0.14601	0.211306
a23	0.0771262	0.0518898	0.0431141	0.052528	0.0651587	0.0711066	0.0910341	0.123082	0.136135	0.131002	0.157824
a87	0.0544277	0.0461655	0.0417679	0.0458608	0.0560745	0.0562003	0.0807367	0.101755	0.136869	0.15677	0.223372
</S>	0.0399636	0.033081	0.0263416	0.0265955	0.0319286	0.0333092	0.0481061	0.0617089	0.0962217	0.15873	0.444014
