 	mon	ami	m'	apprend	à	tisser	la	nasse	=	-yésaa	</S>
a66	0.238397	0.130823	0.0962888	0.0992966	0.112909	0.104737	0.0738934	0.0559428	0.0409616	0.0287897	0.0179609
a15	0.233948	0.153911	0.15622	0.135856	0.110104	0.0735828	0.0396324	0.0326496	0.027388	0.0203312	0.0163762
a84	0.341347	0.1864	0.118512	0.0710437	0.0495471	0.0431817	0.0415223	0.0377651	0.0296108	0.031246	0.0498243
a87	0.369739	0.229	0.114169	0.0601779	0.0468138	0.0419229	0.036729	0.0309569	0.0243868	0.0211396	0.0249653
a23	0.431345	0.241502	0.0958599	0.0414768	0.0306577	0.02896	0.028379	0.0302515	0.0267053	0.0212491	0.0236132
a30	0.340457	0.234138	0.134078	0.0516701	0.0353077	0.0317904	0.0243401	0.0272959	0.038436	0.0409369	0.0415504
a13	0.307167	0.189679	0.0780853	0.0352555	0.0404148	0.0430602	0.0327125	0.0423276	0.0603682	0.0770368	0.0938932
a62	0.356792	0.210947	0.107014	0.0615897	0.0700131	0.0545853	0.0267091	0.0232063	0.0271403	0.0301205	0.0318822
a21	0.328241	0.270996	0.136326	0.0690418	0.0575902	0.0429176	0.0216902	0.0172353	0.0192393	0.0212069	0.0155163
a92	0.243274	0.248479	0.168232	0.0862775	0.0726577	0.0583492	0.0273934	0.0206647	0.0247435	0.0289855	0.0209434
a85	0.180985	0.201603	0.168516	0.1044	0.0959705	0.0845741	0.0411075	0.0296887	0.0332685	0.0337024	0.0261843
a6	0.0728654	0.0895221	0.126688	0.146053	0.15001	0.139916	0.0947584	0.0600654	0.0454241	0.0374322	0.0372647
a85	0.0914869	0.108305	0.127566	0.147444	0.159294	0.143946	0.0772371	0.0433729	0.0327574	0.0327023	0.0358892
a92	0.0421334	0.0617245	0.102539	0.15024	0.181297	0.169979	0.111043	0.0657757	0.0420119	0.0377597	0.0354972
a85	0.0521087	0.072761	0.106171	0.142484	0.156607	0.143725	0.100335	0.0708719	0.0536385	0.0546588	0.0466398
a6	0.0247147	0.0378896	0.0683574	0.116637	0.142941	0.133888	0.115602	0.0933938	0.0789562	0.090958	0.0966627
a0	0.0380969	0.0494375	0.0761722	0.124212	0.150561	0.146187	0.134215	0.102134	0.0643442	0.0523223	0.0623181
a75	0.0263712	0.0328849	0.0603186	0.105516	0.123459	0.133443	0.160808	0.124611	0.0728194	0.0579414	0.101827
a5	0.0128016	0.0153941	0.0282376	0.0547543	0.0806274	0.102282	0.137897	0.136715	0.117759	0.127977	0.185555
a18	0.0248146	0.0289908	0.0475745	0.0732827	0.0821018	0.0997168	0.153481	0.148605	0.112447	0.100637	0.128349
a62	0.0128081	0.0149237	0.0232097	0.0375834	0.0447819	0.0685627	0.129953	0.171356	0.142691	0.144559	0.209571
a88	0.023182	0.0243661	0.0292306	0.0368195	0.0390625	0.05367	0.0890799	0.131907	0.140678	0.170336	0.261668
a71	0.0263118	0.0262609	0.0243728	0.0269506	0.0341218	0.0475482	0.0699234	0.109021	0.132861	0.184907	0.317722
a11	0.0275067	0.0277677	0.0270981	0.0312611	0.0355082	0.0438334	0.0659104	0.0971001	0.112337	0.168421	0.363256
a93	0.0229144	0.0220522	0.0229532	0.0275256	0.0314827	0.0368937	0.0544073	0.0877921	0.119742	0.196338	0.377899
a70	0.0038488	0.00394116	0.00490044	0.00602583	0.00842754	0.0148788	0.0330939	0.0710736	0.119	0.223999	0.510811
a90	0.00186719	0.00207416	0.00298868	0.00418542	0.00749525	0.0119994	0.0193229	0.0385664	0.0750398	0.190901	0.64556
a56	0.000420244	0.000490564	0.000825853	0.00142179	0.00250198	0.00521328	0.0141803	0.0311243	0.0581266	0.160976	0.72472
a93	0.000641369	0.000725439	0.00115192	0.00189584	0.00341017	0.006032	0.0120401	0.024849	0.0523059	0.157985	0.738963
a70	0.000984365	0.00110751	0.00182418	0.00281785	0.00491199	0.00801334	0.0143843	0.0291143	0.063963	0.176234	0.696645
a62	0.00150884	0.00168413	0.00270799	0.00405608	0.00769679	0.0122863	0.0188674	0.0357101	0.0772651	0.186541	0.651676
a21	0.000429976	0.000491845	0.000814773	0.00146542	0.0028349	0.00463021	0.00945729	0.023983	0.0630366	0.186774	0.706082
a5	0.000780619	0.000869559	0.00129711	0.00226885	0.00411551	0.00596627	0.0111383	0.0242974	0.0600479	0.160089	0.72913
a36	0.000502545	0.000547566	0.000994795	0.00224847	0.00446138	0.00737997	0.0135711	0.0280238	0.0605693	0.165072	0.716629
a27	0.0100905	0.00963212	0.0127295	0.0247968	0.0387889	0.0495429	0.0713732	0.10387	0.1366	0.197287	0.345289
a57	0.0536861	0.0414622	0.0449151	0.0825111	0.0909801	0.0863003	0.0984216	0.106381	0.104064	0.117128	0.174151
a87	0.20678	0.126538	0.0974653	0.106932	0.0732901	0.0577742	0.0599288	0.0598835	0.0604444	0.0663925	0.0845709
a23	0.264937	0.185368	0.134786	0.100052	0.0598125	0.0446675	0.037654	0.0366713	0.0407061	0.0457259	0.0496197
a87	0.146633	0.10098	0.0796376	0.0651746	0.0382597	0.0366554	0.0450782	0.0625767	0.0824009	0.116826	0.225777
</S>	0.0390529	0.0262144	0.0234912	0.0270323	0.0229041	0.0315547	0.0456778	0.0595883	0.0730166	0.141763	0.509705
