 	son	père	l'	a	blâmé	parce	qu'	il	rentre	à	la	maison	dans	la	nuit	</S>
a23	0.280286	0.220657	0.1686	0.105223	0.0250769	0.0176314	0.0174711	0.0220176	0.013985	0.0137104	0.0158808	0.0162549	0.0162671	0.0185735	0.021727	0.026638
a87	0.291241	0.106287	0.0616808	0.0483419	0.017805	0.0150029	0.0226479	0.0205749	0.0210572	0.0395987	0.0428885	0.0544465	0.0550615	0.0596859	0.0686031	0.0750772
a23	0.128755	0.0658749	0.0332085	0.0264896	0.0172528	0.0172171	0.0340225	0.0360202	0.0324047	0.0462397	0.0510559	0.0602333	0.0772153	0.0914325	0.118228	0.16435
a87	0.0956705	0.0459245	0.0280985	0.0278324	0.0314811	0.0357324	0.0332232	0.0227664	0.0353772	0.0503512	0.0542582	0.0609859	0.0745559	0.0945301	0.120189	0.189024
a23	0.0860452	0.051008	0.0345549	0.0305857	0.0281376	0.0329515	0.0333394	0.0231193	0.0302515	0.0557374	0.0656804	0.0675564	0.0860542	0.100127	0.11655	0.158301
a40	0.0555656	0.0307323	0.0241097	0.0264101	0.0293949	0.0308598	0.0209134	0.0178385	0.0276557	0.048396	0.0616767	0.0632111	0.0825139	0.116993	0.14902	0.214709
a44	0.317103	0.250934	0.117599	0.0600781	0.0280765	0.0234456	0.0173547	0.0256396	0.0238037	0.0223204	0.0210091	0.0177257	0.0169079	0.0178803	0.0183486	0.0217736
a76	0.210108	0.208422	0.150193	0.115078	0.0760795	0.0485496	0.0320937	0.0339261	0.0240107	0.0187501	0.0195863	0.0157003	0.0140366	0.0127868	0.0104413	0.0102379
a92	0.0928518	0.0962685	0.100782	0.101896	0.097788	0.0986563	0.0839793	0.0661764	0.0549394	0.0446905	0.0413844	0.0331782	0.0274892	0.0239481	0.018927	0.0170443
a47	0.0667496	0.0760008	0.0743512	0.0773576	0.0946763	0.112356	0.0919582	0.0709713	0.0692443	0.0629926	0.0578479	0.0459247	0.0341057	0.0267848	0.0201366	0.0185418
a75	0.0364252	0.0436114	0.0502136	0.0657555	0.0872932	0.124036	0.0949693	0.0728792	0.0805526	0.0791634	0.0704147	0.0567371	0.0419447	0.0343979	0.0301433	0.031463
a73	0.028133	0.0298687	0.0326245	0.0484252	0.0640972	0.0955922	0.0874583	0.0791908	0.0945332	0.100248	0.090717	0.0745687	0.0517864	0.0422964	0.0382764	0.0421836
a90	0.0138514	0.0134417	0.0145455	0.0222312	0.0287103	0.0518758	0.0826196	0.0891681	0.115507	0.133047	0.105459	0.0889828	0.0650588	0.0536527	0.0551386	0.0667101
a20	0.0200608	0.0208744	0.021968	0.0294687	0.0441202	0.0721385	0.0924025	0.0944968	0.110621	0.125329	0.0942921	0.0740224	0.0538725	0.0449737	0.0455593	0.0558002
a41	0.0142446	0.0147058	0.0153153	0.019271	0.0263679	0.040597	0.0530152	0.0740836	0.106941	0.140192	0.113738	0.0933914	0.0709751	0.0622597	0.0678829	0.087019
a27	0.021083	0.0212366	0.0208071	0.0246729	0.0408555	0.0584791	0.067444	0.0678943	0.0938701	0.127427	0.107636	0.0867681	0.0673582	0.0597395	0.0628347	0.0718943
a11	0.0175742	0.0125322	0.0113353	0.019447	0.0268747	0.0439668	0.0816607	0.11383	0.109421	0.107632	0.0841052	0.0630713	0.0590714	0.0608648	0.0761041	0.11251
a24	0.0132023	0.0106029	0.0103144	0.0199041	0.0293993	0.0503643	0.0855129	0.120829	0.114546	0.118313	0.0895171	0.0690362	0.0586052	0.0536123	0.0623289	0.0939126
a54	0.0213978	0.0162793	0.0158832	0.0267198	0.0320223	0.0582954	0.0895164	0.126305	0.123141	0.131153	0.0995176	0.0688915	0.0485739	0.0411202	0.0425008	0.0586826
a47	0.0243089	0.022449	0.0230548	0.0300992	0.0334436	0.0507174	0.0562164	0.070413	0.0827518	0.121556	0.109914	0.0952826	0.0777487	0.0696461	0.0639771	0.0684212
a85	0.0187167	0.0170722	0.0150474	0.0183165	0.0230709	0.0370407	0.0437697	0.0758761	0.0980803	0.139222	0.117654	0.098238	0.0806075	0.0702643	0.0683129	0.0787108
a47	0.0147183	0.0143034	0.0119936	0.0140504	0.0196173	0.0317998	0.0414855	0.0733434	0.103386	0.14381	0.117932	0.104581	0.0877431	0.0767968	0.0736343	0.0708054
a7	0.0156165	0.0164687	0.0127417	0.0160026	0.0265386	0.0386422	0.0464824	0.0842354	0.0998861	0.105387	0.0882903	0.0762511	0.0794461	0.081143	0.093701	0.119167
a2	0.0123765	0.0116714	0.0101123	0.0148568	0.029315	0.045816	0.0539633	0.085132	0.133357	0.134144	0.0992063	0.0633217	0.055045	0.0558094	0.0715653	0.124308
a53	0.0159075	0.0131735	0.0090505	0.0125149	0.0144102	0.0263128	0.0447409	0.0893716	0.164506	0.172938	0.110095	0.0639953	0.0497413	0.0468625	0.0604125	0.105968
a15	0.00601278	0.00620148	0.00605206	0.0108528	0.0265464	0.0371025	0.0482724	0.106486	0.136015	0.126759	0.113925	0.0718914	0.0656397	0.0654754	0.0711452	0.101623
a92	0.00698859	0.00596396	0.00504644	0.0073482	0.0147081	0.0275228	0.0421467	0.0869186	0.116386	0.122736	0.103717	0.0798433	0.0765125	0.0754673	0.0910597	0.137635
a96	0.00629538	0.00619729	0.00553417	0.008716	0.0159253	0.0292368	0.0486334	0.103379	0.126276	0.123355	0.102834	0.0816293	0.0773363	0.0743805	0.0839966	0.106275
a47	0.00512432	0.00449868	0.00359545	0.00534913	0.00915861	0.0192955	0.0355576	0.0633117	0.113317	0.132668	0.120196	0.0949574	0.0841423	0.0778743	0.0882666	0.142688
a75	0.00603093	0.00562984	0.00486909	0.00818318	0.0151447	0.0349897	0.0559159	0.0828167	0.115301	0.120925	0.105931	0.0813857	0.0762811	0.0749527	0.0861255	0.125518
a79	0.00881088	0.00824433	0.00684042	0.010618	0.0158782	0.0311103	0.0506957	0.0855416	0.11215	0.10524	0.087588	0.0684144	0.0661047	0.0761864	0.104944	0.161633
a44	0.00269094	0.0024378	0.00210972	0.00355731	0.00758783	0.019147	0.0406907	0.0633528	0.117452	0.132979	0.109487	0.0916906	0.0865055	0.0818652	0.0960792	0.142367
a84	0.00214991	0.00205198	0.00197036	0.00363585	0.00859919	0.020962	0.0414999	0.0731979	0.136061	0.1527	0.12713	0.0968826	0.0824174	0.0741981	0.0756297	0.100914
a53	0.00316851	0.00217992	0.00142784	0.00165818	0.00213888	0.00276034	0.00566284	0.0154946	0.0474943	0.127715	0.121568	0.10862	0.106796	0.11711	0.145029	0.191177
a93	0.0105105	0.00494035	0.00285211	0.00312764	0.00505295	0.00653239	0.0106185	0.0193602	0.0492734	0.11181	0.108404	0.0960098	0.103654	0.116199	0.141808	0.209848
a66	0.00180839	0.00123368	0.000927424	0.00140232	0.00265806	0.00422177	0.0106048	0.0251922	0.0551607	0.082985	0.0817259	0.0770683	0.0957445	0.122196	0.173145	0.263927
a9	0.000985555	0.000664961	0.000501135	0.000840498	0.00176817	0.00287838	0.00607003	0.0131445	0.0263873	0.057269	0.0658296	0.0756011	0.0969006	0.134367	0.204199	0.312593
a10	0.0105456	0.00560186	0.00328526	0.00303563	0.00336138	0.00400076	0.00958009	0.0243578	0.0552334	0.089143	0.0773183	0.0839344	0.0955352	0.114558	0.163845	0.256665
a87	0.0354382	0.0211314	0.011665	0.00960288	0.00908307	0.00926471	0.0156411	0.0236815	0.0381198	0.0532742	0.0527384	0.0614022	0.0911632	0.12842	0.183573	0.255801
