 	les	mouches	envahissent	la	viande	</S>
a82	0.287424	0.170672	0.235288	0.154584	0.0850485	0.0669838
a9	0.230205	0.201494	0.264661	0.149036	0.0857687	0.0688361
a82	0.331873	0.21484	0.210663	0.108037	0.070719	0.0638687
a10	0.376355	0.221015	0.182989	0.0976536	0.0646989	0.0572884
a82	0.384672	0.213407	0.185565	0.100301	0.0631033	0.0529516
a40	0.355367	0.226603	0.177644	0.107681	0.0734103	0.0592947
a41	0.412886	0.18723	0.121304	0.103911	0.0841814	0.090487
a36	0.605637	0.242297	0.0643326	0.0341973	0.0232402	0.0302964
a24	0.482712	0.255876	0.0941908	0.0597467	0.0463415	0.0611331
a31	0.42354	0.292722	0.118611	0.0635862	0.0469208	0.0546199
a24	0.394169	0.311351	0.13542	0.070463	0.0433542	0.045243
a75	0.257379	0.276491	0.18689	0.124323	0.0792502	0.0756672
a85	0.308031	0.292163	0.155551	0.08997	0.0715389	0.0827467
a6	0.257385	0.306788	0.189945	0.102128	0.0714816	0.0722717
a37	0.180297	0.242348	0.198721	0.135271	0.107846	0.135516
a61	0.111015	0.166768	0.207194	0.190617	0.143957	0.180449
a75	0.0841948	0.122917	0.18884	0.231073	0.195222	0.177753
a85	0.0674509	0.0977308	0.174233	0.245681	0.202437	0.212468
a5	0.0555834	0.0758436	0.155895	0.236691	0.219924	0.256063
a61	0.0605524	0.0689827	0.123821	0.224627	0.247349	0.274667
a41	0.0320503	0.0363856	0.0744633	0.17473	0.295606	0.386765
a6	0.0111916	0.0145303	0.0422165	0.131028	0.309003	0.492031
a37	0.0103409	0.0134276	0.0297678	0.100178	0.290119	0.556168
a26	0.00266063	0.00339147	0.0117911	0.0555378	0.253804	0.672815
a36	0.0106013	0.0103525	0.0227717	0.078708	0.273441	0.604125
a26	0.0314214	0.0289908	0.0472112	0.11289	0.256674	0.522813
a9	0.118369	0.0881546	0.0854345	0.129131	0.21359	0.365321
a3	0.14617	0.0885537	0.0835604	0.124293	0.227408	0.330015
a97	0.179385	0.0919759	0.0833259	0.131656	0.220493	0.293164
a3	0.154802	0.090186	0.111423	0.168108	0.219969	0.255511
a9	0.153302	0.104286	0.128221	0.159301	0.202529	0.25236
a82	0.175737	0.113737	0.121588	0.145502	0.191406	0.252031
a84	0.218146	0.145207	0.119045	0.12428	0.163927	0.229396
a82	0.215173	0.153754	0.120239	0.12362	0.163882	0.223333
a84	0.206496	0.131977	0.113051	0.129407	0.176573	0.242497
a27	0.223242	0.140201	0.118872	0.128755	0.163463	0.225467
</S>	0.238626	0.137128	0.110721	0.126049	0.156892	0.230584
