 	assieds-toi	à	ma	droite	et	toi	à	ma	gauche	</S>
a23	0.145715	0.195975	0.120263	0.116172	0.0822818	0.0761595	0.0671173	0.0488583	0.0530363	0.0944212
a87	0.3048	0.179199	0.144276	0.112553	0.0760836	0.0527648	0.0456136	0.0267621	0.0209187	0.0370291
a23	0.209084	0.116373	0.126362	0.127785	0.0982222	0.0824978	0.0761538	0.0509338	0.0420046	0.0705835
a40	0.184243	0.12602	0.103434	0.0865161	0.076399	0.0562737	0.0526458	0.057308	0.0747097	0.182451
a26	0.392258	0.208293	0.116208	0.0645666	0.0521239	0.0381978	0.032438	0.023165	0.0279459	0.0448043
a38	0.456046	0.204879	0.109974	0.0711635	0.0495657	0.0394438	0.0291684	0.01501	0.0109013	0.0138486
a54	0.345766	0.193128	0.129218	0.0940316	0.0669971	0.0566312	0.0438633	0.0272284	0.0208545	0.0222825
a20	0.232391	0.186866	0.142055	0.119742	0.0955371	0.0837358	0.0603043	0.0308428	0.0227985	0.0257266
a73	0.200015	0.19186	0.141915	0.120771	0.102521	0.0907753	0.0670855	0.0334716	0.0241761	0.0274097
a94	0.184095	0.185891	0.13952	0.118317	0.108915	0.101245	0.0751483	0.0361637	0.024809	0.0258967
a75	0.172822	0.162575	0.135555	0.118665	0.110628	0.107198	0.0861252	0.0443986	0.0315914	0.030442
a73	0.110916	0.12556	0.114833	0.114822	0.110279	0.114278	0.102337	0.0721893	0.069338	0.0654468
a37	0.128844	0.157324	0.120098	0.108071	0.102632	0.103917	0.087799	0.0615625	0.0591786	0.0705747
a26	0.112641	0.117802	0.121713	0.118948	0.111217	0.113875	0.095172	0.0638065	0.0655775	0.0792476
a20	0.096277	0.0890469	0.108358	0.11348	0.110467	0.112799	0.100611	0.0734633	0.0794076	0.116089
a73	0.0557403	0.0599624	0.0587348	0.0796796	0.0883657	0.103827	0.107887	0.116588	0.136768	0.192448
a94	0.0445603	0.0504022	0.0548626	0.0800345	0.0906662	0.10439	0.108873	0.121655	0.147395	0.19716
a75	0.0645674	0.0518236	0.0524829	0.0737912	0.0892719	0.109626	0.117469	0.120875	0.133587	0.186506
a73	0.0508419	0.0481279	0.0499011	0.0681698	0.0785472	0.0964827	0.106981	0.129242	0.16145	0.210256
a41	0.0325613	0.0385843	0.0441427	0.0630527	0.0772351	0.0948442	0.10593	0.137134	0.174938	0.231578
a21	0.0440313	0.0567067	0.0646489	0.0929224	0.103563	0.118439	0.117009	0.115806	0.129912	0.156961
a56	0.0421424	0.0361026	0.0466163	0.0697572	0.0881011	0.117383	0.127251	0.144877	0.154503	0.173266
a76	0.0637956	0.0573579	0.0485073	0.0548375	0.0602408	0.0738675	0.0975182	0.146709	0.179107	0.218059
a94	0.0444702	0.0541257	0.0534253	0.0510026	0.0530247	0.0613497	0.083828	0.138559	0.195885	0.26433
a70	0.023095	0.0225314	0.0240538	0.0272659	0.0331181	0.0411901	0.0613069	0.126169	0.25253	0.38874
a83	0.0400518	0.0361173	0.0307764	0.0316484	0.0355008	0.0427961	0.0634953	0.133588	0.263351	0.322675
a9	0.0334085	0.0278089	0.0268978	0.0316569	0.0370693	0.0463375	0.0659182	0.119123	0.261104	0.350676
a87	0.0229758	0.0200036	0.0243077	0.0333627	0.0371871	0.044732	0.0561648	0.0863524	0.244393	0.430521
a23	0.00623436	0.00544434	0.00464053	0.006197	0.00681747	0.00948205	0.0160957	0.0486572	0.295683	0.600748
a13	0.00350363	0.00303186	0.00300683	0.00510254	0.00722274	0.00957866	0.0156516	0.0525909	0.321132	0.579179
a20	0.0037178	0.00284972	0.00582224	0.0103612	0.0163918	0.0196431	0.0265528	0.0713924	0.307231	0.536038
a94	0.0130917	0.0152991	0.0158104	0.0197941	0.0250922	0.02894	0.0427684	0.0849652	0.233012	0.521227
a76	0.0115587	0.0114921	0.0113394	0.014527	0.0193107	0.0245218	0.0351754	0.0747921	0.268854	0.528429
a41	0.0146198	0.01858	0.0215251	0.0223968	0.0284379	0.0337649	0.0480359	0.0898696	0.242851	0.479919
a24	0.0112926	0.0151243	0.0178229	0.0207711	0.0262423	0.0336456	0.0451521	0.08371	0.252491	0.493748
a41	0.00611001	0.00736816	0.00881845	0.00907993	0.011638	0.0150565	0.0221036	0.0591595	0.261286	0.599379
a90	0.0117161	0.013879	0.0172589	0.0195345	0.0239823	0.0299952	0.0431155	0.0959314	0.292001	0.452586
a41	0.00746489	0.00955346	0.0131175	0.0144483	0.0169206	0.0202232	0.0286717	0.0613199	0.236632	0.591648
a56	0.00600661	0.00707445	0.010985	0.0139811	0.0186231	0.0237113	0.0340184	0.080539	0.28533	0.519731
a43	0.00969984	0.0112781	0.015682	0.0201779	0.0234013	0.028799	0.0383623	0.0689324	0.217286	0.566381
a32	0.00239686	0.00264307	0.00352608	0.00526166	0.0072458	0.010107	0.0174498	0.054044	0.244252	0.653073
a56	0.00404244	0.00438885	0.00598769	0.00790831	0.0115212	0.0132608	0.0175369	0.048432	0.224954	0.661968
a94	0.0103214	0.00973327	0.0118066	0.0147698	0.0190364	0.0223131	0.0279636	0.0599301	0.217526	0.6066
a58	0.00858248	0.00710784	0.00756963	0.0095314	0.0137153	0.0161237	0.0218899	0.0489458	0.198596	0.667938
a82	0.00353546	0.00360455	0.00500752	0.00717204	0.00993711	0.0107705	0.0158126	0.0457154	0.223779	0.674666
a87	0.00421203	0.00352626	0.00443813	0.00635677	0.00972981	0.00913331	0.0122266	0.0368326	0.192373	0.721172
</S>	0.00590367	0.00429152	0.00375872	0.00562889	0.0116869	0.0144982	0.0243977	0.0790772	0.233318	0.617439
