 	la	sève	de	la	plupart	des	arbustes	grimpants	a	de	la	glu	</S>
a87	0.21078	0.097182	0.0668725	0.0711168	0.08885	0.124575	0.116007	0.0936855	0.0506103	0.0245733	0.0183379	0.0181398	0.0192705
a40	0.38164	0.0495825	0.0168772	0.00999863	0.0187286	0.0284548	0.0300789	0.0507168	0.0806554	0.0675902	0.0616585	0.0799248	0.124093
a36	0.428085	0.172445	0.0611191	0.030272	0.0174347	0.0251805	0.0348451	0.0333478	0.0320136	0.0309547	0.0310316	0.0458958	0.0573749
a26	0.454284	0.258675	0.0947796	0.0346051	0.0145335	0.0319765	0.0287342	0.0231654	0.0130895	0.00863394	0.00953973	0.0136836	0.0142996
a2	0.444706	0.287385	0.0799879	0.0358734	0.014652	0.0314098	0.0407628	0.0248322	0.0108344	0.00617277	0.0063623	0.00779884	0.00922199
a75	0.169712	0.131079	0.0918563	0.0732402	0.0519558	0.100412	0.14219	0.0753653	0.0403056	0.0268091	0.024747	0.0299763	0.0423509
a5	0.0850916	0.118996	0.123722	0.119562	0.074198	0.093473	0.179587	0.0950759	0.0271824	0.0145764	0.0133842	0.0205838	0.034568
a96	0.0636628	0.085313	0.122095	0.130004	0.10408	0.12012	0.185404	0.0877847	0.0298499	0.0155238	0.013214	0.0183578	0.0245907
a61	0.0738386	0.100035	0.157347	0.159683	0.112358	0.10634	0.133607	0.0550864	0.0262265	0.0166244	0.0138437	0.0191473	0.0258626
a75	0.0712616	0.0716511	0.130963	0.143409	0.128272	0.132921	0.150686	0.0647725	0.033753	0.017034	0.0134626	0.0177592	0.0240554
a37	0.0638651	0.0687078	0.113588	0.135958	0.120575	0.0927379	0.111323	0.0686229	0.0506773	0.0350694	0.0271522	0.043239	0.0684845
a31	0.0562282	0.0471376	0.0682944	0.0850463	0.184623	0.173199	0.153343	0.0691869	0.0438868	0.0238221	0.0231498	0.0290515	0.0430322
a96	0.0477134	0.0459394	0.0639097	0.0764558	0.130362	0.125218	0.162713	0.109117	0.0891569	0.040514	0.0285585	0.0346556	0.0456868
a88	0.0405486	0.0407947	0.0568715	0.0676524	0.119652	0.121919	0.142841	0.113452	0.105092	0.0474041	0.0356074	0.0449096	0.0632573
a24	0.0206947	0.0216615	0.0376089	0.0523243	0.12745	0.136661	0.1461	0.114871	0.119493	0.0638538	0.0424527	0.0455318	0.0712961
a31	0.0205168	0.0202307	0.0396383	0.0571641	0.13011	0.150568	0.174539	0.112559	0.0927719	0.0555716	0.0384976	0.0426969	0.0651359
a61	0.0212436	0.0240493	0.0360101	0.0391203	0.0621154	0.0700009	0.114806	0.124942	0.173527	0.132739	0.0728063	0.0617297	0.0669109
a31	0.0307221	0.0348358	0.0551095	0.0650201	0.0728159	0.0694996	0.0954324	0.0978945	0.142795	0.114601	0.0669119	0.0658982	0.0884635
a24	0.0130405	0.0169847	0.0275027	0.0326375	0.0471438	0.0506644	0.0888683	0.11225	0.178859	0.161228	0.0997914	0.0836466	0.0873824
a31	0.00819928	0.00900549	0.0185383	0.0300406	0.0555887	0.0655929	0.102964	0.107939	0.126815	0.11815	0.100937	0.117779	0.138451
a21	0.00642256	0.00888737	0.0173653	0.0257774	0.0392871	0.0416507	0.0808414	0.100323	0.138242	0.142766	0.109142	0.129803	0.159493
a5	0.00454784	0.00584248	0.0141474	0.0204158	0.0287507	0.0289167	0.0567791	0.0669916	0.113613	0.152384	0.134792	0.170986	0.201833
a18	0.00485561	0.00578222	0.0125734	0.0195375	0.0184898	0.0209521	0.0478864	0.0648062	0.0976483	0.162889	0.1586	0.177668	0.20831
a21	0.0034123	0.00201783	0.00202431	0.00313821	0.00979612	0.0129235	0.0149546	0.0223643	0.0274994	0.0596579	0.104901	0.285992	0.451319
a61	0.00289924	0.0024434	0.00446056	0.0077699	0.0101808	0.0129738	0.0242749	0.0379238	0.0699018	0.128461	0.188132	0.241408	0.269171
a21	0.00127163	0.00130067	0.00212707	0.00370245	0.00684759	0.0103962	0.0203409	0.0330414	0.0528278	0.098515	0.146355	0.275127	0.348147
a85	0.00247746	0.00239461	0.00409865	0.0062315	0.00808371	0.0106912	0.0201896	0.0332867	0.0602908	0.103825	0.170336	0.287934	0.290161
a61	0.00444767	0.00439095	0.00492587	0.00522336	0.00498874	0.00775407	0.0150639	0.0230972	0.043754	0.0958082	0.177941	0.306718	0.305887
a88	0.000613554	0.000775065	0.000986611	0.00109921	0.00258247	0.00497505	0.00937482	0.0154396	0.0323196	0.0690849	0.12358	0.270036	0.469134
a62	0.000515534	0.000519752	0.000693753	0.000883823	0.00315726	0.00562527	0.0097729	0.0150747	0.0240132	0.0512619	0.0951293	0.274274	0.519079
a83	0.000644273	0.000682596	0.000723756	0.000874903	0.00317789	0.00740896	0.0133033	0.02229	0.0365841	0.0774706	0.133071	0.277081	0.426687
