 	ce	mortier	est	encore	neuf	</S>
a47	0.455775	0.149087	0.109314	0.092782	0.0919483	0.101093
a70	0.403062	0.124077	0.110241	0.0901503	0.118882	0.153588
a44	0.630275	0.136003	0.0667785	0.0442747	0.0545269	0.0681418
a56	0.461073	0.21861	0.117659	0.0783083	0.0706255	0.0537243
a4	0.308311	0.224398	0.167026	0.122156	0.102687	0.0754226
a75	0.136338	0.16203	0.203148	0.183067	0.167478	0.14794
a5	0.150764	0.160269	0.182255	0.165435	0.186342	0.154936
a43	0.102249	0.115033	0.166844	0.176769	0.223263	0.215842
a75	0.02443	0.0372988	0.081901	0.160491	0.275256	0.420624
a85	0.0540983	0.0624026	0.0947368	0.148905	0.269732	0.370125
a41	0.0310922	0.0379725	0.0632212	0.13632	0.300527	0.430867
a7	0.0383179	0.0379135	0.0551071	0.131326	0.282376	0.45496
a84	0.0104671	0.0137415	0.0294408	0.0937536	0.234228	0.618369
a10	0.0154292	0.0179151	0.0331641	0.0748132	0.186176	0.672502
a11	0.133428	0.0847739	0.0899929	0.128223	0.195038	0.368544
a13	0.101702	0.0676396	0.0786748	0.15069	0.218455	0.382838
a99	0.0801628	0.0520265	0.068571	0.143481	0.22133	0.43443
a87	0.110481	0.06413	0.0709423	0.139967	0.200625	0.413854
a10	0.165673	0.0909506	0.0889594	0.129346	0.197057	0.328014
a87	0.147622	0.103277	0.0906533	0.134205	0.190503	0.33374
a97	0.16938	0.10407	0.0925029	0.13878	0.198288	0.296979
</S>	0.184481	0.125982	0.110479	0.135691	0.188958	0.254409
