 	ils	ont	abandonné	leur	village	</S>
a87	0.282297	0.294677	0.165977	0.123181	0.0706336	0.0632347
a23	0.331518	0.243693	0.155299	0.102093	0.0746094	0.0927872
a57	0.306253	0.296651	0.167322	0.0868299	0.0632651	0.0796791
a54	0.324029	0.310928	0.142233	0.0788456	0.0664465	0.0775175
a30	0.487626	0.298731	0.0908018	0.0447316	0.0404184	0.0376906
a57	0.434272	0.305766	0.122391	0.0659393	0.040063	0.0315686
a40	0.31413	0.243844	0.147004	0.109037	0.0952551	0.0907297
a30	0.349271	0.264975	0.140637	0.0955314	0.0754242	0.0741613
a35	0.439858	0.276343	0.128999	0.0708989	0.0426396	0.0412614
a24	0.396025	0.30424	0.146484	0.0708153	0.0407134	0.0417222
a25	0.345006	0.301903	0.166363	0.088241	0.052569	0.0459181
a87	0.237049	0.279854	0.200455	0.124576	0.0851941	0.0728727
a23	0.136262	0.182762	0.175759	0.167353	0.175803	0.16206
a38	0.0611817	0.102859	0.141008	0.173062	0.248882	0.273006
a35	0.124633	0.171303	0.174541	0.166546	0.181811	0.181165
a14	0.147509	0.18177	0.168892	0.152225	0.166299	0.183305
a44	0.0734179	0.105766	0.138937	0.161483	0.227696	0.2927
a57	0.0246012	0.0429924	0.092063	0.161483	0.279803	0.399057
a53	0.00696746	0.0164606	0.0446821	0.106437	0.309909	0.515544
a76	0.00708274	0.0152347	0.042742	0.106141	0.288068	0.540732
a14	0.00569235	0.00924957	0.0254303	0.0868408	0.283066	0.589721
a73	0.00640275	0.0107258	0.0337987	0.112653	0.302872	0.533548
a57	0.00717514	0.0124531	0.0289404	0.0896934	0.289963	0.571775
a38	0.0361688	0.0380432	0.0479601	0.0899517	0.235098	0.552778
a14	0.0400033	0.0498675	0.0715423	0.121455	0.204042	0.51309
a30	0.0107963	0.0149419	0.0301394	0.076582	0.234139	0.633401
a57	0.0210145	0.0341013	0.0602907	0.125729	0.253982	0.504883
a87	0.107237	0.0875558	0.0855308	0.114798	0.172329	0.432549
</S>	0.0933798	0.0710439	0.101113	0.174581	0.216568	0.343313
