 	il	bouche	le	trou	</S>
a23	0.396858	0.245603	0.112818	0.121451	0.123269
a26	0.377459	0.260587	0.136023	0.113654	0.112277
a24	0.407171	0.227062	0.120908	0.114946	0.129912
a71	0.511204	0.264004	0.104058	0.0679152	0.052818
a26	0.569696	0.230777	0.0909151	0.0545442	0.0540677
a0	0.400389	0.231857	0.140903	0.107899	0.118951
a26	0.285783	0.2075	0.172792	0.156921	0.177004
a56	0.310347	0.212476	0.163154	0.140147	0.173876
a94	0.268338	0.234604	0.195589	0.147919	0.153551
a76	0.150527	0.197843	0.224359	0.19613	0.231141
a25	0.105665	0.183467	0.222376	0.232667	0.255824
a94	0.0718007	0.133132	0.216438	0.254333	0.324296
a98	0.0332213	0.0747473	0.176977	0.277253	0.437802
a73	0.0186605	0.0521633	0.15085	0.294476	0.483851
a84	0.0207251	0.0386695	0.112108	0.268755	0.559743
a57	0.0110228	0.0211226	0.0722664	0.217956	0.677632
a87	0.0327659	0.0714805	0.12506	0.299222	0.471472
</S>	0.0361004	0.066472	0.160903	0.313358	0.423166
