 	la	manière	dont	ils	ont	bouché	le	ruisseau	révèle	un	fait	prémédité	</S>
a66	0.078655	0.0613111	0.0628542	0.14839	0.155258	0.138397	0.135605	0.100946	0.0624797	0.0233169	0.013257	0.0109872	0.00854358
a87	0.361567	0.176596	0.110167	0.0410912	0.0305734	0.038054	0.0475936	0.0557667	0.0377556	0.0311618	0.0332383	0.0248251	0.0116108
a23	0.331639	0.155139	0.110431	0.0806402	0.059666	0.0443962	0.0411515	0.0369348	0.0307447	0.0210888	0.0249911	0.0321941	0.030984
a62	0.216226	0.226906	0.183075	0.0802161	0.0555835	0.0409057	0.0474162	0.0431139	0.0274897	0.0196325	0.0175392	0.0207579	0.0211382
a88	0.255128	0.199372	0.173545	0.0867549	0.0648967	0.0472975	0.0526977	0.0419825	0.0189111	0.0146595	0.0160113	0.0168321	0.0119118
a71	0.242026	0.317213	0.225733	0.0817558	0.0417192	0.0245768	0.0220134	0.0216004	0.00682909	0.00603835	0.00501017	0.0035645	0.00192071
a88	0.153515	0.34701	0.250729	0.079503	0.0450617	0.0288284	0.0228886	0.0238387	0.012649	0.0111033	0.01056	0.00827561	0.00603767
a31	0.130596	0.280556	0.261678	0.101582	0.0542543	0.0331994	0.0258542	0.0248848	0.020238	0.0191849	0.0220518	0.0157866	0.0101337
a96	0.159469	0.251628	0.253569	0.11794	0.0573615	0.0333398	0.0264337	0.0251217	0.0203126	0.0164418	0.0172906	0.0124416	0.00865175
a62	0.152792	0.184414	0.238747	0.136365	0.0762107	0.0467456	0.041002	0.0329797	0.0270065	0.0200151	0.0199982	0.0138829	0.00984093
a31	0.123134	0.125038	0.191426	0.167818	0.115801	0.0756102	0.0635793	0.0450333	0.0340587	0.0196287	0.0179061	0.0122334	0.00873349
a0	0.0837882	0.080189	0.153082	0.179771	0.141836	0.102319	0.0875263	0.0598462	0.0437721	0.021673	0.0198503	0.0147556	0.0115915
a24	0.046907	0.0473824	0.0937347	0.177817	0.171826	0.13683	0.118906	0.0729225	0.0501937	0.0244795	0.0232448	0.018744	0.0170113
a21	0.0283866	0.0284381	0.0462116	0.15903	0.175023	0.162011	0.147689	0.0947811	0.0693069	0.0266931	0.0222444	0.0193793	0.0208063
a47	0.025241	0.0275406	0.0469879	0.126777	0.163573	0.156613	0.160462	0.109824	0.088023	0.0318627	0.0239052	0.0192065	0.019984
a96	0.0158984	0.0251071	0.042537	0.118166	0.16993	0.162977	0.156087	0.108161	0.0930791	0.0468675	0.0271987	0.0185741	0.0154175
a24	0.0111086	0.0178792	0.0329959	0.109613	0.166912	0.177201	0.177579	0.124704	0.100877	0.0335972	0.0188031	0.0142922	0.0144375
a47	0.00658516	0.00983193	0.0191595	0.0722353	0.136972	0.187667	0.218749	0.135919	0.123881	0.0349373	0.0212077	0.0162262	0.0166305
a61	0.0114453	0.0167159	0.0299871	0.100841	0.153773	0.182564	0.178496	0.129014	0.113841	0.0360019	0.0194669	0.0141077	0.0137456
a31	0.00693813	0.00964777	0.0174314	0.0674514	0.12621	0.172542	0.21461	0.144413	0.128755	0.0456551	0.0266117	0.0205972	0.0191374
a43	0.00679774	0.0106012	0.0206671	0.0647309	0.124833	0.169562	0.207737	0.135836	0.130139	0.0561383	0.0306069	0.0219212	0.0204311
