 	mon	père	ne	peut	pas	faire	de	longues	distances	parce	qu'	il	est	atteint	de	hernie	</S>
a66	0.0824611	0.079653	0.0941317	0.113695	0.123735	0.102939	0.0898402	0.0638903	0.0492724	0.0418494	0.0495158	0.0290174	0.0289436	0.0238938	0.0126249	0.00776247	0.00677516
a87	0.332675	0.19607	0.128924	0.0772856	0.0484577	0.0278757	0.0212354	0.0121026	0.013507	0.012296	0.0149816	0.0114774	0.0169089	0.0179664	0.0233702	0.0222731	0.0225933
a23	0.368629	0.186547	0.106547	0.0667093	0.0474447	0.0312001	0.0259159	0.0169782	0.0181194	0.0186721	0.0206717	0.0146476	0.0152694	0.0125693	0.015228	0.0156587	0.0191925
a54	0.291063	0.124478	0.0713241	0.0447266	0.0323739	0.0273023	0.0335353	0.0345221	0.0437349	0.0418058	0.0420215	0.0348176	0.0339149	0.0234653	0.0259659	0.0374242	0.0575251
a36	0.0851897	0.0747253	0.0722044	0.0836659	0.0940207	0.0778727	0.0845686	0.0737769	0.0786897	0.0445931	0.0391712	0.0327786	0.0339712	0.0323017	0.0382854	0.0303146	0.0238701
a37	0.205764	0.175426	0.128389	0.0887974	0.0593077	0.0398414	0.0361534	0.0283319	0.0340641	0.0197758	0.015985	0.0132321	0.0152296	0.0176328	0.0379307	0.0511756	0.0329634
a54	0.21114	0.186753	0.152808	0.103756	0.0605352	0.0396037	0.0290176	0.0203624	0.0175801	0.0121284	0.0099187	0.00854565	0.0112914	0.0159467	0.0403992	0.0514307	0.0287835
a47	0.108228	0.122899	0.140762	0.115244	0.0773697	0.0547284	0.044526	0.0341478	0.0320003	0.0257425	0.0189004	0.0148373	0.0172613	0.0232682	0.0540938	0.07157	0.0444222
a36	0.0630008	0.0724018	0.0976341	0.0967909	0.0817009	0.0611629	0.0585859	0.0476201	0.0455826	0.0411739	0.0261775	0.0195192	0.019543	0.0257272	0.0631716	0.102178	0.0780295
a40	0.0622146	0.0821947	0.118604	0.123303	0.0973009	0.0715932	0.06364	0.0492755	0.0325198	0.0297518	0.0214181	0.0190737	0.0195259	0.0265277	0.0502889	0.0698691	0.0628991
a6	0.0292998	0.0472948	0.0785228	0.102217	0.100016	0.0890006	0.0996705	0.08568	0.0495154	0.0381234	0.0307911	0.0318717	0.0308195	0.0361828	0.0451575	0.05553	0.050307
a37	0.00926216	0.0157316	0.0387694	0.074857	0.101818	0.107536	0.123376	0.111516	0.0649269	0.0579514	0.0494951	0.0410368	0.0363978	0.0375935	0.0389502	0.0435061	0.0472767
a93	0.00590871	0.0092649	0.0259444	0.0578184	0.0794853	0.0909511	0.134695	0.131779	0.0886198	0.0812874	0.068676	0.0551836	0.0431273	0.037042	0.0315846	0.0305642	0.0280682
a4	0.00599304	0.00855086	0.0184031	0.0422166	0.0666556	0.0875976	0.149262	0.152769	0.104423	0.0905739	0.0787184	0.0535056	0.0389546	0.0301715	0.022776	0.0255609	0.0238685
a44	0.0079629	0.010022	0.0170791	0.0340633	0.0529608	0.0729019	0.128803	0.139455	0.123905	0.120357	0.101974	0.0560668	0.0391854	0.0274401	0.0205075	0.0225356	0.0247812
a79	0.00435634	0.00562201	0.0100469	0.0207463	0.0356427	0.055376	0.119117	0.14562	0.128531	0.127173	0.113544	0.0738285	0.0507459	0.0340129	0.0231322	0.0243303	0.0281751
a44	0.00200282	0.0028579	0.0066246	0.0174128	0.0356091	0.0582017	0.128968	0.160681	0.116531	0.112463	0.117449	0.0882163	0.0574759	0.0343018	0.01865	0.0184459	0.0241082
a90	0.00211021	0.0026776	0.00563026	0.013338	0.025421	0.044188	0.110199	0.157471	0.137191	0.154225	0.140055	0.0840704	0.049003	0.0260731	0.014451	0.0137089	0.0201872
a79	0.00144486	0.00176092	0.00356899	0.0097823	0.0214153	0.0382614	0.0974023	0.145976	0.120038	0.133821	0.14737	0.119855	0.0677303	0.0348179	0.0159629	0.015285	0.0255078
a44	0.00111452	0.00135645	0.00315919	0.00927591	0.0221743	0.0422182	0.108732	0.163714	0.101815	0.113267	0.135748	0.129835	0.0756243	0.0352904	0.0144496	0.0139324	0.028294
a32	0.00138011	0.0015085	0.00305502	0.00871248	0.0208381	0.0384988	0.0941728	0.146208	0.119907	0.141801	0.153975	0.128821	0.0687787	0.0302603	0.0121438	0.00993027	0.0200094
a11	0.00409889	0.00391612	0.00661163	0.0160184	0.0336377	0.0552617	0.102438	0.143016	0.108103	0.13313	0.137617	0.110152	0.059582	0.024698	0.0120255	0.0140232	0.0356699
a21	0.00912435	0.00884562	0.0135941	0.0273888	0.0472746	0.069369	0.102881	0.13169	0.102142	0.119425	0.133491	0.0957272	0.0559855	0.0245293	0.0121675	0.013716	0.0326491
a92	0.00287083	0.00278396	0.00448554	0.011002	0.0224316	0.0376572	0.0834724	0.124568	0.118895	0.131589	0.1414	0.120699	0.0779747	0.0431647	0.0226594	0.0199227	0.0344239
a36	0.00214962	0.00229435	0.00381231	0.0092926	0.0209285	0.0368876	0.0926072	0.140052	0.107425	0.11021	0.1203	0.125607	0.0842087	0.052088	0.0291358	0.0243425	0.0386584
a6	0.00454406	0.00471855	0.00883362	0.0190378	0.0342744	0.0534171	0.0936223	0.132288	0.111834	0.144669	0.144216	0.113386	0.061084	0.0259803	0.0128767	0.011637	0.0235806
a36	0.00434276	0.00457883	0.00791623	0.0167905	0.0306869	0.0479262	0.0952588	0.123711	0.0933965	0.0995224	0.104643	0.104417	0.0830519	0.054142	0.0348329	0.0316133	0.06317
a2	0.00596309	0.00597862	0.0106975	0.0205287	0.0360298	0.0559693	0.0998711	0.138949	0.101436	0.106241	0.108419	0.114485	0.0755318	0.0383708	0.0205264	0.0191243	0.0418786
a57	0.0187633	0.0175975	0.0253053	0.0373693	0.0584402	0.0810773	0.126089	0.157507	0.0810009	0.0893782	0.0923948	0.0801763	0.0474662	0.0258795	0.0149366	0.015469	0.0311496
a87	0.0522645	0.0403685	0.0461067	0.0569846	0.0717207	0.0849148	0.106483	0.117712	0.0558749	0.0471422	0.0546029	0.0627435	0.054519	0.0420571	0.0283437	0.0258953	0.052267
a23	0.168503	0.0860491	0.0590012	0.0517792	0.0626533	0.0569084	0.0544783	0.0443976	0.0315553	0.0265415	0.0260911	0.0352778	0.0395296	0.0475713	0.0595225	0.054517	0.0956242
a10	0.0569646	0.0296634	0.0252208	0.0237183	0.0333261	0.0377588	0.0492794	0.0494658	0.0429768	0.0640262	0.0590441	0.0671509	0.0733088	0.0793647	0.0763446	0.0717922	0.160594
a83	0.0187579	0.0111523	0.0119492	0.0146876	0.0260245	0.0343028	0.0504474	0.0555269	0.0469285	0.0626201	0.0541893	0.0714561	0.0742766	0.0873857	0.112326	0.110914	0.157055
a44	0.00316303	0.00222599	0.00258013	0.00410543	0.00861995	0.0120464	0.0208177	0.0271612	0.0427264	0.0381624	0.0376917	0.0807521	0.0902206	0.0994989	0.149867	0.167265	0.213096
a7	0.000879498	0.000855115	0.00137432	0.00353714	0.00843755	0.0141284	0.029735	0.0422525	0.0413907	0.0337449	0.0442262	0.0878371	0.0964882	0.101116	0.122226	0.149526	0.222245
a26	0.000731655	0.000711235	0.00115678	0.00302894	0.00672963	0.0119131	0.026925	0.0425957	0.0514781	0.0579166	0.0722311	0.114257	0.105339	0.0897475	0.0843908	0.108894	0.221953
a18	0.00497857	0.00443723	0.00615098	0.0120977	0.0204761	0.0283457	0.0394203	0.0505665	0.0497805	0.0699256	0.0885932	0.113885	0.0919193	0.069825	0.0593835	0.09171	0.198505
a5	0.0128138	0.0110548	0.0148704	0.0251136	0.0385723	0.0506224	0.0634932	0.0757083	0.0606353	0.0714772	0.095421	0.109611	0.0848849	0.0606854	0.0414831	0.0554045	0.128148
a36	0.00206176	0.00128088	0.00173792	0.00418941	0.00961097	0.0165026	0.0323021	0.0436076	0.0485774	0.0594571	0.0771329	0.114549	0.10094	0.0718365	0.0685138	0.090969	0.256731
a27	0.00326447	0.00250976	0.00346348	0.00751442	0.015304	0.0254256	0.0432923	0.0565369	0.0479716	0.0599955	0.0755806	0.113094	0.0911858	0.0590446	0.0531111	0.0815187	0.261187
a47	0.0202576	0.0171427	0.0212297	0.0332718	0.0503498	0.0649967	0.0805698	0.0868764	0.0600426	0.0585649	0.0744161	0.0768083	0.058551	0.0394133	0.0308594	0.0530255	0.173624
a62	0.0110776	0.0077262	0.00916224	0.0162319	0.0282018	0.0387652	0.0567509	0.0668845	0.0573154	0.0721344	0.0899593	0.0993394	0.0790653	0.0515296	0.0465415	0.0780961	0.191219
a88	0.00151631	0.00103534	0.00130607	0.00317196	0.00736971	0.0127257	0.025686	0.0379642	0.0401773	0.0607975	0.0778598	0.103671	0.0883186	0.0652086	0.071781	0.108357	0.293053
a71	0.00191553	0.00139175	0.0018465	0.00427698	0.00904415	0.01469	0.027828	0.0398471	0.0442124	0.0638781	0.080591	0.103361	0.0885264	0.0633967	0.0652106	0.0952698	0.294713
a9	0.00442405	0.00391949	0.00532885	0.0114817	0.0216832	0.0329853	0.053732	0.0690416	0.0618813	0.0758149	0.0934546	0.107512	0.0835117	0.0565613	0.0455903	0.0679012	0.205176
a87	0.0233721	0.0200528	0.0257855	0.0381853	0.05454	0.0667682	0.0790453	0.085546	0.0702433	0.0722265	0.0843851	0.0757701	0.0582953	0.0428617	0.0337226	0.0443128	0.124887
a23	0.0533052	0.0311993	0.0290619	0.0345711	0.0481375	0.0549168	0.0643218	0.065824	0.0576807	0.0516107	0.0607881	0.0702485	0.0649795	0.0623737	0.0656302	0.0692434	0.116107
a87	0.017801	0.0097805	0.00763355	0.00872113	0.0156273	0.0209004	0.0360444	0.0438307	0.0532883	0.0459358	0.0449918	0.0623248	0.0596109	0.0673282	0.104285	0.144768	0.257128
</S>	0.023428	0.0154647	0.0124669	0.0138446	0.0251203	0.0338043	0.0562165	0.0625487	0.0552665	0.0322984	0.0295358	0.0487827	0.052658	0.0650951	0.095081	0.124295	0.254093
