 	il	brigue	l'	honneur	d'	être	invité	par	le	chef	</S>
a10	0.0588905	0.0600475	0.0884836	0.083746	0.0690641	0.0676924	0.0852616	0.123555	0.130297	0.130263	0.102699
a53	0.0474515	0.0325825	0.0573875	0.0842041	0.101173	0.103653	0.117004	0.112937	0.115208	0.109582	0.118818
a15	0.0953774	0.0686035	0.0819399	0.0833305	0.073088	0.0612848	0.0669174	0.0910946	0.107809	0.134232	0.136324
a98	0.261697	0.227327	0.140935	0.066993	0.0514816	0.038599	0.037161	0.0392748	0.0425141	0.0445101	0.0495073
a85	0.249371	0.330361	0.159278	0.0838466	0.0514344	0.0358118	0.0274452	0.0200099	0.0155735	0.013998	0.01287
a41	0.138459	0.230997	0.191981	0.133903	0.0761375	0.0566687	0.045962	0.037754	0.0315227	0.0292566	0.0273575
a12	0.158494	0.196077	0.201766	0.147938	0.0781563	0.0556547	0.0463435	0.0358903	0.0276447	0.0241819	0.0278527
a21	0.0960425	0.125016	0.171787	0.188163	0.124876	0.0949295	0.0773947	0.0462333	0.0301087	0.0224472	0.023002
a56	0.0633554	0.0739987	0.110985	0.157029	0.136604	0.125159	0.110323	0.0752764	0.0541034	0.0451098	0.0480573
a75	0.0460673	0.0609654	0.0861018	0.130118	0.14195	0.138553	0.122556	0.0957885	0.068414	0.0543323	0.0551529
a41	0.0344545	0.0581155	0.0705503	0.0954522	0.110251	0.126498	0.133111	0.123038	0.0932929	0.0768878	0.0783491
a26	0.0293972	0.0494342	0.0519516	0.0742966	0.0957104	0.118235	0.13632	0.144295	0.112378	0.0933031	0.0946779
a75	0.0152263	0.0196124	0.02055	0.0367495	0.0433585	0.0501295	0.0818737	0.152047	0.176784	0.197815	0.205855
a73	0.0132009	0.027211	0.0295546	0.0485739	0.0582207	0.0775644	0.109918	0.189032	0.166879	0.142001	0.137845
a25	0.0050802	0.00983004	0.0118186	0.0220723	0.0275938	0.0392482	0.0638554	0.157716	0.177664	0.220969	0.264152
a44	0.0037745	0.00675553	0.00787073	0.0145828	0.0192806	0.0285639	0.0487451	0.123351	0.163101	0.261378	0.322597
a38	0.001778	0.00396193	0.00498925	0.0107762	0.0144747	0.0220255	0.0383866	0.119373	0.174311	0.264303	0.345621
a90	0.00142516	0.00338675	0.0038239	0.00854204	0.0111918	0.0167521	0.0335114	0.107977	0.171581	0.261358	0.380451
a9	0.00169798	0.00457665	0.00471	0.00906092	0.0117949	0.0185622	0.0357799	0.1047	0.173304	0.272119	0.363695
a38	0.000734824	0.00206282	0.00223495	0.00588537	0.0104152	0.0166048	0.0356947	0.11354	0.184713	0.252685	0.375429
a4	0.0002486	0.000643577	0.000682699	0.00183773	0.00395786	0.00759211	0.01775	0.0662811	0.145899	0.287727	0.467381
a13	0.000158089	0.000477422	0.000549027	0.00146424	0.00315586	0.0068021	0.0172356	0.0693374	0.155142	0.284519	0.46116
a9	0.00106071	0.00317454	0.00364939	0.00918009	0.0178011	0.0294997	0.0564608	0.15312	0.206429	0.234564	0.285061
a10	0.00271604	0.0035123	0.00443345	0.00967836	0.015609	0.0214394	0.043827	0.13063	0.201143	0.270755	0.296256
</S>	0.00899438	0.00833784	0.0110179	0.0223197	0.0324672	0.0438057	0.079943	0.161204	0.194302	0.20434	0.233268
