 	elle	pansa	sa	blessure	</S>
a23	0.3708	0.176356	0.0884058	0.121953	0.242486
a87	0.344322	0.224747	0.118641	0.1148	0.197489
a23	0.343256	0.334456	0.14933	0.0789135	0.094044
a20	0.31041	0.289054	0.139028	0.0990601	0.162449
a73	0.455933	0.363451	0.114748	0.0373244	0.028544
a84	0.353293	0.466437	0.133386	0.0286158	0.0182674
a54	0.290307	0.430903	0.189589	0.0520759	0.037124
a30	0.284202	0.326161	0.202027	0.103121	0.0844895
a94	0.300982	0.346444	0.206748	0.0873738	0.0584524
a38	0.280676	0.346751	0.217741	0.0923498	0.0624821
a24	0.21557	0.282899	0.271765	0.137029	0.0927369
a25	0.134049	0.181046	0.277921	0.231619	0.175364
a53	0.054388	0.101333	0.243043	0.279811	0.321425
a69	0.0694944	0.128626	0.26233	0.255271	0.284279
a76	0.0481588	0.0861367	0.228931	0.325543	0.311231
a73	0.0156289	0.0326213	0.106379	0.34928	0.49609
a84	0.011718	0.0289975	0.0905358	0.322543	0.546206
a57	0.00582669	0.0127341	0.043308	0.222332	0.715799
a87	0.010884	0.0193358	0.0417691	0.194475	0.733536
</S>	0.0187028	0.0336044	0.075034	0.272394	0.600265
