 	ekomba	a	pris	une	antilope	dans	le	piège	à	noeud	coulant	</S>
a66	0.172558	0.145938	0.115341	0.113495	0.121574	0.117311	0.0893835	0.0544408	0.0305889	0.0211598	0.0105397	0.0076709
a57	0.327587	0.231009	0.141129	0.0881642	0.0723736	0.0491465	0.0244489	0.0188888	0.0149726	0.0148149	0.00952296	0.00794242
a79	0.373681	0.244327	0.13792	0.085291	0.0575411	0.0327539	0.0152089	0.00866852	0.00769129	0.00860421	0.0134421	0.0148713
a62	0.23858	0.184135	0.13335	0.0999788	0.0796224	0.0521327	0.0324639	0.0315362	0.0246138	0.0301642	0.0386843	0.0547387
a96	0.230485	0.153074	0.0928926	0.0785258	0.0794531	0.0765492	0.0619262	0.0641954	0.0465115	0.0491789	0.0334067	0.0338024
a66	0.29931	0.226724	0.148622	0.0939813	0.0675534	0.0496956	0.0295367	0.024316	0.0174964	0.0176441	0.0130113	0.0121093
a53	0.21815	0.211708	0.165274	0.120075	0.0923208	0.0733287	0.0367072	0.0231363	0.0172168	0.0161005	0.0135929	0.0123894
a90	0.132171	0.113763	0.116241	0.124697	0.134666	0.132864	0.0797803	0.0497646	0.0410898	0.0329381	0.0224598	0.0195656
a92	0.0593281	0.0722222	0.105894	0.145317	0.161684	0.163855	0.125178	0.0784134	0.0440503	0.0245956	0.0106632	0.00879978
a56	0.0585773	0.0866048	0.128062	0.166323	0.154288	0.141807	0.116595	0.073601	0.038231	0.0196061	0.00883829	0.00746519
a25	0.0541019	0.0716182	0.101916	0.129608	0.139549	0.145912	0.138451	0.0983142	0.0552927	0.0323534	0.0173092	0.015573
a15	0.036756	0.0618109	0.101147	0.159548	0.164615	0.16007	0.141456	0.0815002	0.0415515	0.0228096	0.0153816	0.0133551
a69	0.0371621	0.0504422	0.0704748	0.122826	0.145794	0.149937	0.151427	0.0974892	0.059312	0.0414376	0.0363135	0.0373837
a90	0.0231496	0.0306217	0.0428601	0.0858741	0.125481	0.152631	0.180911	0.129105	0.078635	0.0567315	0.0451453	0.0488552
a93	0.0300013	0.040958	0.0591544	0.102587	0.136855	0.156338	0.150756	0.101432	0.0766601	0.0608072	0.0419278	0.0425227
a96	0.019877	0.0264469	0.0391485	0.0716865	0.109099	0.145132	0.167155	0.131265	0.100734	0.0796417	0.0550358	0.0547789
a34	0.0106169	0.0140582	0.017002	0.0288884	0.0454641	0.0761445	0.130956	0.147433	0.147601	0.133626	0.122648	0.125562
a56	0.0046517	0.00584765	0.00698977	0.0117817	0.0191274	0.0362344	0.0763068	0.116839	0.151101	0.164333	0.201589	0.205198
a96	0.00344167	0.00406704	0.00454803	0.00818941	0.0125668	0.022081	0.0480929	0.0851659	0.149186	0.188659	0.246401	0.227601
a12	0.00123799	0.00150222	0.00180089	0.00339612	0.00497458	0.0078058	0.0175625	0.0369047	0.0845566	0.157221	0.330436	0.352602
a47	0.000379114	0.000488013	0.000566164	0.00124204	0.00174979	0.00255109	0.00567953	0.01239	0.0412205	0.118911	0.386745	0.428078
a88	0.000474924	0.000574565	0.000600234	0.0012598	0.00181208	0.0025635	0.00515005	0.0103976	0.0346011	0.109508	0.383045	0.450013
a0	0.000881024	0.000958937	0.000866497	0.00154433	0.00209097	0.00297347	0.0048867	0.0084014	0.036626	0.0998156	0.369615	0.47134
a62	0.036204	0.0267556	0.0215611	0.0314403	0.0307713	0.0338197	0.0479482	0.0602976	0.104679	0.137958	0.203083	0.265482
a88	0.00642458	0.00555396	0.00502546	0.0100772	0.0113502	0.0140482	0.0257266	0.0398832	0.104102	0.179685	0.277292	0.320832
a71	0.0052341	0.0055733	0.00565379	0.0110834	0.0125727	0.0153112	0.0276686	0.0414074	0.10551	0.182463	0.277354	0.310168
a9	0.0980803	0.0590189	0.0461848	0.0599367	0.0546446	0.0524345	0.0779988	0.0995612	0.113682	0.127643	0.101505	0.10931
a87	0.289249	0.171427	0.105802	0.0862031	0.0665037	0.0524341	0.0466258	0.0449982	0.0420359	0.0362897	0.0289176	0.0295138
a23	0.198093	0.175771	0.139216	0.123894	0.102091	0.077594	0.0537562	0.0431912	0.0320002	0.0233572	0.0155946	0.0154419
a99	0.0436735	0.0340947	0.0251977	0.0247151	0.022417	0.0189819	0.0223414	0.0351764	0.0824601	0.135367	0.241047	0.314527
a87	0.023321	0.0202495	0.0166116	0.0187752	0.0191945	0.0181058	0.0267775	0.0440079	0.101034	0.154071	0.242955	0.314897
</S>	0.00553618	0.00470701	0.00359914	0.00535615	0.00673345	0.00811115	0.0157139	0.0296836	0.0874559	0.163981	0.289839	0.379283
