 	un	serpent	est	entré	dans	l'	étang	et	tous	les	pêcheurs	à	l'	écope	ont	pris	fuite	</S>
a66	0.0525856	0.0391166	0.0282613	0.0357479	0.0386897	0.040851	0.0528622	0.0553741	0.0618933	0.0601571	0.0960111	0.135099	0.164216	0.0898912	0.0262033	0.0144852	0.00507829	0.00347765
a87	0.114772	0.0647628	0.0466589	0.0608181	0.0649822	0.084053	0.0707805	0.0642864	0.0502098	0.0394834	0.039433	0.0527989	0.0595369	0.0561581	0.0492499	0.0456923	0.0233555	0.0129681
a23	0.184302	0.117196	0.0919437	0.0908757	0.0712504	0.0580496	0.0421152	0.0266733	0.0253804	0.0195837	0.0368868	0.0478199	0.0682016	0.070577	0.02143	0.0151797	0.00721134	0.00532424
a50	0.16417	0.100056	0.0771333	0.0824229	0.0709296	0.0801091	0.0522765	0.0288644	0.025197	0.0186295	0.0356398	0.0558326	0.0749281	0.0642078	0.0287266	0.0219896	0.0104282	0.00845831
a83	0.0867888	0.0584147	0.0402768	0.0275437	0.0283082	0.0313934	0.0318857	0.0196055	0.0209772	0.01638	0.0397984	0.0918682	0.197171	0.158419	0.0608444	0.0528709	0.0240888	0.0133662
a50	0.188039	0.153537	0.0968349	0.0396555	0.0346855	0.0471808	0.0414293	0.0229933	0.0245324	0.0166949	0.0330051	0.0447609	0.0702243	0.0793708	0.0357157	0.0335555	0.0241229	0.0136615
a56	0.14514	0.14625	0.120872	0.0718723	0.0539263	0.0647155	0.0468391	0.0288665	0.0245982	0.0175096	0.0234225	0.0276828	0.0428765	0.0569213	0.0358028	0.0372785	0.0321913	0.0232351
a96	0.115701	0.121941	0.126534	0.111609	0.0844343	0.0946534	0.0634698	0.0415469	0.0326993	0.0220174	0.0203235	0.0195927	0.0254003	0.0304928	0.024155	0.0251798	0.0221131	0.0181369
a93	0.102818	0.113924	0.116436	0.10601	0.0812644	0.0899601	0.0703355	0.0496896	0.0415133	0.0274171	0.0265624	0.0227772	0.0237128	0.0246181	0.0219671	0.0245981	0.0285172	0.027879
a70	0.0875802	0.100264	0.103378	0.0939653	0.0754329	0.0861838	0.0775971	0.0599148	0.0527724	0.0345542	0.0316215	0.0246121	0.0202073	0.0173773	0.0179119	0.024874	0.0436427	0.0481105
a44	0.0692804	0.0837226	0.0898881	0.0861205	0.0807167	0.0879916	0.0970384	0.0784101	0.0720962	0.0468862	0.0445169	0.0338249	0.0262852	0.019021	0.0129724	0.0150363	0.0249925	0.0312
a93	0.0583105	0.0723993	0.0810498	0.0804188	0.0786933	0.0848892	0.0987905	0.0850314	0.0792742	0.0531511	0.0497156	0.0388238	0.0300331	0.0206572	0.0124847	0.0143985	0.0268545	0.0350247
a75	0.0449936	0.0575261	0.0674102	0.0727339	0.0732979	0.0785912	0.0940001	0.0855306	0.0803549	0.0554911	0.052391	0.0403157	0.0310885	0.0207571	0.0149338	0.0203036	0.0464059	0.0638748
a37	0.0225909	0.0265	0.0346022	0.0592119	0.0629077	0.0674601	0.0885215	0.0915102	0.0895218	0.0719258	0.0779818	0.0651395	0.0492314	0.0273397	0.0236762	0.027711	0.0447598	0.0694083
a75	0.0168194	0.0221145	0.030084	0.0480339	0.0587463	0.0589624	0.0907045	0.107867	0.103201	0.0759461	0.0656072	0.0498115	0.0345578	0.0205908	0.01776	0.0251721	0.0647842	0.109237
a98	0.0104769	0.0120991	0.0169291	0.0329191	0.0416196	0.0411245	0.0674824	0.0888332	0.0942372	0.0796164	0.081217	0.0703373	0.0443084	0.0242021	0.0321929	0.0455689	0.0864066	0.130429
a15	0.00796228	0.00976236	0.014527	0.0286389	0.0348723	0.0338922	0.0563118	0.0789521	0.0858994	0.0749585	0.0759848	0.0591741	0.03573	0.0211342	0.0308172	0.0438282	0.0977741	0.20978
a7	0.00896153	0.0103004	0.0147311	0.0280238	0.0328927	0.0314809	0.0461054	0.0626882	0.0691374	0.0644668	0.0647363	0.0570533	0.0400557	0.0314372	0.0418339	0.057588	0.121368	0.21714
a40	0.0107029	0.0111523	0.0152645	0.0317833	0.0353562	0.0302935	0.0432237	0.0789728	0.0739235	0.0616171	0.0409013	0.0310266	0.0177142	0.0130315	0.0294962	0.0508743	0.135668	0.288997
a47	0.0118955	0.0115895	0.0147162	0.0242203	0.0272651	0.0247269	0.0316608	0.054232	0.0559803	0.0528125	0.0405294	0.0326919	0.0206806	0.0166942	0.0367322	0.0646006	0.165088	0.313884
a36	0.00603368	0.00592521	0.0071057	0.0111326	0.012553	0.0125549	0.0177438	0.0332234	0.0368195	0.0364535	0.0310549	0.0212755	0.0120525	0.00926443	0.0300142	0.0545158	0.181319	0.480959
a75	0.0110103	0.00988928	0.0117465	0.0206555	0.0202969	0.0183607	0.0203641	0.035173	0.0313851	0.0250189	0.0162739	0.0114119	0.00655097	0.00579386	0.0274359	0.062323	0.167958	0.498352
