 	la	maigreur	de	ce	chien	me	fait	rire	</S>
a66	0.388252	0.220508	0.0896255	0.0753672	0.0887331	0.0585621	0.0352616	0.0203629	0.0233275
a87	0.509517	0.246206	0.121196	0.0652826	0.0198244	0.0125545	0.00841694	0.00641997	0.0105831
a23	0.416786	0.362526	0.15616	0.0343227	0.00768293	0.00498079	0.00438711	0.0050959	0.00805781
a13	0.399782	0.441954	0.117642	0.0183674	0.00377997	0.00220392	0.00246761	0.0040443	0.00975785
a3	0.399549	0.421639	0.0910932	0.0263617	0.0119455	0.00949475	0.0093913	0.011197	0.0193285
a10	0.322242	0.382599	0.150387	0.0524335	0.0248124	0.0141605	0.013561	0.0168408	0.0229639
a24	0.187514	0.306955	0.224449	0.106615	0.0612893	0.0320022	0.0268652	0.0269677	0.0273425
a88	0.08931	0.188355	0.248236	0.19394	0.127498	0.064861	0.0377978	0.026695	0.0233066
a0	0.0742853	0.173333	0.258977	0.239214	0.139963	0.0562649	0.0256788	0.0167769	0.0155078
a75	0.0593357	0.138561	0.244863	0.254153	0.159812	0.0642403	0.0287591	0.0233256	0.0269497
a47	0.0414044	0.107191	0.184045	0.262489	0.213681	0.0929799	0.0431623	0.0274246	0.0276226
a44	0.0256456	0.0798194	0.176811	0.258697	0.215938	0.10583	0.0543017	0.0402981	0.0426596
a54	0.033562	0.0678646	0.139574	0.260854	0.245288	0.111255	0.0538938	0.0401086	0.0475995
a6	0.0218454	0.0408598	0.0639055	0.140904	0.245767	0.183202	0.105528	0.0876564	0.110332
a37	0.0211459	0.0309438	0.0428576	0.0931729	0.208238	0.182441	0.119861	0.123486	0.177853
a56	0.0162179	0.0183231	0.024767	0.0485157	0.163398	0.207954	0.149214	0.151859	0.219752
a93	0.00899188	0.008626	0.0111985	0.0229044	0.0942215	0.183745	0.183343	0.189286	0.297684
a4	0.00563878	0.00599523	0.00787704	0.0203259	0.0846621	0.189777	0.232346	0.191422	0.261956
a94	0.00851418	0.00663917	0.00744125	0.0152931	0.0505434	0.120313	0.196621	0.23275	0.361886
a69	0.00342108	0.00290172	0.00330605	0.00791177	0.0224252	0.058047	0.159621	0.283951	0.458415
a44	0.00103585	0.00100622	0.00115698	0.00307861	0.0114551	0.0385906	0.128841	0.295543	0.519292
a96	0.000370615	0.000339295	0.000394998	0.00114522	0.00456156	0.0188664	0.0917741	0.300849	0.581698
a18	0.000316569	0.000291776	0.000338666	0.0010499	0.00395426	0.0200668	0.104118	0.336009	0.533856
a0	0.00044582	0.00052911	0.000597593	0.00122641	0.00308375	0.0155892	0.086519	0.287165	0.604844
a12	0.00155879	0.00172496	0.00159896	0.00235064	0.0041992	0.015155	0.0712923	0.257429	0.644692
a18	0.000261459	0.000343886	0.000353594	0.00084737	0.00172069	0.00670295	0.0441228	0.243245	0.702403
a27	0.000848819	0.00117803	0.00112221	0.00163541	0.0023406	0.00771164	0.0433767	0.214566	0.727221
a57	0.0383452	0.026709	0.0155249	0.0152111	0.0231867	0.0444894	0.101078	0.239379	0.496077
a87	0.244795	0.140957	0.0555284	0.0362426	0.0371217	0.0481892	0.0813374	0.139209	0.21662
a23	0.327449	0.242728	0.116878	0.0481942	0.0316619	0.0311551	0.0474879	0.0676841	0.0867618
a87	0.261863	0.270247	0.111155	0.0503011	0.0342966	0.0383236	0.0668593	0.0774157	0.0895395
</S>	0.0527684	0.08	0.0389857	0.0270198	0.0272543	0.045008	0.109003	0.227444	0.392517
