 	sa	mère	l'	a	blâmé	à	cause	de	son	impolitesse	</S>
a66	0.118519	0.123576	0.148698	0.174858	0.105347	0.112839	0.0804815	0.0731239	0.0415262	0.0137952	0.00723661
a10	0.417338	0.320214	0.159156	0.0508902	0.0137371	0.0080659	0.0068437	0.00646843	0.00739701	0.00458957	0.0053001
a87	0.457633	0.28961	0.122867	0.0510659	0.0199116	0.0150739	0.0130801	0.00978763	0.00721629	0.00558298	0.00817167
a23	0.399209	0.301368	0.141571	0.0564554	0.0202245	0.0170428	0.0141542	0.0123845	0.0108981	0.0104724	0.01622
a13	0.410605	0.24104	0.0891991	0.0362051	0.0200452	0.0191693	0.0218944	0.0280119	0.0387163	0.0352515	0.059862
a30	0.198044	0.143171	0.0839138	0.0552321	0.0399393	0.0557703	0.0752629	0.0846335	0.08557	0.0747766	0.103686
a53	0.134209	0.115429	0.0920752	0.0851926	0.0783083	0.104239	0.094772	0.0880517	0.0750796	0.0669596	0.065683
a15	0.161898	0.169967	0.171764	0.153376	0.119466	0.0893252	0.0505596	0.0308939	0.0228471	0.0173316	0.0125707
a7	0.0996993	0.132103	0.168946	0.166785	0.150288	0.103437	0.0689256	0.0516319	0.0315301	0.0165952	0.0100588
a75	0.063311	0.0839219	0.129069	0.141547	0.16716	0.143799	0.0988065	0.0662244	0.0381861	0.034001	0.0339744
a12	0.0595779	0.0739264	0.111138	0.125134	0.162414	0.144391	0.107902	0.0816753	0.0457348	0.0439354	0.0441715
a96	0.0700979	0.0805507	0.124451	0.147219	0.159543	0.148763	0.102074	0.073387	0.0371245	0.0307389	0.0260512
a61	0.0325465	0.0388101	0.0758387	0.113727	0.155414	0.178459	0.133703	0.102637	0.058296	0.0579673	0.0526014
a75	0.0254665	0.0283396	0.0589067	0.103971	0.145849	0.183369	0.13744	0.115725	0.0831227	0.0679047	0.0499061
a15	0.0104863	0.013581	0.0370313	0.0807476	0.144972	0.166955	0.13181	0.121811	0.0981999	0.113389	0.0810175
a79	0.00784902	0.0102315	0.0248303	0.0600369	0.111702	0.16063	0.15166	0.139008	0.0949216	0.117954	0.121176
a15	0.0093724	0.011573	0.0271316	0.0619391	0.114062	0.162926	0.155695	0.150586	0.104745	0.106606	0.0953636
a36	0.00885893	0.00990761	0.0198428	0.0446468	0.0831789	0.1352	0.147054	0.166705	0.126551	0.134437	0.123619
a2	0.010273	0.0101626	0.0131319	0.0248935	0.0422253	0.0868745	0.132874	0.174915	0.132855	0.140342	0.231454
a84	0.0175028	0.0189287	0.0202779	0.0261218	0.0297058	0.052485	0.123711	0.22751	0.152387	0.133434	0.197936
