 	mon	enfant	vient	de	mourir	</S>
a66	0.332482	0.15176	0.132312	0.139259	0.119782	0.124404
a87	0.459356	0.180685	0.0965606	0.0954919	0.0760431	0.091864
a97	0.562968	0.189135	0.0830658	0.0546519	0.0466169	0.0635628
a87	0.537157	0.203554	0.103864	0.0568388	0.0451595	0.0534267
a97	0.544571	0.215058	0.0960648	0.0487228	0.0426153	0.0529681
a23	0.582325	0.195139	0.0869537	0.0454064	0.0405378	0.0496384
a38	0.561306	0.185138	0.0828302	0.0491456	0.0501084	0.0714715
a15	0.464176	0.186291	0.0916323	0.0712129	0.0757701	0.110917
a92	0.259965	0.197326	0.143717	0.106976	0.123412	0.168604
a6	0.282656	0.262049	0.155625	0.100791	0.0892412	0.109638
a37	0.218868	0.210078	0.172076	0.136428	0.126232	0.136317
a85	0.141435	0.142624	0.157486	0.176743	0.184385	0.197327
a6	0.114878	0.163065	0.185237	0.185272	0.168923	0.182625
a37	0.0768697	0.115104	0.160191	0.220592	0.214631	0.212612
a53	0.0514303	0.0766071	0.119462	0.179323	0.245591	0.327587
a20	0.0221704	0.0416976	0.0915283	0.174453	0.273794	0.396357
a7	0.0121273	0.0250408	0.0666611	0.150068	0.31181	0.434292
a84	0.00522026	0.0125805	0.0365601	0.108943	0.314915	0.521781
a57	0.0290038	0.0335969	0.0555485	0.135133	0.284486	0.462231
a97	0.101476	0.0700177	0.068407	0.120824	0.242823	0.396452
a87	0.333171	0.17957	0.107433	0.0924119	0.136025	0.151389
a97	0.247614	0.15787	0.11166	0.111894	0.183624	0.187338
a99	0.158817	0.113356	0.115618	0.131048	0.21545	0.26571
a30	0.118236	0.12299	0.121344	0.141412	0.227863	0.268154
</S>	0.144298	0.125525	0.0989235	0.123112	0.207205	0.300937
