 	ce	malade	a	rendu	l'	âme	</S>
a66	0.382301	0.197881	0.1434	0.107915	0.0860414	0.051084	0.0313782
a87	0.171494	0.129279	0.114926	0.151691	0.168427	0.142518	0.121665
a23	0.35754	0.16232	0.104954	0.118464	0.107312	0.0879115	0.0614986
a87	0.375254	0.193434	0.141029	0.112515	0.080071	0.0575654	0.0401312
a97	0.359633	0.184622	0.134458	0.123052	0.0929403	0.063885	0.0414102
a87	0.315982	0.176626	0.138306	0.128322	0.106622	0.0800034	0.0541395
a97	0.319092	0.171836	0.135532	0.133681	0.111467	0.0798343	0.0485575
a79	0.295602	0.176983	0.144253	0.133923	0.110982	0.0846993	0.0535584
a4	0.25392	0.177356	0.152346	0.115571	0.101542	0.100545	0.0987205
a57	0.199948	0.190491	0.189374	0.119133	0.0964102	0.0963571	0.108286
a53	0.147677	0.173076	0.20052	0.116635	0.100586	0.111645	0.149861
a93	0.124992	0.175863	0.23595	0.136419	0.0991193	0.100893	0.126764
a70	0.126756	0.185462	0.254941	0.135788	0.087957	0.0903605	0.118735
a93	0.10473	0.149582	0.228201	0.157135	0.101771	0.109747	0.148834
a96	0.108588	0.148137	0.227099	0.183825	0.105596	0.0998242	0.126932
a93	0.0861086	0.133145	0.210445	0.190019	0.121274	0.111012	0.147997
a70	0.0719961	0.110784	0.18645	0.213563	0.146967	0.12133	0.14891
a0	0.045117	0.0767958	0.148871	0.224241	0.171149	0.146021	0.187804
a56	0.0403046	0.0611101	0.11616	0.193691	0.175123	0.174407	0.239204
a4	0.0198233	0.0352961	0.0692353	0.139104	0.184508	0.230389	0.321644
a11	0.0210563	0.03601	0.0664439	0.13677	0.194436	0.237767	0.307517
a47	0.00434636	0.00643382	0.0138297	0.0491121	0.121357	0.273859	0.531062
a96	0.0101392	0.0133231	0.0211567	0.0605686	0.162843	0.307186	0.424783
a62	0.00287271	0.00426143	0.00792271	0.0265609	0.0919519	0.284769	0.581661
a96	0.00174371	0.00228505	0.00424269	0.01923	0.085049	0.286705	0.600744
a37	0.00101262	0.00132777	0.00259128	0.0123156	0.0585165	0.23724	0.686996
a26	0.00337366	0.00402361	0.00676984	0.0251578	0.0733417	0.246378	0.640956
a82	0.0436481	0.0331454	0.0337447	0.0618415	0.104682	0.234795	0.488144
a3	0.109797	0.0552712	0.04027	0.0591546	0.104934	0.221747	0.408826
a97	0.151433	0.0731461	0.0434859	0.0580209	0.117983	0.232371	0.32356
</S>	0.118976	0.0710979	0.0504972	0.0753277	0.139127	0.23555	0.309424
