 	le	jardinier	arrose	les	légumes	pour	les	faire	pousser	plus	vite	</S>
a23	0.265917	0.156112	0.0945407	0.0942229	0.0975644	0.0824513	0.0581417	0.0414266	0.0258602	0.0235805	0.0275644	0.032619
a87	0.373092	0.175768	0.11139	0.0694719	0.047224	0.0400603	0.0313562	0.0265382	0.0181141	0.0217786	0.034044	0.0511619
a23	0.167521	0.130135	0.120579	0.0966437	0.0764484	0.0561134	0.0442634	0.0438666	0.0395745	0.0525343	0.074876	0.0974452
a20	0.236607	0.154559	0.0983653	0.0526353	0.030684	0.0166928	0.0130336	0.0177076	0.0229369	0.0438343	0.109277	0.203666
a94	0.375459	0.3825	0.096903	0.0473014	0.0246005	0.0169896	0.0133214	0.0120579	0.0081698	0.00666407	0.00751491	0.00851887
a32	0.267387	0.337683	0.145238	0.0926919	0.056967	0.0350392	0.0221302	0.0150907	0.00864073	0.00641307	0.00632047	0.00639819
a54	0.19847	0.246512	0.161358	0.125707	0.0923308	0.05763	0.0364188	0.0247365	0.0161597	0.0132434	0.0137234	0.0137115
a30	0.168224	0.208587	0.14531	0.1077	0.0866402	0.0691123	0.0553319	0.0443184	0.0317905	0.0271549	0.0273363	0.0284953
a41	0.159405	0.21283	0.160188	0.115648	0.0897179	0.0702958	0.0555605	0.0445399	0.0303668	0.0223125	0.0200701	0.019066
a24	0.0937674	0.1392	0.153189	0.12849	0.115231	0.0981948	0.0786009	0.0621209	0.0429393	0.0312951	0.028754	0.0282179
a43	0.063844	0.0843313	0.162008	0.165668	0.160072	0.125954	0.084517	0.0532079	0.0303999	0.0222344	0.0224969	0.0252681
a41	0.0618611	0.0709048	0.14744	0.173909	0.166741	0.128809	0.0801091	0.0465295	0.0278525	0.0249554	0.031164	0.0397247
a36	0.0471403	0.0568787	0.110457	0.138113	0.14789	0.133382	0.0951733	0.0660358	0.0473833	0.0431393	0.0515546	0.0628529
a40	0.0508496	0.0530994	0.0887387	0.112383	0.121315	0.11337	0.0878557	0.06689	0.0581557	0.0619316	0.0815128	0.103899
a41	0.0497354	0.056124	0.06484	0.0794176	0.096001	0.104464	0.0887379	0.0739883	0.0725101	0.0795072	0.105115	0.12956
a54	0.0385774	0.0462187	0.0634066	0.0877407	0.112537	0.117569	0.101028	0.0903363	0.0914154	0.0839775	0.0817333	0.0854604
a41	0.0337142	0.0403927	0.0474784	0.0581497	0.0817626	0.0959555	0.0878202	0.0858024	0.0998513	0.107137	0.122268	0.139669
a35	0.0262171	0.0342759	0.0482231	0.0684204	0.102925	0.121186	0.107307	0.0961972	0.0962623	0.0953992	0.0974473	0.106139
a26	0.0258114	0.0303733	0.0366596	0.0478218	0.0801377	0.121165	0.127347	0.117528	0.106942	0.0952015	0.0984925	0.112521
a94	0.0188947	0.0207849	0.0279287	0.0414727	0.0684717	0.110586	0.12027	0.117886	0.111177	0.10331	0.118725	0.140494
a38	0.0210587	0.0212997	0.0228341	0.0296374	0.0494599	0.0902347	0.110505	0.111713	0.111407	0.118482	0.142975	0.170393
a98	0.0168318	0.0162514	0.0156257	0.0203542	0.032987	0.0685923	0.097742	0.108476	0.123258	0.14267	0.166688	0.190524
a73	0.0122202	0.0128414	0.0134785	0.0173434	0.0296172	0.0681694	0.105334	0.12395	0.133886	0.145248	0.156495	0.181417
a35	0.0106244	0.0106768	0.0120093	0.0152732	0.0254673	0.057984	0.0942795	0.118658	0.137455	0.154137	0.172278	0.191158
