 	les	enfants	ont	préparé	un	fétiche	pour	venger	leur	defunte	mère	</S>
a66	0.16605	0.151759	0.11933	0.0966768	0.0956634	0.0845886	0.0871586	0.110896	0.0548588	0.0146315	0.00976276	0.00862346
a87	0.274025	0.181427	0.109841	0.0784891	0.0516891	0.0516703	0.0556208	0.0961973	0.0423727	0.022492	0.0203658	0.0158107
a23	0.2919	0.174411	0.119068	0.0848103	0.060861	0.0520542	0.0501327	0.0775258	0.0384428	0.0188103	0.0145256	0.0174579
a87	0.142837	0.0927827	0.0911698	0.121969	0.110509	0.120767	0.0908573	0.105155	0.0465619	0.0277945	0.0228103	0.0267863
a97	0.141821	0.095572	0.0956716	0.129419	0.10822	0.0966441	0.0826271	0.109974	0.0676384	0.0339932	0.0203527	0.0180667
a87	0.158858	0.113051	0.104923	0.110147	0.090288	0.0806803	0.0724869	0.103987	0.0790699	0.0398235	0.0252064	0.0214799
a79	0.154153	0.117541	0.104722	0.095883	0.0812724	0.0816355	0.0758398	0.109001	0.0846043	0.0458594	0.0277047	0.0217843
a54	0.178977	0.141391	0.145902	0.0928392	0.0629699	0.0598174	0.0353735	0.061639	0.0660207	0.0444392	0.0506998	0.0599305
a92	0.143331	0.143424	0.111933	0.090033	0.0787892	0.0797506	0.0503143	0.0687007	0.0753452	0.0567222	0.0488229	0.0528337
a85	0.0724269	0.0814275	0.0849152	0.0994997	0.104551	0.142034	0.0944867	0.105058	0.0572285	0.0466171	0.0484896	0.0632649
a47	0.0530999	0.0634103	0.0657972	0.0806943	0.0860476	0.108604	0.0955109	0.111823	0.0776577	0.0753588	0.0806053	0.101391
a36	0.0411891	0.0555373	0.0869251	0.136234	0.147101	0.157956	0.0802962	0.0712037	0.0348591	0.0390535	0.0601088	0.0895355
a93	0.0488202	0.0527344	0.07092	0.125261	0.143668	0.183264	0.108119	0.0914846	0.0342943	0.0313259	0.0445453	0.0655629
a62	0.104229	0.101984	0.0949089	0.125258	0.132239	0.130758	0.088577	0.0675528	0.0323174	0.0313224	0.0388822	0.0519718
a83	0.0481951	0.0482243	0.0579343	0.116274	0.152918	0.180218	0.128598	0.0932165	0.0388025	0.0330175	0.0426234	0.0599784
a88	0.0286571	0.0255081	0.0303357	0.0729912	0.117845	0.188348	0.167804	0.130832	0.0519691	0.0408856	0.0574812	0.0873429
a62	0.0141466	0.0138401	0.0177489	0.0510621	0.0995389	0.205456	0.205506	0.156586	0.0648756	0.0413834	0.0515289	0.0783268
a21	0.014883	0.0162725	0.0193689	0.0407583	0.0789327	0.17079	0.222246	0.189139	0.10172	0.0490264	0.0435198	0.0533446
a12	0.00714741	0.00856174	0.0115022	0.0252858	0.0495155	0.125171	0.219145	0.201182	0.118193	0.0668665	0.0720387	0.0953906
a62	0.00665741	0.00862061	0.0124099	0.0278115	0.0526461	0.12767	0.206685	0.185069	0.122129	0.0731459	0.0773388	0.0998167
a21	0.00527606	0.006902	0.0105095	0.0237904	0.046889	0.113394	0.190037	0.164922	0.115123	0.0820142	0.102325	0.138818
a92	0.0043135	0.00541428	0.00752465	0.01451	0.025769	0.0504013	0.113502	0.128312	0.12554	0.129981	0.166359	0.228374
a98	0.00185026	0.00231449	0.00301296	0.00558174	0.0115695	0.0234635	0.0451269	0.0497074	0.0563189	0.105268	0.253306	0.44248
a47	0.0015965	0.00211627	0.0028679	0.00485115	0.0107147	0.0211277	0.0309333	0.0245141	0.033207	0.0807655	0.236098	0.551208
a92	0.00294352	0.00318409	0.00340118	0.00549147	0.0102905	0.0223108	0.0404829	0.0291554	0.0375184	0.111029	0.267695	0.466498
a37	0.000816285	0.000915693	0.00111278	0.00224648	0.0052651	0.0123934	0.0185804	0.0154469	0.0269501	0.118215	0.310843	0.487215
a90	0.00124846	0.00131021	0.00116548	0.00224812	0.00504809	0.0102471	0.0117605	0.00919636	0.0158312	0.0768594	0.285262	0.579823
a15	0.000489044	0.000508962	0.00048498	0.00101676	0.00260187	0.00696797	0.00715194	0.00608432	0.0128861	0.0729695	0.275406	0.613432
a69	0.000398265	0.000377979	0.000305366	0.000511213	0.00095021	0.00251953	0.00310655	0.00272193	0.00575388	0.046672	0.259207	0.677476
a15	0.00135222	0.0014432	0.0013616	0.00179164	0.00300368	0.00700059	0.00661036	0.00596862	0.00934393	0.0483523	0.264452	0.64932
a36	0.002365	0.00235766	0.00207744	0.00219949	0.00274778	0.00471025	0.0047441	0.00457473	0.00897057	0.0565082	0.282061	0.626684
a7	0.00611872	0.00572077	0.00522379	0.00484252	0.00545456	0.00819789	0.00801805	0.00801023	0.0167328	0.0819847	0.333414	0.516282
a2	0.0154295	0.0150071	0.0153711	0.0139013	0.0142863	0.01632	0.0115398	0.0105689	0.0225359	0.0769174	0.294518	0.493605
a57	0.079661	0.0814514	0.0870106	0.0711749	0.083056	0.0796048	0.042072	0.0268138	0.044047	0.0723219	0.133429	0.199357
a87	0.189927	0.135489	0.113813	0.0869761	0.0716769	0.0570463	0.0393446	0.044369	0.0425653	0.0610013	0.0758767	0.0819148
a23	0.111886	0.0889609	0.0737238	0.0606367	0.0503141	0.0442707	0.0402557	0.0570024	0.0684366	0.119026	0.144893	0.140594
a87	0.0408169	0.0291392	0.0155261	0.00901744	0.00697338	0.0061732	0.00830906	0.0181078	0.0535286	0.219858	0.320073	0.272477
a23	0.00420808	0.00287395	0.00190068	0.00220151	0.00258481	0.00438456	0.00726305	0.0119146	0.0191813	0.108028	0.321064	0.514396
a87	0.00840618	0.00533789	0.00292588	0.00270971	0.00305038	0.00452488	0.00812488	0.0132378	0.0284484	0.158464	0.349518	0.415252
a23	0.00423727	0.00298078	0.00196646	0.00226701	0.00280086	0.00503987	0.00840264	0.0128579	0.021806	0.118803	0.330684	0.488154
a99	0.0102753	0.00682166	0.00398972	0.0034975	0.00400572	0.00603306	0.00973214	0.015084	0.0314531	0.158428	0.343115	0.407565
</S>	0.0141149	0.00809387	0.00435163	0.00419564	0.0052083	0.00707366	0.00982455	0.0150791	0.0292214	0.144845	0.319672	0.43832
