 	il	avantage	les	enfants	de	sa	première	femme	</S>
a23	0.198368	0.154197	0.169388	0.13872	0.100953	0.0801605	0.0674473	0.044221	0.0465436
a30	0.137325	0.0915418	0.119363	0.111255	0.107474	0.109417	0.104306	0.099071	0.120247
a53	0.117108	0.145709	0.169889	0.138553	0.0956171	0.0870385	0.102528	0.0619558	0.0816018
a15	0.281497	0.237686	0.17113	0.0941576	0.0550316	0.046035	0.05617	0.0274499	0.0308434
a98	0.420378	0.225957	0.165515	0.0670445	0.037895	0.0268896	0.0305267	0.0139132	0.0118803
a41	0.376786	0.235894	0.184152	0.0705631	0.0385991	0.0269984	0.0291559	0.0190684	0.0187831
a98	0.287249	0.246936	0.207285	0.100851	0.05544	0.0336181	0.02818	0.0200397	0.0204013
a41	0.22086	0.222753	0.191617	0.107124	0.0721132	0.0547301	0.0520015	0.039238	0.0395622
a27	0.152568	0.187535	0.187599	0.135348	0.0969959	0.0719604	0.0675868	0.0505613	0.0498463
a75	0.130915	0.209585	0.217341	0.166611	0.0937197	0.0524285	0.0433119	0.0394501	0.046638
a41	0.104255	0.153097	0.175447	0.151065	0.107095	0.0798528	0.0809152	0.0685472	0.0797265
a35	0.0923687	0.113449	0.111717	0.122246	0.106786	0.0960399	0.114093	0.118894	0.124406
a75	0.115647	0.101499	0.0956553	0.118932	0.115434	0.102993	0.111898	0.111961	0.125981
a43	0.0805988	0.0669842	0.0562639	0.0821579	0.106112	0.113229	0.142936	0.167142	0.184577
a32	0.104273	0.104917	0.084729	0.110041	0.127917	0.116737	0.10728	0.105938	0.138167
a75	0.0776104	0.081691	0.0738234	0.111485	0.140124	0.13337	0.129683	0.11009	0.142124
a73	0.0584572	0.0623631	0.0496987	0.0685759	0.0932372	0.104649	0.146464	0.188669	0.227885
a44	0.041023	0.0471032	0.0445519	0.0668194	0.0942291	0.127	0.174522	0.179304	0.225447
a58	0.0504102	0.0505873	0.056395	0.075695	0.100949	0.128176	0.185261	0.157441	0.195086
a38	0.0281929	0.0296331	0.0379001	0.0635029	0.100365	0.144941	0.230048	0.160535	0.204882
a41	0.033098	0.0296049	0.035598	0.0461984	0.0604152	0.0890308	0.187292	0.216524	0.302239
a94	0.0213952	0.0181047	0.0206888	0.0327675	0.0521226	0.0923201	0.201416	0.25152	0.309665
a75	0.0375252	0.0281028	0.0297128	0.0386598	0.0488966	0.0731874	0.177166	0.240684	0.326065
a41	0.0283276	0.025613	0.0252675	0.0320665	0.0433169	0.0662334	0.152534	0.258716	0.367925
a44	0.0137737	0.0146999	0.015053	0.0254181	0.0419077	0.0766979	0.178468	0.284584	0.349398
a98	0.00868178	0.0102735	0.0126767	0.0223085	0.034044	0.0603657	0.179531	0.295246	0.376873
a73	0.0141108	0.0151856	0.0186294	0.0258999	0.0351521	0.0598861	0.162881	0.292159	0.376097
a94	0.0118777	0.0162276	0.0182461	0.0275398	0.0356835	0.0570136	0.150727	0.283061	0.399623
a76	0.0090204	0.0105184	0.0126168	0.021384	0.026413	0.0399762	0.124828	0.277871	0.477372
a41	0.0261568	0.0286186	0.0274709	0.0332426	0.0363866	0.049805	0.11217	0.268702	0.417448
a32	0.0136383	0.0149391	0.0156401	0.0229168	0.0327866	0.0553003	0.13234	0.295351	0.417087
a75	0.0118736	0.012234	0.0116333	0.0177459	0.024492	0.0406919	0.116637	0.293117	0.471575
a25	0.0147527	0.0167492	0.0169763	0.0256547	0.0330092	0.0520527	0.120676	0.27306	0.447069
a98	0.0107708	0.0146752	0.0157272	0.0239914	0.0327523	0.0532997	0.139801	0.277569	0.431413
a41	0.00967224	0.0122107	0.0130407	0.0196693	0.0265523	0.0486429	0.127545	0.283876	0.45879
a44	0.0149349	0.0179421	0.0182325	0.0238661	0.0356427	0.0666676	0.155383	0.276693	0.390638
a58	0.0112892	0.0134794	0.0130247	0.0228959	0.0269848	0.0388098	0.107013	0.257492	0.509011
a53	0.00154728	0.00178365	0.00221878	0.00538056	0.00934859	0.0219975	0.0876843	0.275796	0.594243
a93	0.00729228	0.00756216	0.00884859	0.015213	0.0209133	0.0357475	0.0991608	0.257599	0.547663
a32	0.00527821	0.00501675	0.00599224	0.0102375	0.0143232	0.0272011	0.0843874	0.260118	0.587445
a11	0.00675471	0.00590559	0.00711567	0.0096922	0.0116055	0.0215379	0.068069	0.249094	0.620225
a43	0.00392824	0.00368509	0.00501039	0.00871452	0.0115077	0.0235435	0.0651257	0.257155	0.62133
a56	0.00455823	0.00479234	0.00657352	0.0127642	0.0172741	0.0333297	0.0740386	0.251968	0.594702
a93	0.0035802	0.00331958	0.00483326	0.00729355	0.00928984	0.0192839	0.0599046	0.266566	0.62593
a13	0.0036733	0.00367292	0.00447395	0.00641705	0.00702047	0.0124502	0.0415747	0.240202	0.680515
a9	0.00695952	0.00727811	0.00898819	0.0133736	0.0148112	0.0249136	0.0647456	0.24712	0.611811
a3	0.0033933	0.00373815	0.00472261	0.00904778	0.0129122	0.0258693	0.0640088	0.242147	0.634161
a87	0.00208951	0.00152117	0.00209993	0.00454533	0.00984254	0.027189	0.0755904	0.282682	0.59444
</S>	0.0184604	0.00990539	0.0113423	0.0163873	0.0279416	0.048845	0.0906496	0.271991	0.504477
