 	en	ville	il	y	a	un	bruit	insupportable	</S>
a23	0.371307	0.110484	0.0698028	0.0480927	0.0498746	0.0611588	0.0650882	0.0885659	0.135626
a79	0.418186	0.178383	0.0857295	0.0686355	0.0544946	0.0485167	0.048568	0.0420877	0.0553996
a54	0.26011	0.137876	0.0817474	0.0741908	0.0755378	0.0815057	0.0879548	0.0818513	0.119226
a37	0.345912	0.168618	0.137375	0.0922182	0.0789862	0.0614857	0.0412633	0.039127	0.0350143
a66	0.365296	0.242767	0.156213	0.0948624	0.0591191	0.033039	0.0200404	0.0136938	0.0149683
a61	0.287954	0.247078	0.182523	0.125453	0.0770924	0.0401117	0.0203036	0.0110161	0.00846897
a21	0.276151	0.228809	0.196567	0.135655	0.0818348	0.0391394	0.0200952	0.0112945	0.0104534
a61	0.15746	0.180383	0.183712	0.153178	0.112524	0.0814543	0.0559504	0.0371669	0.0381712
a21	0.131859	0.15288	0.1836	0.185009	0.15517	0.0902473	0.0538387	0.0256278	0.0217676
a85	0.155737	0.150585	0.164847	0.15715	0.135241	0.100081	0.0690643	0.0383789	0.0289153
a75	0.0532796	0.0697078	0.0881426	0.106652	0.128791	0.154189	0.167275	0.126367	0.105597
a93	0.0530806	0.0586073	0.0841592	0.122477	0.179205	0.192887	0.174753	0.0812407	0.0535906
a56	0.0338733	0.0470074	0.0698011	0.106264	0.162717	0.236633	0.22078	0.0856104	0.0373139
a66	0.0278924	0.0352798	0.0556866	0.0864907	0.146128	0.231847	0.256716	0.104968	0.0549915
a61	0.0208423	0.0234006	0.0310238	0.0485454	0.0810918	0.174441	0.241932	0.196597	0.182125
a75	0.011667	0.0183673	0.0296779	0.0533364	0.0965709	0.209023	0.321304	0.190682	0.0693714
a85	0.0109826	0.0139097	0.026456	0.04863	0.0932425	0.166649	0.246896	0.20849	0.184744
a54	0.0136404	0.0132486	0.02222	0.0329892	0.0557748	0.110263	0.193216	0.254581	0.304066
a79	0.00510878	0.00538667	0.0106432	0.0199799	0.0453312	0.125606	0.24035	0.287122	0.260472
a44	0.00661654	0.00744981	0.0145564	0.0252306	0.0526499	0.122643	0.204983	0.272922	0.292949
a84	0.00305633	0.00443764	0.00876711	0.0202513	0.0471992	0.116444	0.213283	0.260749	0.325813
a40	0.00780305	0.00552428	0.00596678	0.00768159	0.0105828	0.0238911	0.0560873	0.187194	0.695269
a75	0.00496116	0.00503792	0.00750101	0.0158333	0.0300791	0.0774396	0.171947	0.277025	0.410175
a35	0.00774384	0.00681241	0.0102401	0.0176619	0.0355919	0.0865644	0.163219	0.266357	0.40581
a2	0.00411611	0.00459782	0.00803459	0.0168149	0.0360505	0.0911419	0.180201	0.260743	0.3983
a57	0.00268934	0.00246133	0.00343566	0.00530931	0.0102199	0.0290261	0.0728629	0.174179	0.699816
a87	0.00572168	0.00305216	0.00266226	0.00364202	0.00537853	0.0151166	0.0453578	0.226466	0.692603
a23	0.0318499	0.0156572	0.0136366	0.0171781	0.0207271	0.0463031	0.101241	0.288867	0.464541
a87	0.0206864	0.0150523	0.0198856	0.0324632	0.0472528	0.0951513	0.1703	0.289001	0.310208
</S>	0.0115686	0.00757801	0.0112631	0.0191909	0.032557	0.067314	0.137194	0.26691	0.446425
