 	tout	le	village	ne	veut	plus	de	nyasoni	parce	qu'	elle	prononce	tout	temps	des	malédictions	sur	les	enfants	</S>
a10	0.101785	0.0998838	0.0901442	0.0833704	0.074215	0.0776093	0.0621	0.0573852	0.0472672	0.0334167	0.0386578	0.0478452	0.0429388	0.0738564	0.0356581	0.0128048	0.00698915	0.00524151	0.00442893	0.00440286
a87	0.241934	0.0961727	0.0391957	0.0247039	0.0212595	0.0232076	0.0338979	0.0314159	0.0358213	0.0324116	0.0346024	0.0489188	0.0563226	0.0765806	0.0383973	0.0215763	0.0242266	0.0289057	0.0390751	0.0513749
a23	0.103197	0.0827225	0.081845	0.0731569	0.0662473	0.0665544	0.066601	0.0515616	0.0305639	0.0204079	0.024027	0.0262333	0.0325403	0.0355429	0.0331047	0.0233581	0.02423	0.0310043	0.0533098	0.0737921
a53	0.107409	0.07531	0.04983	0.0576475	0.049891	0.0548633	0.0743519	0.0727071	0.0556324	0.0408464	0.0404565	0.0406958	0.0407733	0.0453358	0.0334012	0.0259176	0.0235896	0.0250064	0.0344232	0.0519121
a15	0.203575	0.176588	0.107166	0.0470152	0.0245551	0.023025	0.0218841	0.0203332	0.0213961	0.0186672	0.0195011	0.0204323	0.0182725	0.0193138	0.0254742	0.0318613	0.0462108	0.049455	0.0513093	0.0539648
a98	0.182166	0.169931	0.102611	0.0459133	0.0263765	0.0246873	0.0254268	0.0273166	0.0406666	0.0367053	0.0338458	0.0334812	0.0236415	0.0252198	0.0222439	0.0264317	0.0370937	0.0398743	0.0387859	0.0375822
a92	0.109703	0.106832	0.0693746	0.0466056	0.0321049	0.0320583	0.032401	0.0392903	0.0715925	0.0729439	0.0602797	0.0484924	0.0305353	0.0347662	0.0285532	0.0299343	0.0377149	0.0393303	0.0386963	0.0387916
a37	0.0674711	0.0746604	0.0594824	0.050626	0.0385429	0.0429302	0.0482662	0.06865	0.11497	0.113444	0.0770236	0.0508396	0.0282575	0.0300257	0.0216455	0.017508	0.0186377	0.0208192	0.0257281	0.0304721
a62	0.0627569	0.064296	0.0605101	0.0650646	0.0532371	0.0558502	0.0575954	0.076325	0.118057	0.109987	0.0710751	0.0458394	0.0262851	0.0286454	0.0202027	0.016236	0.0160213	0.0145363	0.0172372	0.020242
a88	0.0447449	0.0558831	0.0632284	0.0763814	0.0666723	0.0713186	0.0683274	0.0836302	0.111319	0.108109	0.0681779	0.0429252	0.0253643	0.0260374	0.0161588	0.0117922	0.0115495	0.0122742	0.0165988	0.0195075
a9	0.034332	0.0476501	0.0686661	0.0952413	0.0935091	0.0955518	0.0798515	0.0834782	0.0907297	0.0837218	0.051969	0.0352292	0.0231272	0.0205826	0.0146897	0.0131407	0.012965	0.014107	0.0186454	0.0228125
a75	0.0207738	0.0280108	0.0529899	0.0889165	0.0918924	0.0975763	0.076425	0.0660095	0.0587157	0.0561177	0.0452717	0.0369408	0.0265223	0.0240885	0.0222768	0.0277179	0.0322849	0.039732	0.0484087	0.0593289
a79	0.0143876	0.0205071	0.0375925	0.0605605	0.0579917	0.0732397	0.0766428	0.0889071	0.109932	0.113129	0.0805717	0.0566326	0.0307393	0.0289443	0.0180035	0.0136144	0.0156466	0.0219808	0.0345004	0.046477
a37	0.0223604	0.0293818	0.0470843	0.0737512	0.0784717	0.0814289	0.0704253	0.0773537	0.0860459	0.0879336	0.0734013	0.0577814	0.0386851	0.0404152	0.0212675	0.0138469	0.0143876	0.0196939	0.0292903	0.0369938
a90	0.0119858	0.0150414	0.0246865	0.0522965	0.0668473	0.0874197	0.0775623	0.0875189	0.100223	0.112008	0.0895439	0.0658157	0.0401959	0.037849	0.0202848	0.0130717	0.0125818	0.0176723	0.0288271	0.0385678
a15	0.0129007	0.0160426	0.0280971	0.0531643	0.0698143	0.0844436	0.0715348	0.0790241	0.0908248	0.102922	0.0878487	0.0655492	0.0463779	0.0440641	0.0244647	0.016059	0.0153246	0.0198954	0.0303889	0.041259
a92	0.00297822	0.00341655	0.0078685	0.0240682	0.044532	0.0813796	0.072721	0.0893876	0.0939807	0.120218	0.12021	0.0871777	0.0496581	0.0337386	0.0156068	0.0124499	0.0128324	0.0214322	0.0414606	0.0648839
a34	0.00586667	0.00671607	0.0124251	0.0252066	0.0400754	0.0725982	0.0724072	0.0927487	0.108135	0.135007	0.12519	0.0877259	0.0508376	0.0321584	0.0166985	0.0126113	0.0119977	0.0164898	0.0298627	0.0452425
a21	0.00370396	0.00475798	0.00944605	0.0219091	0.0352346	0.0660443	0.0627789	0.078964	0.0982309	0.149919	0.137995	0.0923693	0.0527423	0.036796	0.0173763	0.0106738	0.010931	0.0179983	0.0363547	0.0557745
a5	0.00318648	0.00414897	0.00837972	0.0198586	0.0307878	0.0583261	0.061212	0.0792558	0.0983998	0.152004	0.147267	0.103682	0.0585185	0.0384427	0.0180024	0.0112396	0.0109134	0.0168571	0.0318433	0.0476753
