 	ils	sont	partis	il	y	a	trois	jours	</S>
a23	0.398035	0.210943	0.122108	0.0607318	0.0550598	0.040846	0.0273771	0.0332386	0.0516598
a99	0.276133	0.211442	0.167826	0.0883144	0.0873157	0.0594708	0.0367887	0.0307967	0.0419134
a20	0.172054	0.168425	0.159894	0.0982629	0.093448	0.0702826	0.0523967	0.0722498	0.112986
a73	0.433312	0.205234	0.145908	0.0675868	0.0408695	0.0276707	0.0147507	0.0226963	0.0419717
a44	0.376466	0.219424	0.195714	0.066759	0.0487088	0.0336699	0.0172614	0.0173975	0.0246
a58	0.308229	0.220881	0.180481	0.0628391	0.0525001	0.0432922	0.0336946	0.0383296	0.0597535
a82	0.214033	0.206103	0.184086	0.0724556	0.0664364	0.0577579	0.0521747	0.0579104	0.0890427
a38	0.148831	0.178907	0.205394	0.085586	0.0804196	0.0688877	0.0590737	0.070058	0.102843
a11	0.121979	0.134049	0.155691	0.0737799	0.0750943	0.0729521	0.0768348	0.110899	0.178722
a62	0.196003	0.199538	0.200834	0.077573	0.0722349	0.056179	0.0453554	0.0593501	0.0929337
a12	0.176172	0.174486	0.191006	0.0987155	0.0939255	0.0746594	0.0552426	0.0583076	0.0774848
a98	0.11438	0.109752	0.144691	0.130081	0.137004	0.118659	0.0858544	0.0745817	0.0849972
a71	0.121311	0.116063	0.13786	0.131994	0.147243	0.121181	0.0824847	0.065743	0.0761201
a9	0.0916712	0.09168	0.117551	0.113264	0.141361	0.131574	0.106523	0.102817	0.103558
a87	0.0404395	0.0482052	0.098671	0.13466	0.170341	0.175339	0.134804	0.0996364	0.0979027
a79	0.0352171	0.0387347	0.075283	0.13457	0.182432	0.198262	0.14559	0.0974002	0.0925104
a90	0.0331363	0.0277974	0.0548796	0.0855207	0.125451	0.151578	0.146053	0.150689	0.224895
a12	0.0286172	0.0260939	0.0570871	0.0970626	0.118052	0.152083	0.15719	0.173588	0.190225
a94	0.0392431	0.0331202	0.0549332	0.0789047	0.0977282	0.121517	0.151515	0.222292	0.200747
a24	0.0450096	0.0398079	0.0528919	0.0684174	0.096817	0.125031	0.146102	0.216951	0.208972
a98	0.0190725	0.0188511	0.0285172	0.0458531	0.0731948	0.107862	0.148894	0.272017	0.285738
a25	0.0254155	0.0241393	0.0313855	0.0429794	0.0586614	0.0902319	0.155357	0.260122	0.311708
a82	0.0058773	0.00706493	0.0128562	0.0235687	0.0368578	0.0712918	0.151194	0.291328	0.399962
a53	0.00245202	0.00346782	0.0101066	0.0303183	0.060596	0.118331	0.184258	0.249913	0.340557
a62	0.00840765	0.00654179	0.0142556	0.0289053	0.0498105	0.0885559	0.153742	0.255676	0.394105
a31	0.00934926	0.00987394	0.0155453	0.0225457	0.0354778	0.0622522	0.121905	0.287842	0.435209
a32	0.00617906	0.00641743	0.00826861	0.0115859	0.0210112	0.0424586	0.0936427	0.285704	0.524732
a75	0.00943924	0.0106384	0.0152577	0.0187069	0.028338	0.0506491	0.107528	0.27286	0.486583
a41	0.00610609	0.00601178	0.00970279	0.0158334	0.0196473	0.0354624	0.0964928	0.289684	0.521059
a94	0.002196	0.00253201	0.00440058	0.00915485	0.0144265	0.0298426	0.0849029	0.288829	0.563715
a24	0.0033741	0.00322881	0.00509801	0.00979734	0.0157543	0.0344444	0.0890761	0.275059	0.564168
a98	0.00347301	0.00332828	0.00485217	0.00801778	0.0127091	0.0277877	0.0814238	0.266592	0.591816
a71	0.00438232	0.0042599	0.00702166	0.0133357	0.0202415	0.0357484	0.0855792	0.274871	0.55456
a25	0.00261562	0.00263075	0.00426433	0.0080873	0.0131849	0.0300357	0.0798432	0.264991	0.594347
a87	0.00184249	0.00170559	0.00322323	0.00763082	0.0125106	0.0281435	0.0676682	0.235849	0.641427
</S>	0.00118134	0.000928887	0.00146688	0.0046536	0.008811	0.0229911	0.0690279	0.266448	0.624492
