 	il	ne	peut	pas	bien	respirer	</S>
a66	0.42411	0.263226	0.142447	0.0739528	0.0471131	0.0302692	0.0188817
a87	0.414979	0.225881	0.164803	0.0983208	0.0539387	0.0265484	0.0155295
a23	0.555566	0.263511	0.0842125	0.0328142	0.0226006	0.0179976	0.0232981
a79	0.389147	0.232688	0.117948	0.0592359	0.0576265	0.0564988	0.0868556
a90	0.33214	0.262085	0.160103	0.0941646	0.0573885	0.0410183	0.0531014
a92	0.252847	0.326098	0.242706	0.102381	0.0432212	0.0195867	0.0131604
a79	0.136365	0.228522	0.318987	0.188713	0.0771162	0.0313772	0.0189206
a56	0.109257	0.195858	0.331153	0.22955	0.0801494	0.0308507	0.023182
a25	0.157783	0.208544	0.267374	0.203898	0.0785268	0.0404717	0.0434027
a56	0.0905731	0.135416	0.224644	0.254322	0.130801	0.0760006	0.0882445
a75	0.196549	0.226354	0.23342	0.146084	0.0675573	0.0471912	0.0828453
a92	0.0843864	0.110099	0.166602	0.171415	0.159043	0.144314	0.16414
a25	0.0657113	0.0734217	0.127444	0.160694	0.170886	0.169531	0.232312
a76	0.0197737	0.0249649	0.058773	0.113715	0.188209	0.235234	0.359331
a75	0.0173119	0.0203177	0.0494273	0.0968995	0.171364	0.23955	0.40513
a92	0.00861135	0.00930983	0.0227167	0.0541612	0.131235	0.251318	0.522648
a37	0.00456243	0.00464515	0.0103019	0.0257329	0.0904305	0.246737	0.61759
a85	0.00457821	0.00353383	0.00455423	0.00986245	0.0525217	0.254144	0.670805
a47	0.00114431	0.000962334	0.00183966	0.00651696	0.0438705	0.241619	0.704048
a36	0.000997641	0.00077315	0.00175817	0.00778181	0.0479453	0.2175	0.723244
a2	0.0203597	0.0174087	0.0223282	0.034549	0.0876236	0.220224	0.597507
a57	0.2514	0.172938	0.0955322	0.0663874	0.0906817	0.132366	0.190695
a87	0.441765	0.245852	0.123069	0.0431681	0.0376333	0.0485525	0.0599596
a23	0.37878	0.256617	0.165037	0.0798753	0.0509134	0.0371145	0.0316627
a99	0.196197	0.093879	0.0553992	0.0432099	0.0865398	0.221895	0.30288
a38	0.0447166	0.0238646	0.0175413	0.0235743	0.0750367	0.221901	0.593366
</S>	0.0216019	0.0154082	0.0190454	0.039198	0.108239	0.231813	0.564695
