 	les	jeunes	d'	ongonza	pratiquent	la	pêche	au	filet	dans	le	ruisseau	vouma	pen-	dant	la	grande	saison	sèche	</S>
a66	0.148768	0.145176	0.139024	0.0974603	0.0710449	0.0669931	0.0755663	0.0608645	0.0466571	0.0514528	0.035175	0.0192935	0.00920972	0.00719648	0.00781561	0.0042615	0.00450672	0.00375848	0.00301414	0.00276127
a87	0.35405	0.16089	0.0658179	0.0441251	0.0632563	0.0424139	0.0409883	0.0389534	0.0220932	0.0255624	0.0217219	0.0126254	0.00874818	0.00928853	0.00860282	0.0116177	0.0192426	0.0204814	0.014983	0.0145379
a23	0.17118	0.0966206	0.0681349	0.0793757	0.0956286	0.0804076	0.0678691	0.0542774	0.0336881	0.0310546	0.0268601	0.0184658	0.0169053	0.0146947	0.0139759	0.0166003	0.0256238	0.0297507	0.0248973	0.033989
a97	0.117549	0.0685143	0.0493744	0.0701592	0.137647	0.105218	0.0847575	0.0628135	0.0336985	0.0320713	0.0269376	0.0196561	0.0186843	0.0160612	0.0140915	0.0168595	0.0272406	0.0292294	0.0273776	0.0420592
a87	0.118215	0.0932465	0.0835211	0.103235	0.131202	0.091658	0.0755888	0.0546381	0.0367103	0.0406319	0.0357746	0.0249374	0.0206942	0.0151713	0.0118139	0.0116943	0.0148687	0.0130671	0.0105852	0.012746
a40	0.123132	0.0902172	0.0725582	0.080378	0.11099	0.0869169	0.0711177	0.0586693	0.0406769	0.0443078	0.0392902	0.0281263	0.0248551	0.0203993	0.0161755	0.0162676	0.0225843	0.0212223	0.0157773	0.016338
a36	0.232944	0.197751	0.131708	0.0717787	0.0666938	0.0560454	0.0547573	0.0442545	0.0292206	0.0278299	0.0209023	0.0118912	0.00751626	0.00557208	0.00391338	0.00411471	0.00652566	0.0083324	0.00869209	0.00955627
a27	0.165887	0.181436	0.132398	0.115182	0.149053	0.0846053	0.0520303	0.0265642	0.014536	0.0138285	0.011286	0.00865051	0.00668401	0.00578499	0.0033714	0.0032408	0.00490656	0.00601928	0.00563761	0.00889803
a75	0.133441	0.14748	0.115271	0.105003	0.153887	0.095451	0.056288	0.0301778	0.0186927	0.0167073	0.0141839	0.0125845	0.0112873	0.0119195	0.00958894	0.00973393	0.0121484	0.0148624	0.0131127	0.018179
a12	0.0900503	0.103448	0.0951699	0.0983198	0.128466	0.0982656	0.0817042	0.0582825	0.0397801	0.0352811	0.025763	0.0196553	0.0164892	0.0160682	0.0111224	0.0111621	0.0141627	0.0168243	0.0156672	0.0243187
a96	0.0459393	0.0644805	0.0813987	0.116101	0.225584	0.166418	0.10727	0.054187	0.0249267	0.0209405	0.0139266	0.0110377	0.00930155	0.0102157	0.0102847	0.00682301	0.00675994	0.00733094	0.00691988	0.0101539
a18	0.0367046	0.0482724	0.0647032	0.101844	0.232321	0.181976	0.109934	0.0579718	0.0297945	0.0257867	0.0177688	0.0138418	0.0114766	0.0119581	0.0124278	0.00817175	0.00786656	0.00802044	0.00790693	0.0112536
a93	0.0183859	0.0249053	0.0442019	0.095532	0.193435	0.212064	0.131929	0.0699355	0.0342788	0.0299233	0.0208086	0.0157316	0.014723	0.0144608	0.0147949	0.0114023	0.0112198	0.0120589	0.0123443	0.0178649
a96	0.0202525	0.0244404	0.0410378	0.0844511	0.19686	0.202429	0.128048	0.0736967	0.0387534	0.0330411	0.022345	0.0177043	0.0144742	0.0161952	0.01694	0.0126068	0.0122985	0.0126097	0.0133653	0.0184502
a90	0.0101898	0.0125543	0.0248143	0.0625059	0.178492	0.2008	0.133852	0.0822602	0.0467047	0.0427853	0.0306696	0.0241307	0.0187061	0.020403	0.0215239	0.0151055	0.0145303	0.0151346	0.0181442	0.0266934
a56	0.00844908	0.0120972	0.0243716	0.0499081	0.112686	0.145136	0.127945	0.0928336	0.0637441	0.0572778	0.04309	0.0349201	0.0285742	0.0277227	0.0317113	0.0233852	0.0220159	0.0227241	0.0290148	0.0423932
a44	0.00886764	0.0114858	0.0224699	0.0438779	0.0875878	0.120726	0.119141	0.102332	0.0819025	0.0768716	0.0559832	0.0430774	0.0339292	0.0295392	0.0337721	0.0238955	0.0219946	0.0213713	0.0262197	0.0349558
a75	0.00494708	0.00595279	0.0119428	0.0266226	0.0537251	0.111519	0.120572	0.11691	0.0892595	0.0867363	0.0648745	0.0516699	0.0383046	0.0367231	0.0416299	0.0275402	0.0240348	0.0225304	0.0274974	0.0370072
a92	0.00203921	0.00242305	0.00475382	0.00904327	0.0187358	0.0480067	0.0714733	0.0889017	0.0811885	0.0821401	0.0697832	0.0676662	0.0673214	0.0599703	0.0693487	0.059787	0.0512609	0.0386961	0.0477886	0.0596722
a79	0.00143849	0.00168755	0.00335956	0.00660271	0.0119717	0.0344794	0.0582085	0.0888454	0.0934485	0.0950659	0.0790697	0.0713228	0.0704349	0.0605867	0.0725772	0.0662232	0.0556875	0.03802	0.0428116	0.0481586
a98	0.000968568	0.00110622	0.00217776	0.00466577	0.00881355	0.0265923	0.0463811	0.08	0.0908469	0.0954297	0.0807579	0.0750554	0.072049	0.0634049	0.0828605	0.0750332	0.0613609	0.0403316	0.0438193	0.0483455
