 	les	arbres	bordent	la	piste	</S>
a23	0.371797	0.30063	0.16663	0.0694296	0.0484998	0.0430138
a40	0.176235	0.160118	0.195775	0.119464	0.145868	0.202541
a15	0.153753	0.0940514	0.11329	0.144454	0.223454	0.270998
a44	0.328669	0.289062	0.142766	0.114604	0.0739254	0.0509735
a90	0.563142	0.269899	0.0710361	0.0368649	0.0289844	0.0300736
a15	0.481559	0.334799	0.0902194	0.0348663	0.028992	0.0295647
a98	0.394259	0.25815	0.124254	0.073276	0.0714365	0.0786239
a85	0.309067	0.263609	0.141686	0.0939955	0.0913606	0.100282
a36	0.278827	0.204748	0.142246	0.119765	0.11831	0.136104
a37	0.31033	0.367161	0.121769	0.0615219	0.0608692	0.078349
a75	0.219594	0.284075	0.181057	0.106445	0.0950845	0.113745
a76	0.0731093	0.0868755	0.153365	0.189054	0.227888	0.269708
a25	0.0330658	0.058297	0.13006	0.181067	0.26156	0.335949
a94	0.0465107	0.0689933	0.158359	0.196978	0.226911	0.302248
a84	0.0786305	0.107328	0.14122	0.18652	0.203154	0.283148
a75	0.0507493	0.0743911	0.0939432	0.144692	0.253952	0.382272
a21	0.0126736	0.023393	0.0642359	0.16545	0.291757	0.442491
a85	0.017363	0.0322381	0.0834772	0.204347	0.329534	0.333041
a79	0.00326032	0.00950268	0.0349518	0.112593	0.337521	0.502171
a2	0.00437181	0.0119826	0.0317721	0.109139	0.373019	0.469716
a4	0.00156298	0.00416525	0.0150133	0.0400427	0.241562	0.697654
a13	0.000912914	0.00246714	0.00906229	0.0307299	0.217895	0.738933
a9	0.00106236	0.00291785	0.0123328	0.0374741	0.22458	0.721633
a87	0.00229407	0.0066125	0.0323202	0.0745088	0.239781	0.644484
a23	0.111661	0.118221	0.140426	0.139585	0.197005	0.293102
a10	0.0157339	0.0238535	0.0726285	0.15471	0.309023	0.424051
a87	0.00265236	0.00484135	0.0235391	0.0812161	0.314337	0.573414
</S>	0.00534351	0.00751041	0.0255862	0.0793857	0.316711	0.565463
