 	de	petits	enfants	sont	en	train	de	jouer	au	foot-	ball	</S>
a66	0.0461249	0.05748	0.0504324	0.0687307	0.140977	0.209216	0.258568	0.126305	0.0261424	0.00889231	0.00437703	0.00275464
a87	0.272394	0.123046	0.0431171	0.04403	0.0788778	0.108831	0.128312	0.0811311	0.0358428	0.0402466	0.0257823	0.0183905
a23	0.180002	0.0781458	0.0527485	0.0819604	0.111403	0.145603	0.13807	0.108578	0.0380149	0.0304193	0.01753	0.0175249
a54	0.0993231	0.0399693	0.036735	0.0844487	0.104846	0.118166	0.10089	0.116109	0.0865015	0.0954654	0.0633721	0.0541734
a47	0.0935207	0.0735448	0.0350613	0.0376915	0.0673129	0.117687	0.182831	0.167018	0.10058	0.078872	0.029733	0.0161472
a85	0.0641258	0.0826379	0.0415184	0.0501094	0.0809578	0.123458	0.159004	0.152848	0.117226	0.0812358	0.0274314	0.019447
a92	0.0996068	0.0878193	0.0545056	0.0645323	0.0834619	0.0994548	0.132123	0.1458	0.129347	0.0712505	0.0200271	0.0120713
a98	0.0942181	0.0913899	0.058959	0.0613676	0.0749222	0.0896392	0.107355	0.117684	0.125992	0.0907885	0.0528308	0.0348527
a85	0.10416	0.12061	0.0813421	0.0786276	0.0805035	0.0797535	0.0803037	0.0875709	0.0796019	0.0821907	0.0630626	0.0622733
a6	0.0881023	0.108396	0.0826703	0.0797471	0.0809014	0.0770781	0.0676664	0.0587662	0.0583593	0.0695288	0.0883826	0.140402
a5	0.110809	0.100437	0.069825	0.0635939	0.0597398	0.0579495	0.0506547	0.0520428	0.0481756	0.0902301	0.119519	0.177024
a43	0.0759406	0.0805263	0.0719799	0.0712356	0.0700201	0.071545	0.0633764	0.0634777	0.0614689	0.0901486	0.110979	0.169302
a70	0.0510074	0.0676519	0.0874384	0.0937789	0.0914848	0.0894774	0.0745767	0.0640627	0.0517343	0.0587672	0.0899734	0.180047
a93	0.0163317	0.0241235	0.0517778	0.0796322	0.0882703	0.0975357	0.0763513	0.0736498	0.0698912	0.0647346	0.121645	0.236057
a90	0.0129954	0.0184323	0.0302596	0.0501771	0.0575986	0.0631021	0.0509462	0.0550045	0.058819	0.0725354	0.180019	0.350111
a98	0.00815602	0.0111653	0.0190074	0.0286118	0.0320616	0.0378031	0.0345687	0.0413431	0.0540709	0.0771475	0.228864	0.427201
a47	0.00283452	0.00432281	0.0102657	0.0156665	0.0194963	0.0238083	0.0210525	0.034995	0.0700051	0.0895368	0.25419	0.453826
a75	0.000588762	0.00101474	0.00297247	0.00427981	0.00511154	0.00658325	0.00666553	0.0135538	0.0539284	0.102526	0.278149	0.524626
a21	0.000956021	0.00130328	0.00323274	0.0037993	0.00404392	0.00523661	0.00623257	0.010522	0.0360041	0.0706659	0.235792	0.622212
a5	0.000767467	0.00101042	0.00166716	0.00178369	0.00198851	0.00289715	0.00412828	0.0069698	0.0217845	0.0535392	0.177381	0.726083
a18	0.000474102	0.000688685	0.0015032	0.00132756	0.00115805	0.0015379	0.0019663	0.00342628	0.0106222	0.0217208	0.126954	0.828621
a93	0.000544441	0.000661239	0.00116583	0.00117242	0.00121055	0.00190059	0.00220846	0.00396147	0.0112921	0.0415215	0.155933	0.778428
a70	0.000600884	0.00076917	0.00153442	0.00166823	0.00169835	0.00242219	0.00274834	0.00506294	0.011786	0.0391087	0.154863	0.777737
a13	0.000388718	0.00046086	0.000901914	0.00106557	0.0010564	0.00178974	0.00190015	0.00423872	0.0114792	0.0366247	0.161828	0.778266
a71	0.00681702	0.00748128	0.0100952	0.0111195	0.0115334	0.0234015	0.0232101	0.0387713	0.0750188	0.133842	0.222405	0.436305
a9	0.0594071	0.0553133	0.0493046	0.0562415	0.075384	0.140688	0.11031	0.0860051	0.0675154	0.0860239	0.0914589	0.122349
a97	0.10104	0.0695232	0.0630398	0.0895384	0.110184	0.141256	0.0987397	0.069818	0.0525344	0.0757457	0.0656955	0.0628854
a87	0.0824428	0.0611588	0.0636802	0.0784538	0.0822553	0.0968357	0.0735819	0.0564246	0.0466235	0.0754629	0.124677	0.158404
a23	0.0476227	0.0381202	0.044734	0.0566186	0.0622234	0.0780456	0.0609347	0.0500623	0.0478696	0.0807453	0.194953	0.23807
a99	0.0110199	0.00742105	0.00690569	0.00574998	0.00513697	0.00555146	0.00488318	0.00532441	0.0127163	0.0524544	0.211577	0.67126
a97	0.00769587	0.00532627	0.00712269	0.0118347	0.0152779	0.0213273	0.0165219	0.0186809	0.0236016	0.0679747	0.158353	0.646283
</S>	0.00704241	0.00520517	0.00912293	0.0185949	0.0214828	0.0254862	0.0155454	0.0149451	0.0195364	0.0675716	0.207309	0.588158
