 	j'	étends	le	filet	dans	l'	étang	</S>
a57	0.257569	0.16393	0.205575	0.169881	0.0926085	0.0562134	0.0332385	0.0209843
a83	0.221399	0.209873	0.207495	0.161946	0.0926332	0.0561332	0.0300507	0.0204693
a75	0.127053	0.167263	0.1845	0.187711	0.115326	0.0888812	0.0703584	0.0589072
a5	0.23807	0.167297	0.223077	0.152346	0.0885377	0.0553362	0.0402995	0.0350367
a75	0.276623	0.148063	0.218861	0.131535	0.0920058	0.0606618	0.0400728	0.032177
a85	0.25028	0.157609	0.204308	0.134841	0.0999497	0.0702968	0.0462124	0.0365027
a92	0.210751	0.180158	0.200711	0.126753	0.0962578	0.0713847	0.0577266	0.0562567
a79	0.118708	0.177247	0.186484	0.150666	0.124964	0.0931628	0.0705869	0.0781806
a90	0.118315	0.136504	0.16236	0.147069	0.142401	0.112753	0.0879334	0.0926662
a93	0.0864928	0.128521	0.150855	0.147896	0.152067	0.125186	0.0986822	0.1103
a4	0.0678919	0.103566	0.114238	0.125832	0.152264	0.157408	0.134118	0.144683
a11	0.0291251	0.0636523	0.0725305	0.10407	0.145391	0.181852	0.196383	0.206996
a21	0.00311943	0.00868691	0.0119151	0.0312901	0.0698322	0.153815	0.313315	0.408026
a5	0.00496303	0.0148911	0.0146666	0.0322013	0.0858071	0.17439	0.275	0.398081
a43	0.00230454	0.00750686	0.00771307	0.0177987	0.0548506	0.146948	0.295347	0.46753
a21	0.00068273	0.00331989	0.00364996	0.0100652	0.0296152	0.0940953	0.26847	0.590101
a47	0.00119672	0.00438822	0.00449695	0.0103514	0.0289507	0.0852298	0.231594	0.633792
a88	0.00190441	0.00729482	0.00724094	0.0164155	0.0422172	0.112376	0.265568	0.546983
a93	0.00107988	0.00484454	0.00610515	0.0174045	0.0400554	0.106407	0.289066	0.535037
a96	0.00116852	0.00425872	0.00511954	0.012974	0.0321686	0.0943655	0.29174	0.558205
a70	0.00153193	0.00728849	0.00869231	0.0230101	0.0435282	0.100994	0.267374	0.547581
a57	0.00150398	0.00626183	0.00885698	0.0208736	0.0387464	0.094256	0.270313	0.559188
a9	0.00361121	0.0159505	0.0191457	0.0409533	0.0728293	0.141193	0.272262	0.434055
a99	0.039808	0.0633055	0.0498376	0.0789627	0.0818212	0.112899	0.193688	0.379678
a87	0.0595858	0.0913489	0.0696332	0.106121	0.102492	0.129778	0.184481	0.25656
a23	0.0749444	0.10446	0.0828297	0.122053	0.1189	0.143995	0.166251	0.186566
a87	0.0258631	0.0484789	0.0534217	0.0909128	0.121701	0.198978	0.220584	0.24006
</S>	0.0084688	0.034995	0.0406618	0.0985646	0.156653	0.21963	0.20544	0.235587
