 	on	a	tué	le	python	sur	le	chemin	qui	mène	au	ruisseau	</S>
a66	0.177198	0.143136	0.115771	0.100235	0.11253	0.142889	0.115492	0.0523616	0.0219734	0.00895906	0.00406241	0.00303187	0.00236119
a87	0.279809	0.20274	0.155153	0.0971228	0.0688729	0.0756641	0.0486241	0.0213696	0.0101242	0.00679849	0.0100796	0.0111282	0.0125145
a23	0.254555	0.160523	0.123025	0.101276	0.0937491	0.0762176	0.0615368	0.0397898	0.0295206	0.0205285	0.0150694	0.0107684	0.0134395
a40	0.233183	0.172139	0.123389	0.0902401	0.064589	0.0575181	0.0485706	0.0358377	0.0310248	0.0311058	0.039107	0.0315188	0.0417777
a15	0.173574	0.142775	0.132821	0.107763	0.1007	0.111113	0.0830564	0.0593134	0.0353925	0.0201692	0.0148732	0.0105736	0.00787591
a79	0.137571	0.15169	0.143116	0.100136	0.0743583	0.0941533	0.0712529	0.0644232	0.053786	0.040983	0.0344216	0.0214632	0.0126455
a56	0.0954615	0.111719	0.116817	0.101023	0.0855751	0.117796	0.0923964	0.0825699	0.0734164	0.05582	0.0356973	0.0200397	0.0116691
a96	0.107156	0.105267	0.109335	0.109055	0.0962477	0.12758	0.100472	0.0676672	0.0520995	0.0551923	0.0336636	0.0206187	0.015646
a90	0.0981405	0.0912838	0.0960417	0.105762	0.0941804	0.11964	0.0997985	0.0686095	0.0531386	0.0615268	0.0457192	0.0354639	0.0306946
a56	0.0694954	0.0743739	0.0910407	0.110562	0.0939151	0.114041	0.0955168	0.0780356	0.065489	0.0627151	0.0497366	0.0479652	0.0471139
a90	0.0588921	0.050584	0.0622072	0.097513	0.102223	0.116122	0.10386	0.0768213	0.059168	0.066138	0.0610349	0.0735374	0.0718993
a69	0.0534236	0.049848	0.0605466	0.0937087	0.0931752	0.120813	0.108269	0.085572	0.0674853	0.0699497	0.0584658	0.0702524	0.0684904
a53	0.036828	0.0339677	0.038727	0.0672825	0.086524	0.116514	0.115705	0.101912	0.0850543	0.0847158	0.0647857	0.0829875	0.0849962
a90	0.0465748	0.0385385	0.0371528	0.0574748	0.0855104	0.104821	0.109641	0.104084	0.0917645	0.0911148	0.0659007	0.0819119	0.0855108
a25	0.0207778	0.0174338	0.0160074	0.0260459	0.0432781	0.0782926	0.102132	0.116501	0.12424	0.133874	0.0931871	0.110148	0.118083
a21	0.00624851	0.00603991	0.00657624	0.0130079	0.0253297	0.0536315	0.075318	0.0915825	0.103846	0.156982	0.123839	0.158882	0.178718
a75	0.0111796	0.00997713	0.00835887	0.0107623	0.0152628	0.0250715	0.0383698	0.0643049	0.107711	0.172795	0.146145	0.177114	0.212947
a98	0.00714039	0.00587534	0.00468146	0.00643047	0.00909346	0.0169938	0.0279037	0.0508382	0.0937082	0.16731	0.178552	0.203326	0.228146
a25	0.00434976	0.00381671	0.00350079	0.00607677	0.0083779	0.0191828	0.0312631	0.0520823	0.0845735	0.152419	0.180015	0.205395	0.248947
a69	0.00277856	0.00233196	0.00233563	0.00472257	0.00898088	0.0189711	0.0293216	0.0470065	0.0629883	0.115649	0.161775	0.215806	0.327333
a94	0.00828525	0.00698148	0.00522426	0.00581915	0.00795879	0.00861847	0.0104937	0.0165518	0.0248417	0.0505459	0.107776	0.241102	0.505801
a12	0.00640538	0.00488391	0.00376957	0.00427075	0.00688209	0.0070607	0.00729917	0.012709	0.0186682	0.0414337	0.104303	0.264625	0.51769
a43	0.00288489	0.00225499	0.00198891	0.00245344	0.00308919	0.00353511	0.00370918	0.00618899	0.0106935	0.0252933	0.0923838	0.272869	0.572656
a0	0.00259	0.00216193	0.002115	0.00249782	0.0037416	0.00475382	0.00483979	0.00723037	0.0112801	0.0324618	0.10879	0.272437	0.545101
a24	0.00363162	0.00310598	0.00379659	0.00454916	0.0072205	0.00972178	0.00972795	0.012398	0.0174544	0.0423541	0.107155	0.258065	0.52082
a9	0.0122136	0.00862184	0.00816442	0.00897253	0.0163811	0.0217209	0.0235861	0.0313542	0.0396188	0.0642954	0.110322	0.224501	0.430249
a10	0.118639	0.074821	0.0556668	0.0474149	0.0707881	0.0732803	0.0689654	0.0656151	0.0510813	0.0431421	0.0552075	0.0974445	0.177934
a87	0.151638	0.10946	0.0829064	0.0761097	0.0925013	0.10315	0.103237	0.0830883	0.0617874	0.0368175	0.0285328	0.029888	0.0408845
a23	0.0929573	0.075594	0.0659436	0.0666626	0.0900397	0.104683	0.112712	0.103169	0.0897103	0.0598654	0.0493615	0.042389	0.0469117
a99	0.0527874	0.0335663	0.0205728	0.0126613	0.0121365	0.0111792	0.01066	0.0132287	0.0184801	0.0359982	0.0945789	0.185707	0.498444
a97	0.0310683	0.0185544	0.0121923	0.00945372	0.0111391	0.0142963	0.0150712	0.0172181	0.0218435	0.0519623	0.120958	0.216665	0.459578
a99	0.0088834	0.00519365	0.00404667	0.00407231	0.00485443	0.00599865	0.00590138	0.00631996	0.00946627	0.0309427	0.0836631	0.217995	0.612663
</S>	0.0176078	0.0122529	0.0114095	0.0121419	0.0134533	0.017332	0.0159178	0.0173769	0.0224495	0.0505633	0.110382	0.205117	0.493995
