 	il	est	parti	après	la	tornade	</S>
a23	0.319017	0.202816	0.148674	0.107673	0.0806568	0.0805909	0.0605731
a87	0.34287	0.217007	0.153259	0.106833	0.0614215	0.0542187	0.0643917
a23	0.217096	0.196933	0.159503	0.137289	0.0981515	0.0893485	0.101678
a87	0.198653	0.15212	0.11735	0.0949082	0.0723556	0.156569	0.208045
a23	0.212961	0.158891	0.119354	0.104047	0.0736358	0.128238	0.202874
a79	0.231763	0.165904	0.108733	0.0750613	0.0578001	0.15041	0.210327
a20	0.419207	0.247168	0.144416	0.0770499	0.0469438	0.0356168	0.0295987
a73	0.363044	0.271035	0.18878	0.100689	0.0495651	0.0162897	0.0105974
a84	0.292052	0.243498	0.204637	0.138322	0.08029	0.0254113	0.0157899
a40	0.221145	0.180022	0.175166	0.201247	0.132702	0.0489503	0.0407682
a73	0.27298	0.224396	0.176423	0.133945	0.101759	0.0509008	0.0395965
a7	0.293292	0.24248	0.194166	0.133986	0.0815386	0.03312	0.0214177
a26	0.208517	0.214663	0.200928	0.186784	0.121231	0.0408591	0.0270166
a11	0.171806	0.19223	0.19373	0.205355	0.138082	0.0542261	0.0445702
a75	0.158474	0.177709	0.176009	0.204748	0.157215	0.0674059	0.058439
a12	0.110959	0.127362	0.134215	0.197181	0.175264	0.12333	0.131689
a88	0.0949003	0.0978244	0.0991022	0.157327	0.182045	0.180402	0.188399
a71	0.103317	0.102497	0.0943425	0.124007	0.148546	0.193898	0.233393
a9	0.124781	0.113544	0.0909441	0.109449	0.144584	0.196642	0.220055
a10	0.100914	0.101764	0.0959684	0.137798	0.171706	0.182938	0.208911
a87	0.0858981	0.0861395	0.079162	0.119845	0.165891	0.20354	0.259524
a23	0.0681815	0.0659705	0.0786277	0.136229	0.175531	0.204375	0.271085
a20	0.0415594	0.037707	0.0439978	0.0807156	0.123177	0.23767	0.435173
a94	0.0354081	0.0310377	0.0288321	0.0576959	0.0947128	0.227479	0.524834
a76	0.0389603	0.0396274	0.0392389	0.0609386	0.0896527	0.229943	0.501639
a94	0.0307363	0.0302367	0.0299908	0.059379	0.101049	0.244215	0.504393
a76	0.0205657	0.0178128	0.0155146	0.0307977	0.0630301	0.229849	0.622431
a73	0.0181332	0.0151187	0.0129524	0.0235998	0.0513507	0.231494	0.647351
a94	0.0121372	0.0106245	0.00975524	0.0178911	0.0387073	0.216654	0.69423
a76	0.011075	0.00859472	0.00682174	0.0130118	0.0261187	0.184455	0.749923
a73	0.0247755	0.0183035	0.0132998	0.020673	0.0342816	0.179153	0.709513
a84	0.00487374	0.00381202	0.00350825	0.00887933	0.0202309	0.179045	0.77965
a57	0.00485643	0.00386882	0.00383945	0.00805251	0.0216646	0.153138	0.80458
a87	0.00985362	0.00589932	0.00506968	0.00764558	0.0205609	0.184255	0.766716
</S>	0.0180471	0.00831089	0.00693314	0.0116725	0.0325984	0.236533	0.685905
