 	ils	se	sont	brouillés	</S>
a97	0.422348	0.186923	0.136824	0.128625	0.12528
a40	0.294377	0.182881	0.169175	0.175701	0.177865
a30	0.187531	0.133061	0.144502	0.22122	0.313685
a73	0.405265	0.220116	0.148846	0.125694	0.100078
a35	0.499572	0.302009	0.115321	0.0520062	0.0310927
a26	0.445003	0.283622	0.146073	0.0778152	0.0474866
a75	0.318991	0.256594	0.182739	0.139471	0.102206
a41	0.263389	0.232613	0.187939	0.175477	0.140583
a94	0.146856	0.176222	0.212168	0.246272	0.218482
a11	0.100049	0.146989	0.2242	0.292869	0.235893
a25	0.0834945	0.125186	0.198346	0.309028	0.283946
a94	0.0587817	0.0991778	0.18288	0.33077	0.328391
a11	0.0333167	0.0586843	0.139514	0.343672	0.424813
a75	0.0184354	0.0276501	0.0643522	0.252966	0.636597
a98	0.0111377	0.0226205	0.0704808	0.279611	0.61615
a73	0.0114744	0.0234731	0.0724191	0.282165	0.610469
a84	0.0108739	0.0186061	0.0500572	0.242759	0.677703
a87	0.0062076	0.00948067	0.0256847	0.166174	0.792453
</S>	0.0124211	0.0185122	0.0620834	0.256135	0.650848
