 	j'	ai	vu	un	morceau	de	manioc	déjà	endurci	dans	le	sac	</S>
a66	0.161877	0.106699	0.0759824	0.0678245	0.063158	0.0630378	0.123512	0.203366	0.085079	0.0219875	0.0115852	0.00827638	0.00761484
a87	0.274943	0.184099	0.144707	0.0839804	0.0592883	0.0298593	0.0325238	0.0579988	0.0375861	0.0213093	0.0221963	0.0235991	0.0279104
a23	0.277394	0.186213	0.124368	0.084443	0.0726219	0.0498843	0.047574	0.042509	0.0274135	0.0218803	0.020225	0.0191086	0.0263645
a97	0.285212	0.249241	0.136595	0.0842916	0.0675338	0.0335318	0.0282379	0.0272779	0.0173143	0.0131022	0.0161295	0.0164926	0.0250409
a99	0.279469	0.196362	0.117506	0.0950887	0.0886017	0.0498253	0.0467289	0.0506532	0.0273791	0.0134486	0.0122927	0.0103183	0.0123258
a18	0.301926	0.181399	0.111227	0.102856	0.0935822	0.0395351	0.0331757	0.0431023	0.0193483	0.0165647	0.0172105	0.0167238	0.0233497
a50	0.216788	0.153234	0.127473	0.126522	0.107986	0.0595209	0.0494138	0.0693578	0.0356487	0.0193874	0.0143233	0.00963105	0.010713
a88	0.102136	0.114115	0.120924	0.134985	0.145368	0.112908	0.0753442	0.076063	0.0570499	0.0257681	0.016962	0.00957699	0.00880058
a9	0.0671581	0.0931671	0.115073	0.132987	0.151748	0.133333	0.0884326	0.0774068	0.0659452	0.0314227	0.0208856	0.0118957	0.0105452
a38	0.0781233	0.094524	0.115118	0.123828	0.128323	0.11563	0.0811041	0.0751019	0.0684824	0.0419006	0.0315199	0.0228826	0.0234624
a21	0.0651179	0.073841	0.108068	0.120951	0.120971	0.117248	0.0867971	0.0667034	0.06123	0.0534365	0.047689	0.0361373	0.0418095
a12	0.0562316	0.0586426	0.0945234	0.128464	0.158629	0.155077	0.117687	0.0953652	0.0705796	0.0276447	0.0168487	0.009511	0.010796
a18	0.0373736	0.0342295	0.0578937	0.0964133	0.145177	0.165476	0.155644	0.127931	0.10108	0.0334617	0.0198316	0.0117146	0.0137735
a93	0.0200565	0.0193363	0.0336711	0.0629143	0.11129	0.14318	0.16013	0.122324	0.140093	0.0766518	0.0458849	0.0300827	0.0343862
a34	0.0302721	0.0256378	0.0404296	0.0685555	0.104774	0.145975	0.160402	0.1377	0.148499	0.0572881	0.0321788	0.0213294	0.0269603
a62	0.0171254	0.0142029	0.0225525	0.0436408	0.0802589	0.137104	0.187476	0.166772	0.172243	0.0673808	0.0370443	0.024993	0.0292066
a21	0.0100578	0.00796036	0.0119777	0.0225872	0.0463551	0.103345	0.193223	0.181689	0.195716	0.0962979	0.0548499	0.036464	0.0394776
a61	0.00632349	0.00453909	0.00689001	0.0123149	0.0248662	0.0678298	0.148577	0.143476	0.203276	0.152162	0.0991076	0.0645783	0.0660594
a18	0.00544286	0.00406493	0.00631097	0.0114733	0.0238204	0.0662943	0.145286	0.135809	0.185687	0.158427	0.114816	0.0737265	0.0688422
a93	0.00511953	0.00345041	0.00562068	0.00922472	0.014946	0.0289365	0.0930738	0.0835929	0.135377	0.15495	0.154949	0.150615	0.160145
a56	0.00484596	0.00353139	0.00528771	0.00904383	0.0164025	0.0355213	0.107049	0.0981655	0.119344	0.194251	0.166892	0.109977	0.129689
a43	0.00231403	0.00141353	0.00211831	0.00337475	0.00576969	0.0140686	0.0452334	0.0447442	0.0798106	0.224801	0.240683	0.169778	0.165891
a75	0.00124308	0.000734918	0.00113275	0.00171548	0.00267134	0.00506328	0.0147666	0.0119128	0.0289689	0.130998	0.216441	0.226377	0.357974
a92	0.000206479	0.00014369	0.000213498	0.000334612	0.000645502	0.00155338	0.00511932	0.00394739	0.0157473	0.127204	0.211126	0.239597	0.394162
a36	0.000161625	0.000105315	0.000164414	0.000253063	0.000457774	0.00113708	0.00409677	0.00294474	0.00942274	0.0939079	0.214128	0.277821	0.395399
a12	0.000384401	0.000248607	0.000329456	0.000424682	0.000636851	0.000971624	0.00198613	0.00136821	0.00318396	0.0351191	0.112448	0.222937	0.619962
a18	0.000181805	0.00010631	0.000144422	0.00018313	0.000225225	0.000395554	0.000970783	0.000724188	0.00333852	0.037823	0.138355	0.282726	0.534826
a71	0.00034366	0.000220931	0.000267923	0.00032401	0.000428384	0.000612268	0.0013853	0.000994141	0.00251897	0.0283245	0.0995764	0.247394	0.61761
a9	0.00273115	0.00177437	0.00199499	0.0021396	0.00241606	0.00334156	0.00554576	0.0040811	0.00758197	0.0460332	0.116409	0.276908	0.529044
a87	0.0395246	0.0217277	0.0219231	0.0200292	0.0200567	0.0261317	0.0375181	0.0323909	0.0393321	0.0969593	0.142105	0.210088	0.292214
a23	0.173903	0.0964661	0.0718706	0.0571635	0.053279	0.0620471	0.0792726	0.0732189	0.0606121	0.0692281	0.0718163	0.0667487	0.0643743
a87	0.0590373	0.0360344	0.0247273	0.0139707	0.0133377	0.0185993	0.0245709	0.0192631	0.0247137	0.120137	0.200029	0.205156	0.240424
a23	0.0134624	0.00858684	0.00689249	0.00490325	0.00576417	0.00959872	0.0175419	0.0119747	0.0218328	0.103338	0.187797	0.243695	0.364613
a87	0.0343374	0.0244744	0.0188867	0.0135199	0.0152892	0.0231103	0.0387589	0.0283819	0.0374748	0.131213	0.200864	0.19948	0.23421
</S>	0.00817281	0.00626983	0.0056473	0.00446514	0.00549874	0.00965524	0.0189234	0.0129346	0.0234352	0.105935	0.189934	0.238353	0.370776
