 	la	manière	dont	elle	m'	a	demandé	était	mauvaise	</S>
a10	0.238983	0.160603	0.095047	0.125876	0.16078	0.123237	0.0525063	0.0177192	0.0126988	0.01255
a79	0.391103	0.255	0.131915	0.054662	0.0353524	0.0264452	0.0183882	0.0186401	0.0284051	0.0400897
a47	0.209974	0.245236	0.230686	0.108267	0.0484866	0.0359823	0.0239795	0.0254964	0.0292893	0.0426025
a83	0.41157	0.270269	0.177865	0.0468453	0.0198281	0.0126303	0.0132108	0.0125953	0.0149786	0.0202072
a66	0.458856	0.309434	0.154224	0.0245686	0.00870071	0.00382514	0.00548662	0.00778522	0.0115259	0.0155938
a34	0.326593	0.318235	0.222132	0.042257	0.016064	0.00981437	0.0136041	0.0158393	0.0167887	0.0186721
a93	0.297418	0.289133	0.234604	0.0656546	0.0317507	0.0161651	0.0177431	0.0179824	0.0158821	0.0136659
a34	0.195546	0.230614	0.240212	0.108727	0.0532187	0.0291588	0.0354366	0.0398298	0.036654	0.030603
a21	0.135118	0.170324	0.216483	0.148749	0.0916049	0.0484802	0.0517117	0.0529291	0.0455421	0.039058
a75	0.154942	0.195219	0.230104	0.145689	0.100392	0.0565811	0.0398976	0.0268993	0.0254352	0.0248421
a96	0.0601392	0.0904543	0.13509	0.114777	0.100316	0.0938535	0.105367	0.0847149	0.0970921	0.118196
a34	0.075885	0.0954016	0.126617	0.198128	0.171112	0.101253	0.073036	0.0460144	0.0494994	0.0630531
a93	0.0593531	0.075661	0.104201	0.190545	0.17469	0.120783	0.0938396	0.0587061	0.0575589	0.0646615
a90	0.0543965	0.0681634	0.0846881	0.167779	0.174369	0.135418	0.106674	0.0640561	0.0667451	0.0777119
a25	0.0432665	0.0536415	0.0630813	0.1382	0.17629	0.152063	0.117157	0.0681944	0.0832027	0.104903
a56	0.0313142	0.0427097	0.0552345	0.142464	0.210856	0.190336	0.116404	0.0549663	0.0664722	0.0892433
a96	0.0352495	0.0447649	0.0460712	0.0886241	0.142822	0.161349	0.14935	0.0853301	0.105021	0.141418
a21	0.0219702	0.0286888	0.0309217	0.0666591	0.110484	0.147793	0.164382	0.106226	0.141773	0.181103
a66	0.0517547	0.0599803	0.0519185	0.0811841	0.127598	0.163234	0.159509	0.0929781	0.099178	0.112666
a62	0.0117398	0.0156109	0.0186183	0.043613	0.0651536	0.104072	0.166479	0.121391	0.196264	0.257058
a47	0.0164296	0.0202511	0.0199903	0.0393948	0.0633963	0.105944	0.188383	0.149506	0.202464	0.19424
a83	0.00859575	0.0113973	0.0137802	0.0327772	0.050011	0.0832071	0.16913	0.150112	0.226861	0.254128
a13	0.00732956	0.00836599	0.00846071	0.0191184	0.0289942	0.0496215	0.110502	0.156984	0.295944	0.31468
a62	0.00527456	0.00580486	0.00653139	0.0149199	0.021082	0.0366085	0.0954606	0.144277	0.298712	0.371329
a83	0.00507966	0.00574122	0.00576918	0.0112277	0.0162876	0.0297585	0.0810433	0.149706	0.339413	0.355974
a9	0.00315518	0.00319201	0.00327379	0.00684798	0.0106449	0.0219266	0.0698654	0.133741	0.321167	0.426185
a87	0.00820327	0.00829711	0.00842813	0.0150866	0.0238756	0.0478587	0.118346	0.135925	0.281112	0.352867
a23	0.037188	0.0325902	0.0279219	0.0436071	0.0662605	0.104806	0.152253	0.155646	0.193674	0.186054
a87	0.00660078	0.00355134	0.00326092	0.00607224	0.0111395	0.0307009	0.0922913	0.244566	0.288565	0.313252
a23	0.00282512	0.00190534	0.0023337	0.00728925	0.0131948	0.0324617	0.0885328	0.196674	0.279187	0.375597
a99	0.00426318	0.00288808	0.00356613	0.0093387	0.0146305	0.0401786	0.099739	0.224917	0.272524	0.327955
a87	0.000763646	0.000724756	0.00130164	0.00391852	0.00631405	0.0219856	0.0857184	0.19419	0.298036	0.387048
</S>	0.000808689	0.00082772	0.00139869	0.00487543	0.00992885	0.0298824	0.0780478	0.153449	0.272867	0.447915
