 	c'	est	ainsi	</S>
a23	0.408106	0.26402	0.211111	0.116763
a87	0.390605	0.253322	0.215695	0.140378
a23	0.373629	0.278885	0.224629	0.122857
a87	0.370878	0.24898	0.261817	0.118326
a79	0.243468	0.206135	0.331339	0.219058
a41	0.242924	0.209882	0.346019	0.201175
a32	0.327977	0.251362	0.265406	0.155256
a24	0.250126	0.23737	0.296085	0.216419
a71	0.166067	0.218254	0.321737	0.293941
a9	0.0958112	0.177755	0.32528	0.401154
a38	0.0787613	0.161052	0.312988	0.447199
a35	0.0710058	0.141427	0.292175	0.495392
a94	0.0614411	0.125728	0.221715	0.591116
a13	0.0416592	0.0975539	0.210012	0.650775
a99	0.0461479	0.104446	0.231701	0.617706
a87	0.0558152	0.113651	0.241504	0.58903
</S>	0.109938	0.17375	0.205365	0.510947
