 	jésus	est	né	à	bethléhem	</S>
a23	0.238432	0.214775	0.303576	0.149673	0.0587845	0.0347591
a10	0.610686	0.115948	0.107085	0.0781824	0.0493949	0.0387039
a9	0.501783	0.150761	0.112109	0.0869657	0.0721083	0.076273
a83	0.459699	0.19353	0.150053	0.0789878	0.0573675	0.0603631
a11	0.400165	0.220975	0.189609	0.0879633	0.0563514	0.0449365
a75	0.490933	0.29372	0.141421	0.0421147	0.0204409	0.0113705
a61	0.426615	0.265946	0.176224	0.063884	0.0399631	0.0273679
a0	0.392851	0.322483	0.184773	0.0511507	0.0286135	0.0201287
a75	0.28508	0.323805	0.218317	0.0845058	0.0493434	0.0389485
a73	0.292633	0.324974	0.195549	0.0813074	0.0613294	0.0442079
a44	0.246523	0.29248	0.216398	0.108139	0.0809652	0.0554944
a90	0.202348	0.300413	0.236969	0.126878	0.0795531	0.0538389
a25	0.158894	0.249993	0.217378	0.146263	0.129066	0.0984052
a44	0.110355	0.192323	0.220009	0.196254	0.171124	0.109936
a54	0.107775	0.173557	0.219695	0.235436	0.165962	0.0975757
a73	0.043559	0.061489	0.101612	0.15867	0.282304	0.352365
a84	0.0293005	0.0452909	0.0985291	0.214964	0.312258	0.299658
a20	0.0393038	0.047149	0.0691791	0.208548	0.344216	0.291605
a90	0.0452584	0.0527136	0.0939409	0.146644	0.26688	0.394563
a57	0.0276891	0.0370944	0.0792737	0.157148	0.290706	0.408089
a75	0.0101267	0.012813	0.0293637	0.110142	0.347105	0.49045
a18	0.0172046	0.0191914	0.0526751	0.136686	0.316997	0.457246
a27	0.0102164	0.0115891	0.0280818	0.0907961	0.307229	0.552087
a75	0.00564023	0.00417364	0.00767	0.0486897	0.251866	0.68196
a21	0.0121536	0.0118998	0.0338452	0.11262	0.319405	0.510076
a12	0.0201747	0.0234257	0.0420347	0.110383	0.278067	0.525915
a21	0.00982339	0.00976403	0.0191323	0.0616454	0.231057	0.668577
a85	0.0148842	0.0178021	0.0316016	0.0894362	0.261614	0.584662
a37	0.00468501	0.00444077	0.0126301	0.0450965	0.209767	0.72338
a38	0.00345721	0.00346446	0.00900798	0.0350973	0.186502	0.762471
a9	0.0020562	0.0014711	0.00368853	0.01885	0.14392	0.830014
a87	0.00421124	0.00189744	0.00391865	0.0287946	0.173889	0.787289
a23	0.0490015	0.0167718	0.0254678	0.0817474	0.220913	0.606099
a87	0.00877577	0.00269316	0.00589172	0.033759	0.182607	0.766273
</S>	0.013217	0.00615629	0.012689	0.0554436	0.19607	0.716425
