 	le	feu	est	attisé	</S>
a66	0.412548	0.261948	0.132482	0.128994	0.0640277
a87	0.466952	0.343197	0.128956	0.0488825	0.0120126
a23	0.570499	0.303251	0.0900566	0.027579	0.008614
a83	0.531682	0.294522	0.0916661	0.0485333	0.0335967
a61	0.357346	0.257733	0.104405	0.163833	0.116683
a12	0.347032	0.319923	0.211709	0.0863162	0.0350199
a5	0.257404	0.283891	0.267964	0.151241	0.0395002
a12	0.185919	0.250986	0.325252	0.179604	0.0582394
a18	0.162286	0.239461	0.345912	0.175867	0.0764751
a31	0.0854054	0.104504	0.214049	0.370589	0.225452
a62	0.109804	0.154474	0.333821	0.250231	0.151669
a83	0.0679937	0.0885884	0.266786	0.327122	0.249509
a38	0.0608585	0.0754146	0.23017	0.348228	0.285329
a90	0.0385496	0.0405945	0.141713	0.372133	0.407011
a15	0.0176415	0.014418	0.0448098	0.253784	0.669346
a69	0.0098459	0.00727059	0.0187433	0.144121	0.82002
a58	0.00460482	0.00341089	0.00874944	0.119573	0.863662
a53	0.0279237	0.0149128	0.0210977	0.102786	0.83328
a20	0.00845175	0.00507014	0.0108462	0.0895941	0.886038
a7	0.00264456	0.00194096	0.00543048	0.0677827	0.922201
a84	0.020603	0.0119144	0.0217675	0.0873516	0.858363
a87	0.20599	0.111544	0.124171	0.145803	0.412492
a23	0.491633	0.225505	0.152285	0.0566191	0.0739576
a97	0.387616	0.220023	0.152851	0.0916361	0.147874
a87	0.146902	0.0740129	0.0665165	0.140701	0.571868
a23	0.220536	0.119543	0.0968165	0.138192	0.424913
a87	0.160501	0.121155	0.147075	0.201137	0.370133
a23	0.131191	0.0937739	0.1196	0.195184	0.46025
</S>	0.142879	0.12418	0.163504	0.20924	0.360198
