 	le	chien	a	attrapé	l'	os	qu'	a	jeté	son	maître	</S>
a23	0.277462	0.16088	0.0886461	0.0614781	0.0629639	0.0606437	0.0732024	0.0661811	0.0502889	0.0308689	0.0299648	0.0374208
a99	0.311586	0.185545	0.105922	0.077201	0.0682715	0.0518101	0.0403285	0.0309649	0.0241585	0.0230203	0.0279917	0.0532006
a13	0.166453	0.142223	0.12116	0.09762	0.0791531	0.0624799	0.046819	0.0409878	0.0344047	0.043241	0.0571666	0.108293
a38	0.295623	0.247629	0.17162	0.0842355	0.0470492	0.0236046	0.0144976	0.013909	0.0145886	0.0246403	0.0285017	0.034102
a20	0.373897	0.261806	0.167871	0.086541	0.0428824	0.0155851	0.0084567	0.00828155	0.00748597	0.00869517	0.0109651	0.00753321
a73	0.251273	0.202366	0.189266	0.142328	0.0845698	0.0358205	0.020427	0.0154007	0.0128676	0.0150688	0.0163786	0.0142344
a35	0.160051	0.162825	0.190639	0.172715	0.116308	0.0581979	0.0353156	0.0272431	0.0229695	0.0231009	0.0165246	0.0141107
a41	0.12998	0.14138	0.168755	0.168033	0.134362	0.0814609	0.0512778	0.0385915	0.030031	0.02718	0.0166587	0.0122908
a35	0.120528	0.140491	0.164987	0.159894	0.131664	0.077873	0.0556209	0.0469556	0.0382525	0.033927	0.0178343	0.0119723
a88	0.0921075	0.120806	0.155551	0.16702	0.147877	0.0895985	0.0666778	0.0510876	0.038749	0.0341908	0.0203835	0.015951
a71	0.058052	0.0856652	0.131042	0.165042	0.170317	0.110796	0.0874202	0.0614144	0.043443	0.0385121	0.0252783	0.0230179
a99	0.0449104	0.0621145	0.100309	0.144686	0.168104	0.13315	0.110393	0.0764287	0.0539414	0.0491549	0.02732	0.0294888
a62	0.0444573	0.0595298	0.0963252	0.136594	0.155577	0.123675	0.10575	0.0824086	0.0627462	0.0652013	0.0356342	0.0321012
a41	0.046112	0.0570827	0.0844108	0.12065	0.148453	0.118287	0.109099	0.0915231	0.0764978	0.0739434	0.0429851	0.0309569
a27	0.0531873	0.0592738	0.0778405	0.100612	0.12394	0.117465	0.131161	0.109034	0.0722034	0.0616008	0.0400432	0.0536386
a62	0.0306029	0.0350516	0.0523751	0.0784013	0.0969236	0.106331	0.140498	0.13332	0.105218	0.109796	0.0563195	0.0551641
a47	0.0378324	0.0420477	0.0584926	0.0858809	0.107697	0.101669	0.122897	0.111168	0.0982405	0.100544	0.084568	0.0489636
a96	0.0546445	0.0563579	0.0649064	0.0767838	0.0800957	0.0723445	0.0974503	0.0959633	0.0947502	0.121799	0.115664	0.0692404
a12	0.0501572	0.0500593	0.061198	0.0773841	0.0783211	0.0660992	0.0852827	0.0840165	0.0839649	0.13087	0.144625	0.0880223
a31	0.0551488	0.0525254	0.0618997	0.0717733	0.0629214	0.0490344	0.0681898	0.0752227	0.0850242	0.143527	0.153631	0.121103
a43	0.0471389	0.0439142	0.0537307	0.070404	0.0686602	0.0586872	0.0796351	0.0812476	0.0857808	0.138055	0.160621	0.112125
a21	0.0351284	0.0340623	0.0465829	0.0681582	0.0698942	0.0600657	0.0794261	0.0799222	0.080886	0.148938	0.168231	0.128705
a47	0.0491901	0.0457826	0.0595579	0.0737389	0.0631888	0.0492644	0.0604892	0.066209	0.074003	0.141317	0.159839	0.157421
a21	0.0258668	0.0250553	0.0349062	0.0495099	0.048933	0.0428657	0.0621029	0.0687209	0.0730577	0.160605	0.200728	0.207649
a41	0.0224793	0.0215441	0.0311696	0.0412481	0.0413714	0.0424527	0.0596964	0.0726533	0.0930529	0.183462	0.215364	0.175506
a66	0.0130081	0.0121008	0.0185652	0.0269956	0.0325729	0.0363525	0.0516678	0.0628893	0.0757971	0.143803	0.211913	0.314335
a38	0.0103003	0.00870947	0.0115206	0.0171793	0.0205227	0.0233552	0.0324511	0.0351363	0.0398896	0.126534	0.242393	0.432009
a21	0.0144368	0.0117029	0.0171148	0.0250133	0.0270496	0.0267194	0.0344929	0.0396368	0.0499487	0.143202	0.211885	0.398798
a41	0.0229014	0.0196616	0.0278821	0.036291	0.0384958	0.0405166	0.0542302	0.0598472	0.067497	0.134266	0.196201	0.302209
a30	0.00926456	0.00948007	0.0163987	0.0259206	0.0301718	0.030056	0.0365106	0.0399241	0.0444463	0.104067	0.196829	0.456931
a41	0.0072149	0.00693204	0.0111283	0.0173695	0.0212307	0.0218498	0.0268751	0.0290213	0.0326851	0.0887776	0.208013	0.528902
a96	0.0141119	0.0134714	0.0211964	0.0289936	0.0318793	0.0264501	0.0327239	0.0371091	0.0399007	0.102935	0.204584	0.446645
a21	0.00867214	0.00817364	0.0133808	0.0230808	0.0305751	0.0355298	0.0411273	0.0397434	0.0383112	0.0945643	0.173554	0.493287
a41	0.0217115	0.0207751	0.0328763	0.0467342	0.0466632	0.0399467	0.0429152	0.0421327	0.044161	0.0918978	0.159953	0.410233
a90	0.00639214	0.00578413	0.00935906	0.015487	0.0182645	0.0170038	0.0187902	0.0195151	0.0217905	0.060126	0.186296	0.621191
a69	0.00805023	0.00781204	0.0151053	0.0247368	0.0272645	0.0257171	0.027805	0.0302186	0.0335266	0.0849703	0.180583	0.53421
a58	0.00967296	0.00687075	0.00912668	0.0127281	0.0151565	0.0178954	0.0281446	0.0335313	0.0389023	0.0996063	0.176588	0.551777
a82	0.00307804	0.00190891	0.00176809	0.00207159	0.00320421	0.00563464	0.00946344	0.0119155	0.0147881	0.0448835	0.145904	0.75538
a87	0.00311653	0.00178078	0.00107144	0.000826982	0.00134323	0.00232231	0.00457038	0.00563932	0.00758749	0.0270621	0.162652	0.782027
</S>	0.0148822	0.0103443	0.00618208	0.00354786	0.00454224	0.00559675	0.00990193	0.0155639	0.015587	0.0376478	0.15003	0.726173
