 	ekoko	était	un	chasseur	plein	de	dextérité	quand	il	ouvrait	le	feu	sur	du	gibier	il	l'	atteignait	</S>
a66	0.134577	0.112943	0.0981869	0.0733081	0.0565116	0.0838303	0.0425171	0.0558531	0.0506598	0.0607388	0.0482844	0.04081	0.0467186	0.0417371	0.0295698	0.00981676	0.00566108	0.00416298	0.00411316
a87	0.18555	0.0830185	0.0534164	0.0451365	0.0440142	0.0472483	0.0442889	0.0487124	0.0553812	0.0655433	0.0507368	0.0485567	0.0490489	0.0434912	0.0325013	0.0209506	0.0258918	0.027209	0.0293043
a23	0.148813	0.0855644	0.0731385	0.0850677	0.0764455	0.0678618	0.0427594	0.0468042	0.0479139	0.0654271	0.0483792	0.0452202	0.0458442	0.0457948	0.0311599	0.0126128	0.00860666	0.0113372	0.0112492
a50	0.324987	0.0832389	0.0808642	0.0945417	0.0580838	0.0687618	0.0303576	0.0308107	0.032684	0.0476216	0.0253659	0.027242	0.0252695	0.0210731	0.0132445	0.00634647	0.00590847	0.0108052	0.012794
a83	0.284717	0.0530114	0.0754325	0.092447	0.0574554	0.06608	0.0399623	0.0381845	0.0382816	0.0509626	0.031757	0.029959	0.0264278	0.0235689	0.0208755	0.0130039	0.0153246	0.0207259	0.0218235
a71	0.685143	0.0977394	0.0632018	0.0413012	0.0160352	0.0149317	0.00801576	0.00666025	0.00655261	0.00723308	0.00516058	0.00601738	0.00515489	0.00510886	0.00571357	0.00459141	0.00727614	0.00749733	0.00666616
a58	0.512965	0.124589	0.0920264	0.0649425	0.0302971	0.0275433	0.0154434	0.0132509	0.0125193	0.0127279	0.00860761	0.00875921	0.00625079	0.00603611	0.0081347	0.0103841	0.0167296	0.0156328	0.0131603
a13	0.494882	0.111689	0.0868072	0.0635515	0.0298886	0.0273981	0.0163388	0.0133289	0.0128446	0.0135538	0.00888779	0.00889553	0.00637298	0.00628048	0.00864626	0.0132671	0.0252257	0.0272741	0.0248675
a53	0.30613	0.115195	0.115512	0.0920519	0.0465531	0.0364588	0.0225053	0.0192671	0.0165325	0.0181665	0.0129697	0.0128997	0.00995693	0.0101552	0.0131091	0.0200954	0.0337228	0.0441396	0.0545796
a90	0.21345	0.131876	0.116622	0.0930817	0.061516	0.0470771	0.0328182	0.0263001	0.0201119	0.0210605	0.0127321	0.0126811	0.0102263	0.0100045	0.013626	0.022382	0.0462029	0.0507472	0.0574838
a4	0.141482	0.126836	0.147621	0.136307	0.0828383	0.0624257	0.0376448	0.0322483	0.0233107	0.0254999	0.015636	0.0132136	0.0111832	0.0100809	0.0120093	0.0168818	0.0264905	0.0317053	0.0465862
a57	0.119215	0.116434	0.13045	0.128766	0.08521	0.0669984	0.0417838	0.0384996	0.0289718	0.0318123	0.0213112	0.0177508	0.0155984	0.013761	0.0152717	0.0205252	0.0299381	0.0338374	0.0438644
a82	0.0764416	0.0991213	0.124079	0.135282	0.10017	0.0806706	0.0520066	0.0493126	0.0371458	0.0374884	0.0246052	0.019299	0.0159427	0.0136132	0.0141703	0.0200034	0.0252783	0.0316423	0.0437281
a87	0.0253985	0.0470304	0.0852963	0.123018	0.108675	0.0970452	0.072131	0.0643211	0.0500105	0.0565709	0.0347666	0.0245538	0.0193993	0.0166596	0.0172334	0.0249602	0.0318269	0.040756	0.0603476
a23	0.0291807	0.0404894	0.0496623	0.0936549	0.124918	0.111088	0.0711208	0.0688246	0.0514187	0.0587993	0.0386819	0.0303384	0.0239823	0.0219572	0.0229525	0.0299145	0.0349728	0.0474928	0.0505509
