 	cet	oiseau	qui	est	perché	sur	le	palmier	est	un	aigle	du	congo	</S>
a66	0.308976	0.270258	0.165183	0.0688112	0.0288173	0.0178853	0.017405	0.0162935	0.018835	0.0187055	0.0216263	0.0168132	0.0164261	0.0139648
a87	0.297295	0.281921	0.191116	0.0769621	0.0395288	0.0192786	0.0159015	0.0200055	0.0153337	0.0125258	0.010136	0.0071361	0.00645281	0.00640654
a23	0.407989	0.273369	0.157924	0.0535399	0.0213601	0.0108343	0.00960107	0.0108608	0.0122585	0.0125916	0.00914964	0.00705419	0.00586424	0.00760298
a38	0.236702	0.165568	0.116167	0.0905946	0.0592784	0.0323217	0.0416705	0.0557762	0.0420058	0.036755	0.0292513	0.0278511	0.02954	0.0365185
a44	0.169552	0.159251	0.15234	0.0936073	0.0581758	0.0402064	0.0439128	0.0469579	0.0419781	0.0371378	0.0403148	0.0388703	0.0378387	0.0398573
a37	0.213659	0.21357	0.201191	0.108821	0.0611667	0.0395906	0.0302775	0.0310092	0.0205649	0.0171181	0.0166283	0.0159283	0.0154754	0.015
a43	0.168183	0.261769	0.288879	0.165179	0.0548816	0.0237106	0.00975973	0.00779298	0.0038782	0.00339365	0.0032644	0.00335847	0.00279977	0.00315034
a31	0.0681435	0.159539	0.324129	0.298762	0.0942979	0.0267342	0.0102877	0.00699479	0.00249795	0.00190204	0.00168349	0.00177358	0.00140363	0.00185109
a47	0.0543799	0.114127	0.251251	0.326068	0.143487	0.046294	0.0233802	0.0188275	0.00728293	0.00461248	0.0035343	0.0025411	0.00184842	0.00236683
a62	0.0270095	0.0588811	0.176826	0.393818	0.194379	0.0522309	0.0335309	0.0281429	0.0126473	0.00751943	0.00522356	0.00365032	0.00274615	0.00339462
a31	0.0255545	0.0379749	0.13166	0.362598	0.213508	0.0797558	0.054732	0.0462592	0.0205462	0.010902	0.0063603	0.00350918	0.00281311	0.00382684
a43	0.0218606	0.0331405	0.110049	0.344314	0.244885	0.0807977	0.0504938	0.0480134	0.0237663	0.015094	0.0105459	0.00623339	0.00472872	0.00607686
a0	0.0134516	0.0156924	0.0424017	0.174757	0.201541	0.117412	0.121212	0.126394	0.078189	0.0446459	0.0272137	0.013859	0.0103609	0.012869
a75	0.0156338	0.0166521	0.0408288	0.151611	0.16843	0.109382	0.124178	0.136748	0.09625	0.0578794	0.037044	0.0175116	0.0126239	0.0152283
a85	0.0101587	0.0116761	0.0270041	0.0945825	0.150481	0.100818	0.107635	0.0905555	0.0764417	0.0776292	0.0717181	0.0633913	0.0537425	0.064167
a37	0.00446209	0.00391244	0.00859542	0.0412684	0.126211	0.116653	0.15339	0.134367	0.103783	0.0850352	0.0630404	0.0502059	0.0469976	0.0620778
a61	0.00949689	0.00559994	0.0090197	0.0244108	0.0732672	0.097418	0.140271	0.135893	0.121359	0.104773	0.0862422	0.0639031	0.0537053	0.0746414
a88	0.00788281	0.00582015	0.00941882	0.0230546	0.0587416	0.0799008	0.114908	0.111848	0.122038	0.118556	0.0991346	0.0815719	0.0735669	0.0935576
a62	0.00900706	0.00627683	0.00989607	0.0208515	0.0459001	0.0680784	0.125959	0.12592	0.116612	0.0980621	0.0788075	0.0806029	0.087305	0.126722
a21	0.0101473	0.00746112	0.0114523	0.0225924	0.0436326	0.0566666	0.107438	0.116752	0.116905	0.0936945	0.0740398	0.0813762	0.0973969	0.160445
a92	0.00754916	0.00552977	0.00735967	0.0155954	0.0369219	0.0547245	0.103708	0.101886	0.0985836	0.0899944	0.0759448	0.0976907	0.123439	0.181074
a56	0.00183353	0.00118165	0.00147579	0.00356953	0.0145625	0.0302007	0.064227	0.0664341	0.0822505	0.0920593	0.0789069	0.136329	0.184936	0.242033
a94	0.00214152	0.00131616	0.00177971	0.00341337	0.0118239	0.0250894	0.0523293	0.0517025	0.0613059	0.0629625	0.0526655	0.106149	0.195059	0.372263
a90	0.00176555	0.000926004	0.00100117	0.00171308	0.00611632	0.01577	0.0375546	0.0378418	0.0525593	0.0531427	0.043794	0.0897311	0.18587	0.472215
a69	0.000231032	0.000138527	0.000215667	0.000593575	0.00294774	0.00839915	0.0244961	0.0225235	0.0370556	0.0422843	0.0356384	0.0830788	0.192304	0.550094
a58	0.000342299	0.000199017	0.00032434	0.001106	0.00577694	0.0133187	0.033919	0.0294154	0.0432175	0.0483347	0.0378234	0.0773031	0.171587	0.537333
a20	0.00298194	0.00208134	0.00191946	0.00399859	0.0169448	0.0264744	0.0401327	0.0358111	0.0500944	0.0525479	0.0373599	0.094999	0.214141	0.420513
a58	0.00920771	0.00600271	0.00494142	0.00947173	0.0352414	0.0497785	0.0507227	0.0402535	0.0441701	0.0496684	0.0355833	0.0975059	0.210727	0.356726
a82	0.0124839	0.0100152	0.0090826	0.0147998	0.0450533	0.0715631	0.0691799	0.0502342	0.0586874	0.0664029	0.0460168	0.107598	0.187191	0.251692
a87	0.100358	0.0834457	0.0723945	0.0686936	0.0816756	0.0976956	0.0804356	0.0439002	0.0466104	0.0568225	0.039304	0.0608804	0.0773658	0.0904182
a23	0.261247	0.244299	0.157772	0.113857	0.0810641	0.0393739	0.0184164	0.0139958	0.00946282	0.0107781	0.00866263	0.0109367	0.0125315	0.0176045
a87	0.0560446	0.0440835	0.0387984	0.0317514	0.0465143	0.0460549	0.0473978	0.0544102	0.0541376	0.0709626	0.0587605	0.100057	0.139796	0.211231
</S>	0.0160444	0.0105871	0.0110884	0.0202581	0.0438608	0.0484822	0.0575313	0.0476119	0.0551677	0.0700914	0.0579686	0.101632	0.155381	0.304294
