 	le	crapaud	et	le	serpent	vivaient	en	amitié	</S>
a66	0.245256	0.163741	0.13944	0.129204	0.119906	0.117592	0.0434877	0.0233153	0.0180583
a87	0.318511	0.239061	0.139252	0.113973	0.112426	0.0559217	0.00973305	0.00563908	0.00548354
a23	0.415182	0.286179	0.175012	0.0701099	0.030775	0.00860843	0.00469182	0.00424431	0.00519759
a50	0.44501	0.333132	0.123068	0.0516338	0.0270903	0.00476745	0.00257707	0.00385056	0.00887151
a83	0.378688	0.276918	0.104746	0.0654951	0.0419263	0.017587	0.022918	0.033293	0.058429
a71	0.455344	0.188127	0.0826067	0.074999	0.0559181	0.0420213	0.0351257	0.0288135	0.0370442
a13	0.227381	0.155577	0.113717	0.120797	0.122832	0.10285	0.0639694	0.046987	0.0458885
a93	0.147421	0.126105	0.111153	0.113305	0.109353	0.118812	0.0912123	0.0875141	0.0951246
a4	0.123514	0.135418	0.172906	0.17223	0.12989	0.116037	0.0642157	0.0426422	0.0431479
a98	0.104569	0.125464	0.146838	0.156599	0.123135	0.15945	0.0804361	0.047338	0.0561711
a85	0.0522782	0.0599364	0.0742798	0.0944027	0.0778589	0.163958	0.163379	0.130004	0.183902
a37	0.0634131	0.0628536	0.073786	0.0835458	0.0667349	0.137837	0.148326	0.135561	0.227942
a98	0.0944148	0.0980464	0.101674	0.110083	0.0933935	0.146564	0.119668	0.0919658	0.14419
a6	0.0466411	0.0469743	0.0499144	0.0580493	0.0628739	0.129391	0.16367	0.161133	0.281353
a75	0.0419454	0.0424485	0.046	0.0555833	0.0595243	0.109875	0.150222	0.174931	0.31947
a92	0.0398904	0.0382092	0.0438497	0.0503572	0.0530877	0.106387	0.172325	0.195882	0.300011
a37	0.0276369	0.0263105	0.0276223	0.0274979	0.0304737	0.078587	0.157947	0.231703	0.392222
a96	0.03829	0.0278097	0.0274851	0.0242706	0.0218536	0.0398261	0.126198	0.248812	0.445455
a66	0.0230318	0.0208148	0.0198903	0.0150563	0.00831833	0.0133792	0.0777623	0.257705	0.564042
a70	0.0441821	0.0247034	0.0205003	0.0132438	0.00652531	0.0105633	0.0367225	0.178015	0.665544
a13	0.0311601	0.0176692	0.0182913	0.0122471	0.0046644	0.00992877	0.0428866	0.202628	0.660525
a9	0.0406001	0.0286011	0.0265006	0.0197298	0.0102466	0.0222096	0.0662095	0.214618	0.571285
a99	0.168123	0.101429	0.0753414	0.0619442	0.0726275	0.0547523	0.0698082	0.130748	0.265226
a87	0.216972	0.125366	0.10465	0.0946248	0.130707	0.0727098	0.0691151	0.0782501	0.107606
a23	0.242279	0.133552	0.143629	0.118881	0.128179	0.077766	0.0509761	0.0472323	0.057507
a87	0.176185	0.0924742	0.0998108	0.0773935	0.084199	0.0725984	0.0761286	0.116151	0.20506
a23	0.0847609	0.0423576	0.0546234	0.0445989	0.0568496	0.0533162	0.0846421	0.166371	0.412481
</S>	0.109308	0.0772682	0.0889272	0.0665127	0.0722581	0.0650864	0.0824068	0.151269	0.286964
