 	le	chef	actuel	est	très	bon	</S>
a23	0.31116	0.174742	0.211621	0.159156	0.0678282	0.0399637	0.0355298
a87	0.270395	0.15979	0.212352	0.152529	0.0842449	0.0647915	0.0558965
a79	0.213366	0.223984	0.188689	0.11066	0.0846699	0.0876336	0.0909975
a90	0.440818	0.26991	0.121821	0.0442703	0.0322084	0.0394778	0.0514944
a58	0.531918	0.318615	0.0821464	0.0310002	0.0145905	0.0110128	0.0107179
a76	0.442701	0.391679	0.0943832	0.0320023	0.0158584	0.0116834	0.0116927
a25	0.294529	0.324866	0.179457	0.11063	0.0502178	0.0227745	0.0175256
a35	0.337402	0.325753	0.182518	0.0962719	0.0350641	0.0128988	0.0100914
a75	0.324524	0.285309	0.226038	0.106903	0.0369678	0.01186	0.00839802
a14	0.271324	0.257507	0.212372	0.128044	0.0693187	0.0344947	0.0269396
a2	0.226634	0.215565	0.250505	0.155059	0.0820123	0.0399248	0.0302998
a38	0.111749	0.107968	0.234637	0.221263	0.15517	0.0842992	0.0849137
a35	0.106815	0.0973528	0.222799	0.226864	0.178362	0.0867469	0.0810603
a26	0.167636	0.148025	0.222042	0.176204	0.131429	0.0836089	0.0710541
a38	0.0978749	0.0924303	0.18985	0.209917	0.183703	0.119813	0.106412
a26	0.0518383	0.0554769	0.152225	0.21506	0.228224	0.156775	0.140401
a32	0.0535329	0.0589757	0.153362	0.194126	0.221779	0.179672	0.138553
a40	0.0399359	0.0465973	0.120683	0.175942	0.201131	0.217837	0.197874
a30	0.0351866	0.0379215	0.0807924	0.128551	0.201885	0.263623	0.252041
a41	0.0285352	0.0314654	0.0682551	0.103689	0.158599	0.274321	0.335135
a26	0.0147329	0.0130733	0.0348211	0.067505	0.151307	0.332292	0.386268
a75	0.0094588	0.00981133	0.0318076	0.0653384	0.133639	0.311945	0.437999
a41	0.0072693	0.00508762	0.0131252	0.0258265	0.0764229	0.290874	0.581394
a94	0.00613154	0.00489976	0.0118488	0.025939	0.075022	0.30102	0.575139
a38	0.0044575	0.0029565	0.00901527	0.0161473	0.050598	0.252379	0.664446
a75	0.00754364	0.00419609	0.0132543	0.0200682	0.0580419	0.248528	0.648368
a14	0.00349363	0.00194704	0.0061849	0.0121945	0.0448094	0.247454	0.683916
a35	0.00383568	0.0027802	0.00829185	0.0169575	0.0519136	0.256937	0.659284
a41	0.00725757	0.00387025	0.00884181	0.0138806	0.0420756	0.233202	0.690872
a35	0.00644962	0.00365462	0.00819359	0.0159652	0.0519884	0.254826	0.658922
a66	0.00803527	0.00394726	0.00693604	0.0116935	0.0404882	0.22981	0.69909
a26	0.0210547	0.00799825	0.0144462	0.0182674	0.04867	0.23804	0.651524
a83	0.018756	0.00726611	0.0155672	0.0209467	0.0549172	0.254057	0.62849
a9	0.0225187	0.00831586	0.0164846	0.0219786	0.0576475	0.260539	0.612516
a87	0.0193948	0.00906449	0.0186051	0.0271327	0.0777673	0.284022	0.564014
a23	0.0189188	0.00937026	0.0230535	0.0461206	0.102423	0.301848	0.498267
a87	0.042712	0.0249915	0.0434257	0.0710972	0.107447	0.287938	0.422388
</S>	0.0405219	0.0208777	0.0453887	0.0757044	0.121265	0.275479	0.420764
