 	les	oiseaux	viennent	nombreux	sur	ce	palmier	à	huile	car	celui-ci	produit	de	meilleures	noix	</S>
a66	0.0796578	0.0875861	0.0524453	0.0489701	0.044752	0.059749	0.0743865	0.103865	0.12091	0.103164	0.0905148	0.069559	0.0443128	0.0117836	0.00482112	0.00352296
a87	0.339808	0.257913	0.0660127	0.0427892	0.0298129	0.0235475	0.0245065	0.0336066	0.0349258	0.0292945	0.0336404	0.0369363	0.0266608	0.00992388	0.00582307	0.00479875
a23	0.337273	0.162322	0.0998428	0.0788977	0.0617307	0.0452727	0.0434061	0.0399136	0.0299741	0.0212299	0.0211921	0.0224523	0.0179057	0.00802394	0.00494985	0.00561427
a40	0.245586	0.156376	0.112822	0.0725167	0.0422588	0.0429993	0.0698467	0.0538474	0.0400668	0.0330274	0.0280714	0.0313461	0.0263445	0.019279	0.0136807	0.0119316
a37	0.125287	0.0884401	0.0739996	0.0808128	0.0741597	0.0623976	0.0473635	0.0555059	0.0499408	0.0381932	0.0504973	0.0526295	0.0614096	0.0472364	0.0496598	0.0424675
a70	0.100959	0.136917	0.125717	0.187432	0.137822	0.066674	0.0480912	0.0443831	0.0298614	0.0207894	0.0242142	0.0217523	0.0216129	0.0168355	0.0104521	0.00648637
a34	0.0699844	0.0718292	0.107409	0.169794	0.143059	0.0881396	0.0898291	0.0689748	0.0422761	0.029803	0.0292326	0.0279401	0.0262488	0.0210385	0.00953958	0.00490309
a96	0.0499548	0.0491907	0.0845661	0.117954	0.144885	0.104965	0.10742	0.0835095	0.0598437	0.0439028	0.0373817	0.0326335	0.0307016	0.0259898	0.015746	0.0113565
a11	0.0293481	0.0309466	0.0674214	0.0913135	0.148895	0.124729	0.124795	0.0899064	0.0629513	0.0456063	0.0374522	0.0334041	0.0308312	0.0321854	0.026333	0.0238813
a96	0.0269185	0.0273868	0.0573525	0.0701258	0.136216	0.123192	0.124745	0.0875756	0.0599074	0.0441031	0.0360554	0.0329548	0.031134	0.0427567	0.0479972	0.0515798
a54	0.018919	0.0182303	0.0316295	0.0346055	0.0898321	0.116884	0.134497	0.104839	0.0799825	0.0615969	0.0447641	0.0388182	0.0345086	0.0469617	0.0661547	0.0777774
a15	0.00568556	0.00561676	0.0109547	0.0158903	0.0500842	0.0871254	0.117169	0.0976162	0.0904075	0.0820323	0.069711	0.0647606	0.0583077	0.0700798	0.0843366	0.0902228
a0	0.00642864	0.00710632	0.0136015	0.019953	0.0696367	0.12122	0.148516	0.126046	0.10521	0.0878711	0.0608606	0.0544205	0.0444541	0.0363711	0.0433015	0.0550024
a37	0.00874104	0.00876844	0.0152734	0.0201773	0.0522495	0.105271	0.131831	0.144511	0.131537	0.0994376	0.0660854	0.0514904	0.0406694	0.0306467	0.0425317	0.0507799
a90	0.00993531	0.008814	0.013117	0.0163644	0.0315478	0.0613133	0.100801	0.119281	0.129538	0.117356	0.082566	0.0629727	0.0486952	0.0410841	0.0653765	0.0912361
a79	0.00540195	0.0061983	0.011305	0.0158014	0.034238	0.0619041	0.0870943	0.102021	0.115564	0.106726	0.0861181	0.0715139	0.0603458	0.0436691	0.0706485	0.12145
a56	0.00274401	0.00298879	0.00602147	0.00790202	0.0253199	0.0589837	0.0780103	0.0951105	0.114389	0.107798	0.0918493	0.0748407	0.0600841	0.047125	0.075206	0.151628
a96	0.00429259	0.00484023	0.00748864	0.00924204	0.0201224	0.0459406	0.0762704	0.099687	0.125506	0.120212	0.093882	0.0778276	0.0653569	0.0423498	0.0677535	0.139228
a62	0.00248806	0.0027682	0.00430341	0.00568592	0.013021	0.0325662	0.062208	0.0934397	0.141274	0.146587	0.114713	0.0906728	0.0732337	0.0542183	0.0616494	0.101171
a75	0.00172856	0.00192707	0.00292147	0.00392982	0.00864779	0.0221418	0.0457505	0.0726082	0.126648	0.147932	0.122262	0.103044	0.0888688	0.088407	0.0772669	0.0859155
a92	0.000567967	0.000637897	0.000991577	0.00143499	0.00421399	0.0106068	0.0170131	0.0244895	0.0449753	0.0636711	0.0647902	0.0731319	0.0701341	0.0873043	0.187263	0.348774
a79	0.000908841	0.00101958	0.00157685	0.00223239	0.00606818	0.0142167	0.0225662	0.0328745	0.0576703	0.0721719	0.0753074	0.0849986	0.0849638	0.109687	0.175748	0.257989
a56	0.000406135	0.000463375	0.00094798	0.00131654	0.00594779	0.0167936	0.0229196	0.029287	0.0497303	0.0580166	0.0647115	0.0679352	0.0608268	0.0876393	0.207305	0.325753
a75	0.000787807	0.000922087	0.00157969	0.00195258	0.00558358	0.0159837	0.0270122	0.0373309	0.0658707	0.0747138	0.0667266	0.0551764	0.0483113	0.0634659	0.191963	0.342619
a56	0.000373873	0.000422873	0.000685496	0.000878274	0.002846	0.0090754	0.0142114	0.0188102	0.0342492	0.0444078	0.0467877	0.0487696	0.0454779	0.0739412	0.254697	0.404366
a96	0.000753703	0.000878088	0.00134838	0.00158299	0.00374505	0.00949733	0.0162852	0.0221385	0.0390538	0.0503687	0.0474619	0.0395987	0.03776	0.062624	0.25319	0.413714
a12	0.000620297	0.000730139	0.00125171	0.0015776	0.00376044	0.00859831	0.0141089	0.0191095	0.0341859	0.0430182	0.0434822	0.0295273	0.0256642	0.0544505	0.248662	0.471253
a18	0.000843415	0.00092856	0.00138666	0.00161442	0.00315227	0.0058139	0.00906561	0.0121246	0.0205962	0.0305102	0.0304394	0.0244912	0.0246776	0.065062	0.278363	0.490931
a71	0.000380478	0.000430536	0.000679524	0.00107196	0.00274076	0.00533289	0.00699403	0.00953204	0.0161449	0.0180196	0.0223766	0.0150598	0.0123307	0.0380257	0.245303	0.605578
a82	0.00212265	0.00221887	0.00271693	0.00516105	0.0122358	0.0183851	0.0168278	0.0242504	0.038797	0.0369747	0.0401978	0.0268041	0.0212611	0.0431267	0.173659	0.535261
a10	0.0146298	0.0136646	0.0148555	0.0205772	0.033824	0.0374199	0.0276611	0.0352718	0.0508226	0.0455986	0.0537319	0.0428034	0.0448544	0.0706129	0.154344	0.339329
a70	0.0404009	0.02991	0.0275724	0.0333773	0.0425775	0.0384029	0.0259907	0.0321755	0.0446718	0.0465916	0.0802501	0.0818423	0.0861706	0.071261	0.11871	0.200096
a12	0.00104455	0.000701393	0.000695473	0.000980497	0.00242644	0.0035689	0.00299304	0.004371	0.00760765	0.00815532	0.0143707	0.0161717	0.0213862	0.0642872	0.288611	0.562629
a96	0.000184456	0.000165515	0.000149148	0.000227047	0.00057849	0.00099804	0.00109734	0.00182464	0.00374719	0.00545214	0.00863839	0.00844187	0.0111307	0.032576	0.259356	0.665433
a62	0.000165218	0.000153636	0.000147809	0.00022914	0.000662657	0.0012868	0.00138946	0.00235588	0.00496636	0.00697882	0.0117245	0.011631	0.0142144	0.036325	0.253624	0.654146
a88	0.000371478	0.000382959	0.000422939	0.000682226	0.00196345	0.00392877	0.00447605	0.00709177	0.0140399	0.0164876	0.0248138	0.0243302	0.0262463	0.0613873	0.245474	0.567901
a61	0.000289804	0.000264619	0.000251435	0.000466931	0.00140878	0.00280625	0.00282732	0.00433882	0.00821868	0.00973874	0.0155426	0.0146427	0.0162902	0.0476207	0.230882	0.644411
a21	0.000244538	0.000242253	0.000225885	0.00040852	0.00111781	0.0022999	0.00301327	0.00440523	0.00849113	0.0115085	0.0160366	0.0155923	0.0176934	0.05275	0.257896	0.608074
a5	0.000201733	0.000191062	0.000168323	0.000223291	0.000585226	0.000951403	0.00105002	0.00155588	0.00295599	0.00497514	0.00811055	0.0104056	0.0142079	0.0456133	0.256002	0.652802
a37	0.000135015	0.000133063	0.000134682	0.000199996	0.000539025	0.00106359	0.00123005	0.0017252	0.00287596	0.00378721	0.00558133	0.00646361	0.00793857	0.0280344	0.21709	0.723069
a62	0.000165398	0.000152292	0.000176083	0.000321431	0.000976141	0.00193492	0.00198449	0.00299066	0.00513376	0.00552062	0.00974004	0.00979553	0.0111933	0.0296357	0.213483	0.706796
a21	0.00092721	0.000807551	0.000903168	0.00161294	0.00425205	0.00669045	0.00530868	0.00794861	0.012714	0.012626	0.0222301	0.0220767	0.0248283	0.0490953	0.207688	0.620291
a92	0.00025176	0.000232747	0.000255599	0.000456123	0.00127793	0.00241386	0.0024038	0.00363198	0.00632248	0.00709983	0.0124679	0.0124026	0.014299	0.0342121	0.215563	0.686709
a37	0.000127749	0.000113493	0.000110624	0.00017472	0.000490844	0.00083779	0.000875239	0.00128274	0.00226411	0.00294289	0.00487744	0.00552899	0.00804838	0.0285124	0.229557	0.714256
a56	0.000192247	0.000197899	0.000261113	0.000520588	0.00208903	0.00418246	0.0039567	0.00540062	0.0082752	0.00793655	0.011554	0.009935	0.0105349	0.0243825	0.189678	0.720904
a37	0.000200859	0.000204921	0.000265911	0.000450344	0.00159654	0.00327525	0.00336888	0.00478184	0.00805848	0.00881286	0.0127193	0.0120043	0.0137696	0.0309961	0.21088	0.688615
a70	0.000544896	0.000618246	0.000859593	0.00154398	0.00449001	0.00650647	0.0050122	0.00687769	0.0109215	0.0109393	0.0199087	0.01566	0.0158613	0.0355492	0.208258	0.656449
a18	0.000262215	0.000306149	0.000439957	0.000696338	0.00196429	0.00363808	0.00436151	0.00587593	0.00953106	0.0110572	0.0146672	0.0115059	0.0109618	0.0255097	0.190099	0.709123
a71	0.00314507	0.00293682	0.00312547	0.00504792	0.0105983	0.0119892	0.00731264	0.0106001	0.0159339	0.0161192	0.0303826	0.0237138	0.020704	0.035456	0.196119	0.606815
a9	0.0133113	0.0132436	0.0139273	0.0181513	0.0257841	0.0249158	0.0142963	0.0183313	0.0256296	0.0243761	0.0429301	0.0320515	0.0274746	0.0389311	0.152708	0.513938
a99	0.0377504	0.0310875	0.0312896	0.0344253	0.040591	0.036915	0.0213322	0.0257645	0.0335713	0.0287014	0.04518	0.0368446	0.0350916	0.0559935	0.15312	0.352342
a87	0.0650655	0.0389936	0.030385	0.0287206	0.0260201	0.0240243	0.0167769	0.0196001	0.0248398	0.0235535	0.0341232	0.0349272	0.0348995	0.0625353	0.178098	0.357437
a23	0.188172	0.0917798	0.0503137	0.0349443	0.0260053	0.0226748	0.0203201	0.0238798	0.0324717	0.0370048	0.0455649	0.0526126	0.0497893	0.0564515	0.0929761	0.175039
a87	0.0518592	0.0216363	0.0145771	0.00927114	0.00893442	0.00892589	0.00686164	0.00797358	0.0137522	0.0174852	0.0336526	0.0560277	0.0603768	0.0805313	0.173121	0.435014
</S>	0.0218703	0.00960553	0.00654173	0.00430828	0.00553101	0.0063669	0.00585446	0.00677007	0.0134348	0.0166575	0.0335686	0.0608207	0.0667235	0.0938022	0.170527	0.477618
