 	je	m'	en	vais	au	champ	couper	des	branchettes	à	brûler	</S>
a66	0.0985259	0.107815	0.139869	0.153908	0.168529	0.140214	0.116326	0.0377822	0.0180356	0.00908999	0.00507149	0.00483437
a87	0.355332	0.267587	0.142164	0.0982056	0.0576452	0.0337518	0.0221631	0.00742332	0.00524415	0.00303258	0.00347089	0.00398058
a23	0.287743	0.249649	0.175163	0.145243	0.0592076	0.0324852	0.0200033	0.00894032	0.00313583	0.00296048	0.00535297	0.0101152
a87	0.310506	0.22256	0.135189	0.113699	0.0360017	0.0249845	0.021696	0.0161655	0.012007	0.0161361	0.0317632	0.0592917
a23	0.352824	0.26292	0.141928	0.106727	0.0350542	0.0217502	0.0174236	0.0104082	0.00710971	0.00712884	0.0138785	0.0228484
a79	0.328772	0.205444	0.112057	0.0973263	0.0323504	0.0227942	0.0223768	0.0228859	0.0204336	0.0256816	0.0376868	0.072192
a37	0.222353	0.10767	0.0652895	0.0776624	0.0673732	0.0835348	0.0878535	0.0671128	0.0435041	0.0558994	0.0550643	0.0666833
a53	0.153767	0.130638	0.11019	0.132686	0.129969	0.0980642	0.0746941	0.0549278	0.0296023	0.0339455	0.027702	0.0238141
a7	0.0741249	0.0852505	0.0990674	0.151073	0.187245	0.148659	0.0906618	0.0595033	0.0399406	0.0338811	0.0184665	0.0121263
a79	0.0504875	0.0585629	0.069508	0.109054	0.174721	0.179053	0.121145	0.0794213	0.057296	0.052007	0.0277488	0.0209958
a37	0.0455311	0.0593122	0.0757295	0.102595	0.155024	0.17804	0.146527	0.0915702	0.0630273	0.0413931	0.0223131	0.018937
a26	0.0783422	0.0913966	0.100497	0.113789	0.143562	0.139344	0.13832	0.0692469	0.0403065	0.0271024	0.0277641	0.0303298
a12	0.0313481	0.0413174	0.0594486	0.0779673	0.117311	0.151851	0.182221	0.113752	0.0654545	0.0410196	0.0526577	0.0656522
a93	0.0156438	0.0204764	0.0316816	0.0408348	0.0960905	0.140826	0.220227	0.15592	0.0903988	0.0605987	0.0599005	0.0674014
a96	0.0147621	0.0179304	0.0277568	0.0363686	0.081114	0.12875	0.208229	0.190584	0.125928	0.0593856	0.0530155	0.0561772
a18	0.0136684	0.0148791	0.0211499	0.0281318	0.0602984	0.108338	0.218195	0.189965	0.139319	0.0635921	0.0663302	0.0761342
a5	0.0182212	0.0208946	0.0306757	0.0462153	0.068269	0.11139	0.168974	0.153579	0.142776	0.0645892	0.0699836	0.104432
a23	0.00683326	0.00746544	0.0101971	0.0121075	0.0237818	0.0422776	0.126156	0.18371	0.188338	0.132403	0.116593	0.150138
a56	0.0019484	0.00230092	0.0035655	0.00438974	0.00887024	0.0182462	0.0550927	0.132252	0.169996	0.146495	0.172485	0.284358
a27	0.00140817	0.0015717	0.00238572	0.00292448	0.0058992	0.0132301	0.0390621	0.109341	0.173629	0.19381	0.169636	0.287103
a54	0.00209576	0.00214212	0.00357171	0.00689045	0.00978391	0.0154423	0.0136733	0.0233718	0.0622207	0.131964	0.27644	0.452403
a7	0.000279103	0.000292754	0.000471783	0.000643945	0.00139425	0.00356246	0.00607714	0.0205256	0.0649038	0.218974	0.23054	0.452335
a44	0.000214666	0.000216665	0.000353163	0.000509253	0.000932671	0.00185862	0.00237298	0.00829057	0.0224803	0.10475	0.21977	0.638251
a4	0.000148905	0.000158674	0.000242997	0.000314251	0.000536791	0.000973552	0.00109846	0.00432514	0.0173358	0.111837	0.285621	0.577407
a57	0.000138773	0.000153201	0.00020627	0.000203301	0.000460138	0.000897673	0.00117555	0.00440288	0.0172581	0.0985756	0.29617	0.580359
a82	0.000203276	0.000173487	0.00026422	0.000384283	0.000655697	0.00119114	0.00107859	0.00384195	0.012869	0.0552195	0.238205	0.685913
a87	0.0224391	0.0128803	0.0112814	0.0101106	0.0112443	0.0163801	0.0130108	0.0208833	0.0335319	0.0784131	0.247766	0.522059
a23	0.30309	0.209606	0.144071	0.0844983	0.0519878	0.0401408	0.0303519	0.0277634	0.0275319	0.0291262	0.0231582	0.0286741
a87	0.0861848	0.0575249	0.0406532	0.0337134	0.033545	0.0467949	0.049871	0.0961053	0.0986257	0.160767	0.150165	0.14605
</S>	0.0168805	0.0107795	0.00910706	0.00816372	0.0118013	0.0256277	0.0369324	0.0922391	0.103625	0.170758	0.225414	0.288672
