 	la	nymphe	de	la	chenille	est	sur	la	feuille	</S>
a66	0.698782	0.223419	0.0367944	0.0102217	0.00492871	0.00403829	0.00500348	0.00549934	0.00580741	0.00550544
a87	0.607954	0.215764	0.0454144	0.0262695	0.0227003	0.0224474	0.0176479	0.0131247	0.0130518	0.0156261
a23	0.566166	0.214052	0.0796161	0.0394273	0.0227625	0.0174319	0.0149464	0.0138798	0.0135329	0.018185
a79	0.535333	0.195056	0.0994647	0.0444764	0.0278409	0.0214897	0.0160431	0.01613	0.0200485	0.0241184
a90	0.53577	0.312408	0.0729176	0.0277412	0.0197099	0.00890064	0.00467021	0.00463762	0.00564229	0.00760205
a69	0.38173	0.379012	0.16754	0.033668	0.0150797	0.00864	0.0040208	0.00320509	0.0034514	0.00365316
a58	0.263295	0.384737	0.223024	0.0776528	0.0230124	0.0113745	0.00504853	0.00369495	0.00401452	0.00414545
a98	0.147649	0.284928	0.268456	0.19339	0.0617414	0.0241545	0.0073972	0.00429335	0.00394486	0.00404498
a92	0.0976158	0.148022	0.190387	0.323047	0.138511	0.053926	0.020781	0.0113434	0.00859076	0.00777593
a25	0.0650462	0.118888	0.185607	0.388789	0.158005	0.0385745	0.0167101	0.0119869	0.00879384	0.00759936
a69	0.0258676	0.0450815	0.136409	0.397235	0.247952	0.0579057	0.0273521	0.0253091	0.0206588	0.0162295
a98	0.0215785	0.0435652	0.108943	0.282108	0.216567	0.127838	0.0704881	0.0448619	0.0391512	0.0449001
a85	0.0219884	0.0469389	0.123988	0.242923	0.191649	0.128753	0.0871113	0.0616586	0.0473027	0.0476881
a5	0.00703321	0.014858	0.0426069	0.126498	0.160929	0.166283	0.145821	0.129008	0.108928	0.0980344
a61	0.00556498	0.00932724	0.0223179	0.0663195	0.128473	0.227725	0.231228	0.145705	0.0839453	0.0793936
a0	0.00470283	0.00757249	0.0190745	0.0404601	0.0612693	0.122537	0.246136	0.205594	0.143015	0.14964
a75	0.00325689	0.00395626	0.00954407	0.0226627	0.0312008	0.0746593	0.203571	0.238251	0.18804	0.224858
a47	0.000970182	0.00156085	0.00341434	0.0156393	0.0326582	0.0568095	0.139487	0.212642	0.228828	0.307991
a37	0.000157784	0.00029532	0.000598984	0.00447736	0.012644	0.0351279	0.117468	0.196036	0.246816	0.386378
a85	0.000722287	0.00114298	0.00140424	0.00616357	0.00872904	0.0307633	0.108396	0.163297	0.23209	0.447291
a5	8.14297e-05	0.000152431	0.000313954	0.0028894	0.00696993	0.0261389	0.0898403	0.156369	0.246729	0.470516
a37	0.000326758	0.000699057	0.0010601	0.00473461	0.00592483	0.0227826	0.086115	0.158389	0.258827	0.46114
a36	0.00131638	0.0021367	0.00211241	0.0102899	0.0126582	0.0357956	0.101771	0.168487	0.229253	0.436179
a5	0.0045744	0.0049455	0.00412423	0.014193	0.019345	0.0575797	0.130821	0.173498	0.19569	0.39523
a0	0.000531689	0.000727144	0.000754074	0.00568212	0.009974	0.0337422	0.101459	0.177853	0.252822	0.416454
a11	0.00195594	0.00287195	0.00166557	0.00609046	0.00959727	0.0341869	0.0919735	0.149452	0.227351	0.474856
a10	0.00563517	0.00703024	0.00479173	0.0107399	0.0133445	0.0368838	0.0852931	0.144596	0.219355	0.472331
a87	0.0322724	0.0278261	0.0259933	0.0419362	0.0421517	0.0856886	0.146497	0.168448	0.171403	0.257784
a23	0.234936	0.0930448	0.0756527	0.087391	0.0978977	0.0893829	0.0856856	0.0830403	0.0727125	0.0802565
a87	0.0797287	0.0339743	0.0303222	0.0932002	0.100448	0.112889	0.12836	0.115865	0.126395	0.178817
</S>	0.00555273	0.00276176	0.00440728	0.0400952	0.0568463	0.0751754	0.135487	0.169222	0.192632	0.317819
