 	quand	ils	ont	vu	un	voyageur	qui	s'	avançait	enveloppé	dans	un	manteau	</S>
a66	0.206112	0.152092	0.146855	0.147901	0.10066	0.0637808	0.0402104	0.0309747	0.0277822	0.0166029	0.0172216	0.0215388	0.0165387	0.0117297
a87	0.215104	0.111176	0.0863701	0.0891294	0.0744701	0.055806	0.047189	0.0471217	0.0449993	0.0389034	0.0502297	0.0596877	0.0445408	0.0352718
a10	0.235183	0.122366	0.113513	0.114607	0.0991861	0.075637	0.0573253	0.0440278	0.0303698	0.0211476	0.0251315	0.0261764	0.0155651	0.0197643
a87	0.212777	0.116364	0.10929	0.0988738	0.100346	0.0720874	0.0587944	0.052911	0.03771	0.0326656	0.0360114	0.0344642	0.0200117	0.0176943
a97	0.220051	0.126156	0.111782	0.0955328	0.0931425	0.068382	0.0555351	0.0518362	0.0385563	0.0311187	0.0362028	0.0347572	0.0206938	0.0162543
a87	0.208332	0.115598	0.101214	0.0881504	0.0939552	0.0653499	0.0524786	0.0524297	0.0426303	0.0396534	0.0453187	0.0456952	0.0278724	0.0213225
a99	0.25064	0.126338	0.101551	0.0886448	0.0884788	0.0524456	0.0395933	0.0404743	0.0341916	0.0352563	0.0449458	0.0463437	0.0296216	0.0214745
a54	0.23902	0.123852	0.0923925	0.0798915	0.078162	0.045381	0.0367058	0.0408173	0.0334056	0.0457304	0.0501071	0.0559647	0.0394613	0.0391089
a73	0.244916	0.162337	0.129102	0.112262	0.0851061	0.0480385	0.0376496	0.0348516	0.0325309	0.0276855	0.0238043	0.0253093	0.0148468	0.021559
a79	0.156345	0.135071	0.13533	0.124298	0.0947488	0.0589099	0.0482468	0.0446723	0.046115	0.041358	0.0355189	0.0391014	0.0210553	0.0192296
a54	0.120729	0.11651	0.13138	0.12634	0.0976248	0.0710058	0.0663078	0.057495	0.0541291	0.0419427	0.0353886	0.0396633	0.0221222	0.0193615
a79	0.0940469	0.101006	0.128265	0.12909	0.105166	0.0753075	0.0639597	0.0535732	0.0562391	0.0428065	0.0397865	0.0448411	0.0317202	0.0341931
a7	0.082239	0.0860647	0.114826	0.116873	0.0924388	0.0748139	0.0792501	0.0683942	0.0693052	0.045684	0.0426673	0.047327	0.0367378	0.0433789
a75	0.0475003	0.0527009	0.069805	0.0751425	0.0712324	0.0676101	0.088483	0.0854953	0.106386	0.0731867	0.0634078	0.0629891	0.0646773	0.0713841
a73	0.0458756	0.0629885	0.0870993	0.089754	0.081793	0.0734583	0.0869664	0.0847522	0.0999479	0.0647686	0.0579655	0.0594654	0.0521173	0.0530484
a79	0.0661148	0.0841542	0.111042	0.112393	0.090483	0.0770845	0.0867214	0.0774265	0.0753509	0.0476813	0.044843	0.046652	0.0374209	0.0426319
a44	0.0508006	0.0662897	0.0873391	0.0872847	0.0767177	0.068251	0.0836134	0.0801808	0.0819429	0.0609189	0.0618307	0.0622247	0.0586704	0.0739353
a56	0.02455	0.0339166	0.042063	0.0467393	0.0507296	0.0554791	0.078146	0.0883441	0.106648	0.0850838	0.0847548	0.0780783	0.100014	0.125453
a12	0.0111415	0.0171588	0.0229843	0.0280269	0.0346659	0.0443745	0.0642626	0.0804269	0.111498	0.113554	0.110188	0.0962302	0.133991	0.131497
a96	0.00759264	0.0120761	0.0176397	0.0232674	0.0289591	0.0385264	0.05127	0.0616356	0.0889469	0.122508	0.127686	0.111622	0.171278	0.136992
a70	0.00492676	0.00872512	0.014934	0.0199808	0.0262624	0.0353129	0.0529648	0.0661088	0.0991771	0.128952	0.128393	0.112122	0.163309	0.138832
a90	0.00466804	0.00895601	0.0154245	0.0201405	0.0275278	0.0369573	0.0554339	0.0687908	0.097202	0.127178	0.127722	0.113666	0.16109	0.135243
a69	0.00870777	0.0155679	0.0246356	0.0279299	0.0363768	0.0483796	0.0712347	0.0821782	0.0956343	0.118627	0.126758	0.1214	0.123411	0.0991594
a58	0.0072479	0.0137626	0.0220855	0.0248815	0.0338808	0.0451111	0.0703329	0.082988	0.0936587	0.119172	0.129639	0.12622	0.123871	0.107149
a54	0.00461686	0.00900425	0.0148846	0.0175667	0.0242074	0.0316668	0.0526333	0.0658573	0.0798972	0.112407	0.131437	0.125424	0.14468	0.185718
a37	0.00702249	0.0140668	0.0244596	0.0273018	0.0345509	0.0419958	0.0567218	0.0605964	0.0647742	0.107308	0.144058	0.148066	0.141775	0.127303
a44	0.00298831	0.00650725	0.0117178	0.0133282	0.0183338	0.0228533	0.0372259	0.0472507	0.0571513	0.113387	0.153652	0.150918	0.159774	0.204913
a54	0.00270578	0.00541755	0.00867476	0.00967163	0.0134511	0.0186086	0.0341908	0.0459534	0.0594093	0.106685	0.145453	0.149417	0.165051	0.235312
a36	0.0044444	0.00970179	0.0185657	0.0223501	0.0308439	0.0355049	0.0478743	0.0486227	0.0497062	0.0977731	0.140973	0.158399	0.156882	0.17836
a2	0.000986063	0.00213179	0.0037037	0.00395681	0.00555748	0.00687714	0.0130721	0.0189553	0.0280963	0.0760589	0.125249	0.139143	0.198761	0.377451
a11	0.00117446	0.0018647	0.0027099	0.0027593	0.0028593	0.00330818	0.00607818	0.0101464	0.0149638	0.0460406	0.0879495	0.100609	0.273849	0.445688
a62	0.00258664	0.00344685	0.00466655	0.00430648	0.00395537	0.00397665	0.00696652	0.0117423	0.0174762	0.0554899	0.115664	0.130682	0.299352	0.339687
a96	0.00133124	0.00195407	0.00274675	0.00257134	0.0027394	0.00294952	0.00574074	0.0101275	0.0171052	0.0601858	0.120395	0.127969	0.256055	0.38813
a62	0.000988947	0.0015424	0.00220732	0.00208235	0.00233118	0.00256058	0.00511484	0.00936395	0.0169131	0.0658447	0.129627	0.136221	0.260902	0.364301
