 	son	infirmité	est	apparente	</S>
a23	0.307332	0.22165	0.154664	0.178592	0.137762
a87	0.300982	0.232618	0.174475	0.14382	0.148106
a79	0.289165	0.237846	0.205097	0.134271	0.133621
a76	0.561454	0.267371	0.089452	0.0461594	0.0355632
a56	0.541201	0.312949	0.0908116	0.0304441	0.0245951
a43	0.495008	0.355063	0.101831	0.0244746	0.0236227
a75	0.420689	0.369905	0.146058	0.0354911	0.0278578
a41	0.387348	0.352538	0.183117	0.0457076	0.0312891
a35	0.387293	0.332298	0.197063	0.0546461	0.0286992
a14	0.361154	0.335437	0.206449	0.06075	0.0362096
a30	0.335888	0.329404	0.213337	0.0740026	0.0473696
a76	0.285966	0.318284	0.241926	0.0962029	0.0576209
a73	0.209586	0.242798	0.264139	0.155496	0.127981
a44	0.136791	0.184043	0.254962	0.205513	0.218691
a57	0.125409	0.148192	0.221825	0.237692	0.266881
a76	0.0740728	0.0995652	0.164855	0.28956	0.371947
a90	0.0818697	0.0874016	0.156837	0.282295	0.391597
a25	0.064456	0.0648503	0.126108	0.284143	0.460443
a10	0.0379309	0.0425931	0.0893915	0.295224	0.53486
a75	0.0257683	0.0267189	0.0461404	0.262899	0.638473
a14	0.0287054	0.0279412	0.0577559	0.293125	0.592472
a35	0.0230974	0.0238791	0.0453374	0.255756	0.651931
a73	0.0277274	0.0247864	0.0429365	0.226581	0.677969
a57	0.0254913	0.0239404	0.0387613	0.216527	0.69528
a87	0.0423626	0.0339217	0.0441563	0.205916	0.673643
</S>	0.0286308	0.0260704	0.0506601	0.293417	0.601222
