 	les	soldats	font	travailler	le	voleur	qu'	ils	ont	arrêté	</S>
a66	0.269166	0.164151	0.115816	0.117522	0.105185	0.091841	0.0600047	0.0354337	0.0173849	0.0120405	0.011455
a10	0.314322	0.0922085	0.0859635	0.093044	0.0928129	0.0865355	0.0575233	0.0393782	0.0352583	0.0449565	0.0579972
a87	0.348834	0.135482	0.0874864	0.103723	0.0839869	0.066626	0.0323409	0.0218682	0.0223018	0.0341069	0.063244
a10	0.326712	0.156627	0.086571	0.103415	0.0844406	0.0695726	0.0373967	0.0242928	0.0236795	0.0336423	0.05365
a97	0.237069	0.126263	0.101039	0.124884	0.0992557	0.0835535	0.0469592	0.030228	0.0303686	0.0453345	0.0750443
a40	0.226046	0.119796	0.102905	0.119842	0.0953327	0.0830885	0.0496321	0.0340369	0.0337149	0.0494757	0.0861298
a73	0.203439	0.148753	0.155391	0.114582	0.0724658	0.0695356	0.0402183	0.0333268	0.0351883	0.0501843	0.0769153
a7	0.184622	0.144324	0.16357	0.109186	0.0761622	0.0747084	0.0589941	0.049654	0.0393976	0.0473452	0.0520364
a44	0.12673	0.15263	0.151385	0.122377	0.0912504	0.0883135	0.0733115	0.0599345	0.043057	0.0444747	0.0465368
a90	0.115096	0.162032	0.153565	0.129522	0.100446	0.0852365	0.0673138	0.0563467	0.041372	0.0432007	0.0458694
a56	0.104545	0.154326	0.165051	0.132014	0.101997	0.0797268	0.0602943	0.0532639	0.0428711	0.0491188	0.0567926
a96	0.118607	0.161584	0.15787	0.135865	0.10674	0.0817652	0.0556529	0.0456581	0.0389949	0.0441282	0.0531346
a98	0.0974719	0.137324	0.147985	0.137287	0.111746	0.0881236	0.0621993	0.0509831	0.0460525	0.053705	0.0671222
a85	0.0642229	0.0987998	0.132734	0.121971	0.11688	0.099974	0.0967741	0.079337	0.0562672	0.0583972	0.0746421
a6	0.0525674	0.0799877	0.121602	0.118808	0.121167	0.100514	0.104677	0.0929648	0.0658293	0.0635858	0.0782972
a0	0.0482087	0.0759415	0.113689	0.12774	0.138531	0.112096	0.103089	0.0811772	0.0588349	0.0590196	0.0816728
a75	0.034342	0.0494548	0.0768639	0.0979947	0.114525	0.103744	0.106277	0.0921716	0.0776196	0.0937994	0.153209
a5	0.0151776	0.0223395	0.0427292	0.056979	0.0752106	0.0724585	0.11414	0.138155	0.13154	0.140091	0.191179
a43	0.0200784	0.028948	0.0472796	0.0620074	0.0787392	0.0763902	0.110541	0.128998	0.118302	0.128214	0.200503
a75	0.0164216	0.0235302	0.0390021	0.0546003	0.069791	0.0667439	0.0991014	0.130622	0.139071	0.143815	0.217301
a6	0.00779469	0.011018	0.0204105	0.0264863	0.0336206	0.0330883	0.0629816	0.107869	0.159939	0.215739	0.321053
a37	0.00433131	0.00730626	0.0152014	0.0189762	0.0252313	0.0246301	0.0509512	0.0973475	0.162691	0.230128	0.363206
a93	0.00735398	0.0114335	0.0192018	0.0261762	0.0325032	0.0273051	0.0403012	0.0730038	0.144203	0.220181	0.398337
a70	0.00777567	0.0119042	0.0186036	0.0248571	0.0311063	0.026786	0.0398155	0.0734142	0.152585	0.235475	0.377678
a93	0.00471549	0.00661707	0.0104501	0.0138118	0.0167415	0.0141976	0.0219771	0.0435031	0.116598	0.27212	0.479268
a70	0.00307607	0.00472642	0.00715843	0.0100207	0.0122873	0.0103184	0.0148258	0.0281284	0.0860087	0.253057	0.570393
a11	0.00344428	0.00514243	0.00712882	0.00978883	0.011909	0.00992373	0.0141275	0.0280123	0.0881256	0.262582	0.559816
a70	0.00228694	0.00305109	0.00478698	0.00669003	0.00815298	0.00768529	0.0126913	0.02841	0.0929823	0.260228	0.573035
a90	0.00257624	0.00358914	0.00657705	0.00958805	0.0122587	0.012417	0.0224669	0.0485938	0.129452	0.279027	0.473454
a98	0.00142367	0.00138213	0.00246215	0.00372616	0.00531361	0.00549513	0.0112328	0.0286398	0.0918758	0.251277	0.597171
a47	0.000803057	0.000756407	0.00121319	0.00170317	0.00263546	0.00266609	0.00666661	0.0180307	0.0582071	0.195474	0.711844
a37	0.000463148	0.000441205	0.000794216	0.00112495	0.00170844	0.00170419	0.00440788	0.0152971	0.0617618	0.229419	0.682878
a66	0.00220376	0.00198487	0.00285599	0.00348377	0.00487522	0.00497162	0.0106601	0.0261394	0.078541	0.235446	0.628838
a38	0.0179307	0.0131172	0.0170394	0.018449	0.021719	0.0203463	0.0322454	0.062519	0.1344	0.252047	0.410186
a5	0.0153693	0.0107721	0.0149188	0.0168182	0.0200487	0.0192332	0.0311527	0.061566	0.134649	0.262493	0.412979
a36	0.001698	0.00156759	0.0026908	0.00291653	0.00363808	0.0036274	0.00738622	0.0176561	0.0626719	0.222948	0.6732
a27	0.00394083	0.00372667	0.00597293	0.00651197	0.00871557	0.00971744	0.0206152	0.0506665	0.13795	0.291278	0.460905
a30	0.0728433	0.0504549	0.0619613	0.0568049	0.0643823	0.0659127	0.0820285	0.102396	0.124422	0.140484	0.178311
a97	0.156535	0.0646207	0.0596044	0.0633387	0.0674815	0.0681925	0.0701588	0.0783855	0.091238	0.119415	0.161031
a99	0.102064	0.0476575	0.044368	0.0506515	0.0538169	0.0514332	0.0500511	0.0614035	0.0891515	0.173707	0.275696
a97	0.044871	0.0256983	0.0235025	0.0273553	0.0316515	0.0284388	0.0324047	0.0468243	0.0883036	0.232706	0.418244
a38	0.0312719	0.0211809	0.0230282	0.0295742	0.0383969	0.0345114	0.0379145	0.052457	0.0884916	0.21422	0.428953
a97	0.0190866	0.0135057	0.0171086	0.0211263	0.0289824	0.027653	0.036494	0.054337	0.0954561	0.226025	0.460226
a30	0.0267717	0.0209509	0.0271475	0.0374838	0.0453689	0.0390117	0.0391101	0.0474112	0.0761416	0.184196	0.456406
</S>	0.0436456	0.0280951	0.0390054	0.0478834	0.0508827	0.0515493	0.0542929	0.062291	0.0893509	0.182573	0.350431
