 	j'	arrive	</S>
a66	0.660639	0.206318	0.133043
a87	0.452656	0.297163	0.250181
a97	0.667242	0.239648	0.0931092
a87	0.657887	0.255951	0.0861617
a97	0.72167	0.214002	0.0643278
a13	0.744808	0.200893	0.0542991
a62	0.690286	0.223089	0.0866252
a21	0.585797	0.283285	0.130918
a56	0.485096	0.312081	0.202823
a44	0.363211	0.344944	0.291845
a93	0.279567	0.329804	0.390629
a34	0.213553	0.323124	0.463323
a24	0.128146	0.279293	0.592561
a21	0.0472184	0.190448	0.762334
a85	0.0639372	0.218845	0.717218
a6	0.0560203	0.207739	0.736241
a36	0.0383268	0.160486	0.801187
a26	0.075473	0.20566	0.718867
a57	0.187069	0.280057	0.532874
a87	0.389441	0.28744	0.323119
a97	0.435016	0.31886	0.246124
a87	0.292786	0.328144	0.37907
a97	0.245617	0.301914	0.452469
a99	0.19151	0.287416	0.521074
a97	0.159884	0.295767	0.544348
</S>	0.154921	0.307801	0.537278
