 	les	feuilles	bougent	</S>
a23	0.474868	0.266634	0.160867	0.0976318
a40	0.416219	0.249889	0.214615	0.119277
a35	0.452284	0.265343	0.167425	0.114947
a0	0.514325	0.304437	0.144227	0.0370108
a11	0.326184	0.294049	0.271694	0.108073
a26	0.21093	0.238443	0.303921	0.246706
a41	0.204415	0.208837	0.30287	0.283878
a32	0.14063	0.150851	0.292925	0.415595
a26	0.0946243	0.133543	0.352187	0.419646
a61	0.0629024	0.118838	0.414731	0.403529
a75	0.033846	0.0889976	0.416678	0.460478
a14	0.0283559	0.0836854	0.321523	0.566436
a2	0.0300503	0.06915	0.266903	0.633897
a57	0.0190316	0.0477096	0.186546	0.746713
a87	0.0949929	0.141618	0.231742	0.531648
</S>	0.0458083	0.106993	0.223296	0.623903
